obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"381.4360"	""	"730"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"383.5320"	"383.53206"	"1900"	"4.78e+07"	D+	"0.000"	"26066.045"	"6d.7s2"	"2D"	"3/2"	"6d.7s.(1D).7p"	"2P*"	"3/2"		"T10463"	"L7344"	
"384.3040"	"384.30400"	"6600"	"1.58e+08"	B	"2231.432"	"28245.12"	"6d.7s2"	"2D"	"5/2"	"6d.7s.(3D).7p"	"2P*"	"3/2"		"T10463"	"L7344"	
"388.5559"	"388.55592"	"9000"	"2.69e+08"	B	"0.000"	"25729.03"	"6d.7s2"	"2D"	"3/2"	"6d.7s.(3D).7p"	"2P*"	"1/2"		"T10463"	"L7344"	
"392.9520"	"392.95221"	"92"	"5.e+06"	E	"9217.288"	"34658.472"	"6d2.(3F).7s"	"4F"	"3/2"	"6d2.(3F).7p"	"4D*"	"5/2"		"T10463"	"L7344"	
"400.3790"	""	"52"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"400.4639"	"400.46390"	"360"	"1.1e+07"	D+	"10906.027"	"35870.009"	"6d2.(3F).7s"	"4F"	"7/2"	"6d2.(3F).7p"	"4D*"	"7/2"		"T10463"	"L7344"	
"401.5220"	"401.52147"	"370"	""		"9863.589"	"34761.82"	"6d2.(3F).7s"	"4F"	"5/2"	"6d2.(3P).7p"	"4P*"	"3/2"		""	"L7344"	
"403.1948"	"403.19509"	"510"	"3.96e+07"	B	"9863.589"	"34658.472"	"6d2.(3F).7s"	"4F"	"5/2"	"6d2.(3F).7p"	"4D*"	"5/2"		"T10463"	"L7344"	
"403.4630"	"403.46290"	"3500"	""		"2231.432"	"27009.857"	"6d.7s2"	"2D"	"5/2"	"6d2.(3F).7p"	"4G*"	"5/2"		""	"L7344"	
"406.3100"	"406.31064"	"3700"	"1.24e+08"	B	"2231.432"	"26836.194"	"6d.7s2"	"2D"	"5/2"	"6d.7s.(1D).7p"	"2D*"	"5/2"		"T10463"	"L7344"	
"408.1040"	"408.10373"	"83"	"4.e+06"	E	"9863.589"	"34360.247"	"6d2.(3F).7s"	"4F"	"5/2"	"6d2.(1G).7p"	"2G*"	"7/2"		"T10463"	"L7344"	
"408.7759"	"408.77617"	"240"	"3.0e+07"	D+	"9217.288"	"33673.650"	"6d2.(3F).7s"	"4F"	"3/2"	"6d2.(3P).7p"	"4D*"	"3/2"		"T10463"	"L7344"	
"411.3769"	""	"1100"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"413.9650"	""	"260c"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"417.9980"	"417.99772"	"17000"	"1.24e+08"	B	"0.000"	"23916.835"	"6d.7s2"	"2D"	"3/2"	"6d.7s.(1D).7p"	"2D*"	"3/2"		"T10463"	"L7344"	
"418.3119"	"418.31199"	"6400"	"9.9e+07"	B	"0.000"	"23898.867"	"6d.7s2"	"2D"	"3/2"	"6d.7s.(3D).7p"	"2F*"	"5/2"		"T10463"	"L7344"	
"418.4170"	"418.41705"	"110"	"6.e+06"	E	"9863.589"	"33756.455"	"6d2.(3F).7s"	"4F"	"5/2"	"6d2.(3F).7p"	"2F*"	"7/2"		"T10463"	"L7344"	
"418.6050"	"418.60633"	"260"	"7.e+06"	D	"10906.027"	"34788.09"	"6d2.(3F).7s"	"4F"	"7/2"	"6d2.(3F).7p"	"4F*"	"9/2"		"T10463"	"L7344"	
"419.4399"	"419.43971"	"5300"	"6.53e+07"	B	"2231.432"	"26066.045"	"6d.7s2"	"2D"	"5/2"	"6d.7s.(1D).7p"	"2P*"	"3/2"		"T10463"	"L7344"	
"419.8721"	"419.87222"	"460"	"2.0e+07"	D+	"9863.589"	"33673.650"	"6d2.(3F).7s"	"4F"	"5/2"	"6d2.(3P).7p"	"4D*"	"3/2"		"T10463"	"L7344"	
"420.1920"	"420.19199"	"440c"	"4.84e+07"	B	"12078.067"	"35870.009"	"6d2.(3F).7s"	"4F"	"9/2"	"6d2.(3F).7p"	"4D*"	"7/2"		"T10463"	"L7344"	
"420.5700"	""	"140"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"420.8910"	"420.89072"	"960"	"5.33e+07"	B	"10906.027"	"34658.472"	"6d2.(3F).7s"	"4F"	"7/2"	"6d2.(3F).7p"	"4D*"	"5/2"		"T10463"	"L7344"	
"421.8020"	"421.80204"	"740"	"1.8e+07"	D	"9217.288"	"32918.416"	"6d2.(3F).7s"	"4F"	"3/2"	"6d2.(3P).7p"	"2D*"	"3/2"		"T10463"	"L7344"	
"422.5990"	"422.59900"	"1000"	"1.28e+08"	B	"9217.288"	"32873.72?"	"6d2.(3F).7s"	"4F"	"3/2"	"6d2.(3F).7p"	"4D*"	"1/2"		"T10463"	"L7344"	
"423.4610"	""	"190c"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"424.6330"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"424.6780"	""	"140"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"426.2420"	"426.24253"	"460"	"3.48e+07"	B	"10906.027"	"34360.247"	"6d2.(3F).7s"	"4F"	"7/2"	"6d2.(1G).7p"	"2G*"	"7/2"		"T10463"	"L7344"	
"426.6940"	""	"560"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"429.4620"	"429.46214"	"160"	"1.3e+07"	D+	"9217.288"	"32495.679"	"6d2.(3F).7s"	"4F"	"3/2"	"6d2.(3F).7p"	"2F*"	"5/2"		"T10463"	"L7344"	
"433.6270"	"433.62673"	"240"	""		"9863.589"	"32918.416"	"6d2.(3F).7s"	"4F"	"5/2"	"6d2.(3P).7p"	"2D*"	"3/2"		""	"L7344"	
"434.7510"	""	"160c"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"437.5069"	"437.50563"	"320"	""		"10906.027"	"33756.455"	"6d2.(3F).7s"	"4F"	"7/2"	"6d2.(3F).7p"	"2F*"	"7/2"		""	"L7344"	
"438.4529"	"438.45195"	"4900c"	"1.9e+07"	D+	"0.000"	"22801.11"	"6d.7s2"	"2D"	"3/2"	"6d.7s.(3D).7p"	"4P*"	"5/2"		"T10463"	"L7344"	
"439.6710"	"439.67158"	"5800"	"7.37e+07"	B	"2231.432"	"24969.294"	"6d.7s2"	"2D"	"5/2"	"6d.7s.(3D).7p"	"2F*"	"7/2"		"T10463"	"L7344"	
"440.2110"	"440.21056"	"860"	"2.98e+07"	B	"12078.067"	"34788.09"	"6d2.(3F).7s"	"4F"	"9/2"	"6d2.(3F).7p"	"4F*"	"9/2"		"T10463"	"L7344"	
"441.7259"	"441.72644"	"220"	"3.33e+07"	B	"9863.589"	"32495.679"	"6d2.(3F).7s"	"4F"	"5/2"	"6d2.(3F).7p"	"2F*"	"5/2"		"T10463"	"L7344"	
"442.0420"	""	"280"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"442.3150"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"442.6851"	"442.68545"	"180"	""		"9217.288"	"31800.350"	"6d2.(3F).7s"	"4F"	"3/2"	"5f.7s2"	"2F*"	"5/2"		""	"L7344"	
"446.1160"	""	"170"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"446.2730"	"446.27307"	"6900"	"7.16e+07"	B	"2231.432"	"24632.95"	"6d.7s2"	"2D"	"5/2"	"6d.7s.(1D).7p"	"2F*"	"7/2"		"T10463"	"L7344"	
"447.1811"	"447.18106"	"850"	"2.68e+07"	B	"9863.589"	"32219.622"	"6d2.(3F).7s"	"4F"	"5/2"	"6d2.(3F).7p"	"4F*"	"7/2"		"T10463"	"L7344"	
"448.6630"	"448.66324"	"160"	"6.e+06"	E	"12078.067"	"34360.247"	"6d2.(3F).7s"	"4F"	"9/2"	"6d2.(1G).7p"	"2G*"	"7/2"		"T10463"	"L7344"	
"448.7599"	"448.75969"	"450"	"8.9e+06"	D	"9217.288"	"31494.679"	"6d2.(3F).7s"	"4F"	"3/2"	"6d2.(3F).7p"	"4F*"	"5/2"		"T10463"	"L7344"	
"455.2180"	"455.21743"	"1000c"	"3.18e+07"	B	"10906.027"	"32867.395"	"6d2.(3F).7s"	"4F"	"7/2"	"6d2.(1G).7p"	"2G*"	"9/2"		"T10463"	"L7344"	
"455.7281"	"455.72807"	"250"	""		"9863.589"	"31800.350"	"6d2.(3F).7s"	"4F"	"5/2"	"5f.7s2"	"2F*"	"5/2"		""	"L7344"	
"457.8240"	""	"510"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"461.0100"	"461.01055"	"1100"	"2.4e+07"	D+	"2231.432"	"23916.835"	"6d.7s2"	"2D"	"5/2"	"6d.7s.(1D).7p"	"2D*"	"3/2"		"T10463"	"L7344"	
"461.1590"	"461.15973"	"81"	"2.12e+07"	B	"12078.067"	"33756.455"	"6d2.(3F).7s"	"4F"	"9/2"	"6d2.(3F).7p"	"2F*"	"7/2"		"T10463"	"L7344"	
"461.3930"	"461.39285"	"4000"	"1.2e+07"	D+	"2231.432"	"23898.867"	"6d.7s2"	"2D"	"5/2"	"6d.7s.(3D).7p"	"2F*"	"5/2"		"T10463"	"L7344"	
"462.1690"	"462.16811"	"710"	"1.5e+07"	D+	"9863.589"	"31494.679"	"6d2.(3F).7s"	"4F"	"5/2"	"6d2.(3F).7p"	"4F*"	"5/2"		"T10463"	"L7344"	
"468.2160"	""	"1300c"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"469.0521"	"469.05284"	"960"	"2.68e+07"	B	"10906.027"	"32219.622"	"6d2.(3F).7s"	"4F"	"7/2"	"6d2.(3F).7p"	"4F*"	"7/2"		"T10463"	"L7344"	
"469.3290"	""	"240"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"470.5782"	"470.57811"	"2200c"	"8.43e+07"	B	"12078.067"	"33322.58"	"6d2.(3F).7s"	"4F"	"9/2"	"6d2.(3F).7p"	"4G*"	"11/2"		"T10463"	"L7344"	
"470.7970"	""	"1200c"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"471.6581"	"471.65807"	"6900"	"3.18e+07"	B	"0.000"	"21195.870"	"6d.7s2"	"2D"	"3/2"	"6d.7s.(1D).7p"	"2F*"	"5/2"		"T10463"	"L7344"	
""	"472.02737"	"m(Ac II)"	"4.03e+07"	B	"9217.288"	"30396.575"	"6d2.(3F).7s"	"4F"	"3/2"	"6d2.(3F).7p"	"4F*"	"3/2"		"T10463"	""	
"477.6770"	""	"440c"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"478.6960"	"478.6964"	"320c"	"5.84e+07"	B	"13877.59"	"34761.82"	"6d2.(3P).7s"	"4P"	"5/2"	"6d2.(3P).7p"	"4P*"	"3/2"		"T10463"	"L7344"	
"480.8811"	"480.88163"	"530"	"3.00e+07"	B	"12078.067"	"32867.395"	"6d2.(3F).7s"	"4F"	"9/2"	"6d2.(1G).7p"	"2G*"	"9/2"		"T10463"	"L7344"	
"482.5880"	""	"1000"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"485.5681"	"485.56881"	"1400c"	"4.03e+07"	B	"10906.027"	"31494.679"	"6d2.(3F).7s"	"4F"	"7/2"	"6d2.(3F).7p"	"4F*"	"5/2"		"T10463"	"L7344"	
"486.0160"	"486.01672"	"5500c"	"2.65e+07"	B	"2231.432"	"22801.11"	"6d.7s2"	"2D"	"5/2"	"6d.7s.(3D).7p"	"4P*"	"5/2"		"T10463"	"L7344"	
"486.8870"	"486.88523"	"890"	"3.32e+07"	B	"9863.589"	"30396.575"	"6d2.(3F).7s"	"4F"	"5/2"	"6d2.(3F).7p"	"4F*"	"3/2"		"T10463"	"L7344"	
"496.3481"	"496.34749"	"590c"	"2.86e+07"	B	"12078.067"	"32219.622"	"6d2.(3F).7s"	"4F"	"9/2"	"6d2.(3F).7p"	"4F*"	"7/2"		"T10463"	"L7344"	
"506.1560"	""	"260"	""		""	""	""	""	""	""	""	""		""	"L7344"	
"506.4650"	"506.46449"	"300"	""		"13712.902"	"33452.12"	"6d.7s.(3D).7p"	"4F*"	"3/2"	"6d.7s.(3D).8s"	"4D"	"5/2"		""	"L7344"	
"510.5830"	"510.58468"	"1300c"	"4.12e+07"	B	"10906.027"	"30485.96"	"6d2.(3F).7s"	"4F"	"7/2"	"6d2.(3F).7p"	"4G*"	"9/2"		"T10463"	"L7344"	
"522.8310"	"522.8309"	"1300"	"2.7e+06"	E	"0.000"	"19121.32?"	"6d.7s2"	"2D"	"3/2"	"6d.7s.(3D).7p"	"4D*"	"5/2"		"T10463"	"L7344"	
"525.8240"	"525.82479"	"8100c"	"2.56e+07"	B	"0.000"	"19012.450"	"6d.7s2"	"2D"	"3/2"	"6d.7s.(3D).7p"	"2D*"	"3/2"		"T10463"	"L7344"	
"526.1450"	"526.1450"	"790c"	"1.3e+06"	E	"2231.432"	"21232.31?"	"6d.7s2"	"2D"	"5/2"	"6d.7s.(3D).7p"	"4D*"	"7/2"		"T10463"	"L7344"	
"526.4480"	"526.4481"	"890"	"3.7e+07"	D+	"7477.36"	"26467.30?"	"7s2.7p"	"2P*"	"1/2"	"7s2.8s"	"2S"	"1/2"		"T10463"	"L7344"	
"527.1560"	"527.15603"	"3800"	"8.4e+06"	D+	"2231.432"	"21195.870"	"6d.7s2"	"2D"	"5/2"	"6d.7s.(1D).7p"	"2F*"	"5/2"		"T10463"	"L7344"	
"534.4740"	"534.47384"	"1700"	"3.47e+07"	B	"9863.589"	"28568.376"	"6d2.(3F).7s"	"4F"	"5/2"	"6d2.(3F).7p"	"4G*"	"7/2"		"T10463"	"L7344"	
"536.9630"	"536.9627"	"220"	"1.68e+07"	B	"13877.59"	"32495.679"	"6d2.(3P).7s"	"4P"	"5/2"	"6d2.(3F).7p"	"2F*"	"5/2"		"T10463"	"L7344"	
