obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"381.0941"	"381.09396"	"200"	""		"30472.66516"	"56705.467"	"4d10.5p"	"2P*"	"3/2"	"4d10.7d"	"2D"	"5/2"		""	"L11755"	
"381.1773"	"381.17584"	"50"	""		"30472.66516"	"56699.832"	"4d10.5p"	"2P*"	"3/2"	"4d10.7d"	"2D"	"3/2"		""	"L11755"	
"384.0750"	"384.07514"	"100"	""		"29552.05741"	"55581.246"	"4d10.5p"	"2P*"	"1/2"	"4d10.8s"	"2S"	"1/2"		""	"L11755"	
"384.7846"	"384.78470"	"20"	""		"30242.298349"	"56223.489"	"4d9.5s2"	"2D"	"5/2"	"4d9.5s.(3D).5p"	"4P*"	"5/2"		""	"L11755"	
"390.741"	"390.76"	"50w"	""		"61773.12"	"87357.3"	"4d9.5s.(3D).5p"	"4D*"	"7/2"	"4d9.5s.(3D).5d"	"4F"	"9/2"		""	"L3326"	
"391.440"	"391.44"	"50w"	""		"61773.12"	"87312.5"	"4d9.5s.(3D).5p"	"4D*"	"7/2"	"4d9.5s.(3D).5d"	"4D"	"7/2"		""	"L3326"	
"392.753"	"392.75"	"6w"	""		"61773.12"	"87227.1?"	"4d9.5s.(3D).5p"	"4D*"	"7/2"	"4d9.5s.(3D).5d"	"2F"	"7/2"		""	"L2489"	
"392.837"	"392.84"	"4w"	""		"61773.12"	"87221.7"	"4d9.5s.(3D).5p"	"4D*"	"7/2"	"4d9.5s.(3D).5d"	"4P"	"5/2"		""	"L2489"	
"394.043"	"394.05"	"10w"	""		"61773.12"	"87143.6"	"4d9.5s.(3D).5p"	"4D*"	"7/2"	"4d9.5s.(3D).5d"	"2D"	"5/2"		""	"L3326"	
"394.290"	"394.29"	"10w"	""		"63531.35"	"88886.1"	"4d9.5s.(3D).5p"	"2D*"	"3/2"	"4d9.5s.(3D).5d"	"2F"	"5/2"		""	"L2489"	
