obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"393.1996"	"393.19962"	"5"	""		"42237.783"	"67662.959"	"3s2.4d"	"2D"	"5/2"	"3s.3p.(3P*).3d"	"2D*"	"5/2"		""	"L4737"	
"393.5677"	"393.56789"	"4"	""		"42233.742"	"67635.128"	"3s2.4d"	"2D"	"3/2"	"3s.3p.(3P*).3d"	"2D*"	"3/2"		""	"L4737"	
"394.40058"	"394.40060"	"24g"	"4.99e+07"	B+	"0.000"	"25347.756"	"3s2.3p"	"2P*"	"1/2"	"3s2.4s"	"2S"	"1/2"		"c40,T7070"	"L4737"	
"396.15200"	"396.15201"	"26g"	"9.85e+07"	B+	"112.061"	"25347.756"	"3s2.3p"	"2P*"	"3/2"	"3s2.4s"	"2S"	"1/2"		"c40"	"L4737"	
"425.512"	"425.5188"	"2"	""		"44168.847"	"67662.959"	"3s2.5d"	"2D"	"5/2"	"3s.3p.(3P*).3d"	"2D*"	"5/2"		""	"L3514"	
"510.7520"	"510.7517"	"6"	""		"25347.756"	"44921.287"	"3s2.4s"	"2S"	"1/2"	"3s2.7p"	"2P*"	"3/2"		""	"L4737"	
"510.7943"	"510.7940"	"4"	""		"25347.756"	"44919.666"	"3s2.4s"	"2S"	"1/2"	"3s2.7p"	"2P*"	"1/2"		""	"L4737"	
"555.7063"	"555.7059"	"10"	"2.30e+05"	C	"25347.756"	"43337.889"	"3s2.4s"	"2S"	"1/2"	"3s2.6p"	"2P*"	"3/2"		"u36,LS"	"L4737"	
"555.7948"	"555.7944"	"8"	"2.29e+05"	C	"25347.756"	"43335.024"	"3s2.4s"	"2S"	"1/2"	"3s2.6p"	"2P*"	"1/2"		"u36,LS"	"L4737"	
"669.6015"	"669.6018"	"13"	"1.00e+06"	C+	"25347.756"	"40277.883"	"3s2.4s"	"2S"	"1/2"	"3s2.5p"	"2P*"	"3/2"		"u36,LS"	"L4737"	
"669.8673"	"669.8667"	"11"	"1.00e+06"	C+	"25347.756"	"40271.978"	"3s2.4s"	"2S"	"1/2"	"3s2.5p"	"2P*"	"1/2"		"u36,LS"	"L4737"	
"678.52"	"678.4242"	"1"	""		"32436.796"	"[47172.77]"	"3s2.3d"	"2D"	"5/2"	"3s2.10f"	"2F*"	"7/2"		""	"L7415"	
""	"690.5638"	""	"1.08e+06"	D	"32435.453"	"[46912.38]"	"3s2.3d"	"2D"	"3/2"	"3s2.9f"	"2F*"	"5/2"		"u36,LS"	""	
""	"690.6279"	""	"7.69e+04"	E	"32436.796"	"[46912.38]"	"3s2.3d"	"2D"	"5/2"	"3s2.9f"	"2F*"	"5/2"		"u36,LS"	""	
"690.64"	"690.6279"	"3"	"1.15e+06"	C	"32436.796"	"[46912.38]"	"3s2.3d"	"2D"	"5/2"	"3s2.9f"	"2F*"	"7/2"		"u36,LS"	"L7415"	
"708.3968"	"708.3969"	"5"	"1.54e+06"	C+	"32435.453"	"46547.942"	"3s2.3d"	"2D"	"3/2"	"3s2.8f"	"2F*"	"5/2"		"u36,LS"	"L4737"	
""	"708.4643"	""	"1.10e+05"	E	"32436.796"	"46547.942"	"3s2.3d"	"2D"	"5/2"	"3s2.8f"	"2F*"	"5/2"		"u36,LS"	""	
"708.4644"	"708.4643"	"6"	"1.65e+06"	C+	"32436.796"	"46547.942"	"3s2.3d"	"2D"	"5/2"	"3s2.8f"	"2F*"	"7/2"		"u36,LS"	"L4737"	
""	"732.7472"	""	"3.66e+05"	D	"32949.807"	"46593.32"	"3s2.4p"	"2P*"	"1/2"	"3s2.8d"	"2D"	"3/2"		"u36,LS"	""	
""	"733.5645"	""	"4.37e+05"	C	"32965.639"	"46593.95"	"3s2.4p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"5/2"		"u36,LS"	""	
""	"733.5985"	""	"7.28e+04"	E	"32965.639"	"46593.32"	"3s2.4p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"3/2"		"u36,LS"	""	
"736.1568"	"736.1568"	"8"	"2.32e+06"	C+	"32435.453"	"46015.774"	"3s2.3d"	"2D"	"3/2"	"3s2.7f"	"2F*"	"5/2"		"u36,LS"	"L4737"	
""	"736.2296"	""	"1.66e+05"	D	"32436.796"	"46015.774"	"3s2.3d"	"2D"	"5/2"	"3s2.7f"	"2F*"	"5/2"		"u36,LS"	""	
"736.2297"	"736.2296"	"9"	"2.49e+06"	C+	"32436.796"	"46015.774"	"3s2.3d"	"2D"	"5/2"	"3s2.7f"	"2F*"	"7/2"		"u36,LS"	"L4737"	
"755.4162"	"755.4164"	"1"	""		"32949.807"	"46183.895"	"3s2.4p"	"2P*"	"1/2"	"3s2.9s"	"2S"	"1/2"		""	"L4737"	
"756.3214"	"756.3212"	"3"	""		"32965.639"	"46183.895"	"3s2.4p"	"2P*"	"3/2"	"3s2.9s"	"2S"	"1/2"		""	"L4737"	
"760.6159"	"760.6162"	"5"	"4.36e+05"	D	"32949.807"	"46093.424"	"3s2.4p"	"2P*"	"1/2"	"3s2.7d"	"2D"	"3/2"		"u36,LS"	"L4737"	
"761.4820"	"761.4820"	"7"	"5.20e+05"	C	"32965.639"	"46094.312"	"3s2.4p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"5/2"		"u36,LS"	"L4737"	
"761.5339"	"761.5335"	"1"	"8.68e+04"	E	"32965.639"	"46093.424"	"3s2.4p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"3/2"		"u36,LS"	"L4737"	
