obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"402.025"	""	"100s"	""		""	""		""	"L3500"	
"403.581"	""	"100s"	""		""	""		""	"L3500"	
"414.096"	""	"100s"	""		""	""		""	"L3500"	
"426.555"	""	"1000"	""		""	""		""	"L3500"	
"428.926"	""	"5000"	""		""	""		""	"L3500"	
"464.912"	""	"100l"	""		""	""		""	"L3500"	
"465.345"	""	"100l"	""		""	""		""	"L3500"	
"466.279"	""	"5000l"	""		""	""		""	"L3500"	
"468.165"	""	"2000l"	""		""	""		""	"L3500"	
"470.680"	""	"1000l"	""		""	""		""	"L3500"	
"499.079"	""	"200l"	""		""	""		""	"L3500"	
"500.021"	""	"100s"	""		""	""		""	"L3500"	
"540.262"	""	"1000s"	""		""	""		""	"L3500"	
"542.470"	""	"1000s"	""		""	""		""	"L3500"	
"559.813"	""	"1000s"	""		""	""		""	"L3500"	
"605.464"	""	"10000l"	""		""	""		""	"L3500"	
"640.511"	""	"1000l"	""		""	""		""	"L3500"	
"654.416"	""	"500l"	""		""	""		""	"L3500"	
"695.558"	""	"500s"	""		""	""		""	"L3500"	
