obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"417.896"	""	"1.2e+05"	D+	"48611.8663"	"72534.55"	"2s2.3p"	"2P*"	"1/2"	"2s.2p2"	"2P"	"3/2"		"u27"	""	
""	"417.927"	""	"6.1e+05"	D+	"48613.6486"	"72534.55"	"2s2.3p"	"2P*"	"3/2"	"2s.2p2"	"2P"	"3/2"		"u27"	""	
""	"418.099"	""	"4.9e+05"	D+	"48611.8663"	"72522.90"	"2s2.3p"	"2P*"	"1/2"	"2s.2p2"	"2P"	"1/2"		"u27"	""	
""	"418.130"	""	"2.5e+05"	D+	"48613.6486"	"72522.90"	"2s2.3p"	"2P*"	"3/2"	"2s.2p2"	"2P"	"1/2"		"u27"	""	
"550.4565"	"550.4527"	"a*"	""		"47856.809"	"66018.63"	"2s.2p2"	"2D"	"5/2"	"2s2.11f"	"2F*"	"5/2,7/2"		""	"L694"	
"550.4565"	"550.4622"	"a*"	""		"47857.125"	"66018.63"	"2s.2p2"	"2D"	"3/2"	"2s2.11f"	"2F*"	"5/2,7/2"		""	"L694"	
"556.3185"	"556.3146"	"a*"	""		"47856.809"	"65827.26"	"2s.2p2"	"2D"	"5/2"	"2s2.10f"	"2F*"	"5/2,7/2"		""	"L694"	
"556.3185"	"556.3244"	"a*"	""		"47857.125"	"65827.26"	"2s.2p2"	"2D"	"3/2"	"2s2.10f"	"2F*"	"5/2,7/2"		""	"L694"	
"563.3069"	"563.30717"	""	"2.25e+05"	C+	"40039.6907"	"57787.0683"	"2s2.3s"	"2S"	"1/2"	"2s2.4p"	"2P*"	"3/2"		"T7192"	"u30"	
""	"563.32732"	""	"2.25e+05"	C+	"40039.6907"	"57786.4336"	"2s2.3s"	"2S"	"1/2"	"2s2.4p"	"2P*"	"1/2"		"T7192"	"u30"	
"564.4321"	"564.4278"	"a*"	""		"47856.809"	"65568.95"	"2s.2p2"	"2D"	"5/2"	"2s2.9f"	"2F*"	"5/2,7/2"		""	"L694"	
"564.4321"	"564.4379"	"a*"	""		"47857.125"	"65568.95"	"2s.2p2"	"2D"	"3/2"	"2s2.9f"	"2F*"	"5/2,7/2"		""	"L694"	
"576.1943"	"576.1901"	"a*"	"3.9e+04"	D+	"47856.809"	"65207.38"	"2s.2p2"	"2D"	"5/2"	"2s2.8f"	"2F*"	"5/2"		"u27"	"L694"	
"576.1943"	"576.1901"	"a*"	"5.7e+05"	D+	"47856.809"	"65207.38"	"2s.2p2"	"2D"	"5/2"	"2s2.8f"	"2F*"	"7/2"		"u27"	"L694"	
"576.1943"	"576.2006"	"a*"	"5.3e+05"	D+	"47857.125"	"65207.38"	"2s.2p2"	"2D"	"3/2"	"2s2.8f"	"2F*"	"5/2"		"u27"	"L694"	
"581.840"	"581.833"	"60"	""		"72522.90"	"89705.19"	"2s.2p2"	"2P"	"1/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"		""	"L6232"	
"582.107"	"582.116"	"100"	""		"72534.55"	"89708.49"	"2s.2p2"	"2P"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"5/2"		""	"L6232"	
"582.233"	"582.228"	"10"	""		"72534.55"	"89705.19"	"2s.2p2"	"2P"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"		""	"L6232"	
"594.263"	"594.2619"	"3a*"	"8.4e+05"	D+	"47856.809"	"64679.745"	"2s.2p2"	"2D"	"5/2"	"2s2.7f"	"2F*"	"7/2"		"u27"	"L694"	
"594.263"	"594.2619"	"3a*"	"5.6e+04"	D+	"47856.809"	"64679.745"	"2s.2p2"	"2D"	"5/2"	"2s2.7f"	"2F*"	"5/2"		"u27"	"L694"	
"594.272"	"594.2731"	"2a"	"7.9e+05"	D+	"47857.125"	"64679.745"	"2s.2p2"	"2D"	"3/2"	"2s2.7f"	"2F*"	"5/2"		"u27"	"L694"	
""	"602.772"	""	"1.4e+05"	C	"48611.8663"	"65197.29"	"2s2.3p"	"2P*"	"1/2"	"2s2.8d"	"2D"	"3/2"		"u27"	""	
""	"602.837"	""	"1.63e+05"	C	"48613.6486"	"65197.29"	"2s2.3p"	"2P*"	"3/2"	"2s2.8d"	"2D"	"5/2"		"u27"	""	
""	"602.837"	""	"2.73e+04"	C	"48613.6486"	"65197.29"	"2s2.3p"	"2P*"	"3/2"	"2s2.8d"	"2D"	"3/2"		"u27"	""	
""	"617.867"	""	"2.7e+05"	C	"48611.8663"	"64792.09"	"2s2.3p"	"2P*"	"1/2"	"2s2.8s"	"2S"	"1/2"		"u27"	""	
""	"617.936"	""	"5.50e+05"	C	"48613.6486"	"64792.09"	"2s2.3p"	"2P*"	"3/2"	"2s2.8s"	"2S"	"1/2"		"u27"	""	
""	"622.745"	""	"1.7e+05"	C	"48611.8663"	"64665.353"	"2s2.3p"	"2P*"	"1/2"	"2s2.7d"	"2D"	"3/2"		"u27"	""	
""	"622.815"	""	"2.08e+05"	C	"48613.6486"	"64665.353"	"2s2.3p"	"2P*"	"3/2"	"2s2.7d"	"2D"	"5/2"		"u27"	""	
""	"622.815"	""	"3.46e+04"	C	"48613.6486"	"64665.353"	"2s2.3p"	"2P*"	"3/2"	"2s2.7d"	"2D"	"3/2"		"u27"	""	
"624.457"	"624.4557"	"9a*"	"1.4e+06"	D	"47856.809"	"63866.326"	"2s.2p2"	"2D"	"5/2"	"2s2.6f"	"2F*"	"7/2"		"u27"	"L694"	
"624.457"	"624.4557"	"9a*"	"8.7e+04"	D	"47856.809"	"63866.326"	"2s.2p2"	"2D"	"5/2"	"2s2.6f"	"2F*"	"5/2"		"u27"	"L694"	
"624.466"	"624.4681"	"6a"	"1.2e+06"	D	"47857.125"	"63866.326"	"2s.2p2"	"2D"	"3/2"	"2s2.6f"	"2F*"	"5/2"		"u27"	"L694"	
