obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"381.3454"	"381.3453"	"22"	"4.87e+07"	B	"42565.4502"	"68780.96"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2s.4d"	"1D"	"2"		"u28"	"L4743"	
"386.5130"	"386.5130"	"3"	""		"59694.99"	"85560.01"	"1s2.2p2"	"3P"	"1"	"1s2.2p.3s"	"3P*"	"2"		""	"L483"	
"386.5423"	"386.5427"	"5"	""		"59696.98"	"85560.01"	"1s2.2p2"	"3P"	"2"	"1s2.2p.3s"	"3P*"	"2"		""	"L483"	
"386.5513"	"386.5517"	"1"	""		"59693.60"	"85556.03"	"1s2.2p2"	"3P"	"0"	"1s2.2p.3s"	"3P*"	"1"		""	"L483"	
"386.5722"	"386.5725"	"2"	""		"59694.99"	"85556.03"	"1s2.2p2"	"3P"	"1"	"1s2.2p.3s"	"3P*"	"1"		""	"L483"	
"386.6025"	"386.6022"	"3*"	""		"59696.98"	"85556.03"	"1s2.2p2"	"3P"	"2"	"1s2.2p.3s"	"3P*"	"1"		""	"L483"	
"386.6025"	"386.6037"	"3*"	""		"59694.99"	"85553.94"	"1s2.2p2"	"3P"	"1"	"1s2.2p.3s"	"3P*"	"0"		""	"L483"	
"425.305"	"425.2987"	"6*"	""		"62053.742"	"85560.01"	"1s2.2s.3d"	"3D"	"3"	"1s2.2p.3s"	"3P*"	"2"		""	"L7412"	
"425.305"	"425.2987"	"6*"	""		"62053.7385"	"85560.01"	"1s2.2s.3d"	"3D"	"1"	"1s2.2p.3s"	"3P*"	"2"		""	"L7412"	
"425.305"	"425.2987"	"6*"	""		"62053.742"	"85560.01"	"1s2.2s.3d"	"3D"	"2"	"1s2.2p.3s"	"3P*"	"2"		""	"L7412"	
"425.376"	"425.3707"	"5*"	""		"62053.7385"	"85556.03"	"1s2.2s.3d"	"3D"	"1"	"1s2.2p.3s"	"3P*"	"1"		""	"L7412"	
"425.376"	"425.3707"	"5*"	""		"62053.742"	"85556.03"	"1s2.2s.3d"	"3D"	"2"	"1s2.2p.3s"	"3P*"	"1"		""	"L7412"	
"425.412"	"425.4085"	"2*"	""		"62053.7385"	"85553.94"	"1s2.2s.3d"	"3D"	"1"	"1s2.2p.3s"	"3P*"	"0"		""	"L7412"	
"440.7935"	"440.7936"	"19"	"1.01e+07"	B	"42565.4502"	"65245.437"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2s.4s"	"1S"	"0"		"u28"	"L4743"	
"452.6409"	"452.6406"	"7"	""		"67034.80"	"89121.19"	"1s2.2s.4p"	"1P*"	"1"	"1s2.2p.3p"	"1P"	"1"		""	"L2771"	
