obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"388.817"	"388.80477+"	"800"	"4.1e+06"	D+	"21660.914"	"47373.477"	"6p3"	"2P*"	"1/2"	"6p2.(3P<0>).8s"	"2[0]"	"1/2"		"T6498"	"L7585"	
"412.1704"	"412.17037+"	"2600"	"1.64e+07"	C+	"21660.914"	"45915.883"	"6p3"	"2P*"	"1/2"	"6p2.(3P<1>).7s"	"2[1]"	"1/2"		"T3401,T3477"	"L6416,L3475"	
"430.8360"	"430.8360+"	"700"	"1.6e+06"	D	"21660.914"	"44865.076"	"6p3"	"2P*"	"1/2"	"6p2.(3P<1>).7s"	"2[1]"	"3/2"		"T6498"	"L6416"	
"449.301"	"449.2827+"	"1900"	"1.43e+06"	D+	"21660.914"	"43912.374"	"6p3"	"2P*"	"1/2"	"6p2.(3P<0>).6d"	"2[2]"	"3/2"		"T6498"	"L7585"	
"472.2528"	"472.2527+"	"11000"	"9.4e+06"	B	"11419.039"	"32588.221"	"6p3"	"2D*"	"3/2"	"6p2.(3P<0>).7s"	"2[0]"	"1/2"		"T6498"	"L6416"	
"555.2050"	"555.2049+"	"500"	""		"32588.221"	"50594.588"	"6p2.(3P<0>).7s"	"2[0]"	"1/2"	"6p2.(3P<0>).8p"	"2[1]*"	"3/2"		""	"L6416,L3475"	
"559.9342"	"559.9342+"	"40"	""		"33164.805"	"51019.090"	"6p3"	"2P*"	"3/2"	"6p2.(3P<0>).7d"	"2[2]"	"3/2"		""	"L6416,L7394"	
"574.2361"	"574.2360+"	"140"	""		"32588.221"	"49997.834"	"6p2.(3P<0>).7s"	"2[0]"	"1/2"	"6p2.(3P<0>).8p"	"2[1]*"	"1/2"		""	"L6416,L7394"	
"613.482"	"613.4738+"	"60"	"1.74e+06"	D+	"33164.805"	"49460.910"	"6p3"	"2P*"	"3/2"	"6p2.(3P<2>).7s"	"2[2]"	"3/2"		"T3401,T3485"	"L7394"	
"647.624"	""	"16"	""		""	""	""	""	""	""	""	""		""	"L7394"	
"699.0924"	"699.0924+"	"10"	""		"41124.985"	"55425.301"	"6p2.(3P<0>).7p"	"2[1]*"	"1/2"	"6p2.(3P<0>).9d"	"2[2]"	"3/2"		""	"L6416,L7394"	
"703.6026"	"703.6015+"	"4"	""		"33164.805"	"47373.477"	"6p3"	"2P*"	"3/2"	"6p2.(3P<0>).8s"	"2[0]"	"1/2"		""	"L6416,L7394"	
"750.233"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L7394"	
