obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"380.235"	""	"10000s"	""		""	""		""	"L4703"	
"380.247"	""	"10000"	""		""	""		""	"L4703"	
"381.529"	""	"10000"	""		""	""		""	"L4703"	
"382.519"	""	"10000"	""		""	""		""	"L4703"	
"382.741"	""	"10000"	""		""	""		""	"L4703"	
"383.055"	""	"10000"	""		""	""		""	"L4703"	
"384.219"	""	"10000"	""		""	""		""	"L4703"	
"384.662"	""	"10000l"	""		""	""		""	"L4703"	
"384.763"	""	"10000"	""		""	""		""	"L4703"	
"385.503"	""	"10000"	""		""	""		""	"L4703"	
"388.011"	""	"10000"	""		""	""		""	"L4703"	
"388.260"	""	"10000l"	""		""	""		""	"L4703"	
"392.142"	""	"10000"	""		""	""		""	"L4703"	
"432.958"	""	"10000l"	""		""	""		""	"L4703"	
"435.150"	""	"10000"	""		""	""		""	"L4703"	
"436.364"	""	"10000"	""		""	""		""	"L4703"	
"442.301"	""	"10000"	""		""	""		""	"L4703"	
"446.646"	""	"10000"	""		""	""		""	"L4703"	
"505.673"	""	"10000s"	""		""	""		""	"L4703"	
"511.824"	""	"10000l"	""		""	""		""	"L4703"	
"517.061"	""	"10000"	""		""	""		""	"L4703"	
"519.755"	""	"10000"	""		""	""		""	"L4703"	
"521.253"	""	"10000"	""		""	""		""	"L4703"	
"527.195"	""	"10000"	""		""	""		""	"L4703"	
"539.203"	""	"10000"	""		""	""		""	"L4703"	
"539.424"	""	"10000"	""		""	""		""	"L4703"	
"540.462"	""	"10000l"	""		""	""		""	"L4703"	
"544.963"	""	"10000"	""		""	""		""	"L4703"	
"546.747"	""	"10000l"	""		""	""		""	"L4703"	
"548.458"	""	"10000s"	""		""	""		""	"L4703"	
"553.793"	""	"10000l"	""		""	""		""	"L4703"	
"555.680"	""	"10000l"	""		""	""		""	"L4703"	
"555.709"	""	"10000s"	""		""	""		""	"L4703"	
"558.121"	""	"10000"	""		""	""		""	"L4703"	
"565.654"	""	"10000l"	""		""	""		""	"L4703"	
"565.903"	""	"10000"	""		""	""		""	"L4703"	
"570.224"	""	"10000"	""		""	""		""	"L4703"	
"591.071"	""	"10000"	""		""	""		""	"L4703"	
"704.085"	""	"10000l"	""		""	""		""	"L4703"	
"710.785"	""	"10000"	""		""	""		""	"L4703"	
"717.622"	""	"10000l"	""		""	""		""	"L4703"	
"725.250"	""	"10000"	""		""	""		""	"L4703"	
"725.721"	""	"10000l"	""		""	""		""	"L4703"	
"730.694"	""	"10000"	""		""	""		""	"L4703"	
"751.126"	""	"10000l"	""		""	""		""	"L4703"	
"755.112"	""	"10000"	""		""	""		""	"L4703"	
"757.977"	""	"10000"	""		""	""		""	"L4703"	
"772.993"	""	"10000l"	""		""	""		""	"L4703"	
