obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"381.5650"	"381.5654+"	"1200"	""		"63436.45"	"89636.84"	"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	"4s2.4p4.(3P<2>).7p"	"2[3]*"	"7/2"		""	"L351"	
"399.2363"	"399.2363+"	"1500"	""		"64907.19"	"89947.93"	"4s2.4p4.(3P<2>).5s"	"2[2]"	"3/2"	"4s2.4p4.(3P<0>).6p"	"2[1]*"	"3/2"		""	"L351"	
"436.5139"	"436.515+"	"2000"	"1.5e+06"	D+	"66883.87"	"89786.18"	"4s2.4p4.(3P<1>).5s"	"2[1]"	"1/2"	"4s2.4p4.(3P<2>).7p"	"2[1]*"	"3/2"		"T1857n"	"L351"	
"442.5140"	"442.513+"	"1500"	"9.e+05"	D+	"64907.19"	"87499.03"	"4s2.4p4.(3P<2>).5s"	"2[2]"	"3/2"	"4s2.4p4.(1D<2>).5p"	"2[1]*"	"1/2"		"T1857n"	"L351"	
"444.1740"	"444.173+"	"10000"	"1.5e+06"	C	"63436.45"	"85943.86"	"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	"4s2.4p4.(3P<2>).6p"	"2[1]*"	"3/2"		"T6936n,T9382"	"L351"	
"447.2609"	"447.260+"	"10000"	"2.2e+06"	D	"64907.19"	"87259.29"	"4s2.4p4.(3P<2>).5s"	"2[2]"	"3/2"	"4s2.4p4.(1D<2>).5p"	"2[1]*"	"3/2"		"T6936n,T9382"	"L351"	
"447.7720"	"447.772+"	"20000"	"2.1e+06"	C	"63436.45"	"85762.98"	"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	"4s2.4p4.(3P<2>).6p"	"2[3]*"	"7/2"		"T6936n,T9382"	"L351"	
"449.0419"	"449.041+"	"1000"	"1.6e+06"	E	"66883.87"	"89147.30"	"4s2.4p4.(3P<1>).5s"	"2[1]"	"1/2"	"4s2.4p4.(3P<1>).6p"	"2[1]*"	"1/2"		"T1857n"	"L351"	
"451.3439"	"451.344+"	"3000"	"5.7e+05"	D+	"63436.45"	"85586.30"	"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	"4s2.4p4.(3P<2>).6p"	"2[2]*"	"3/2"		"T1857n"	"L351"	
"452.5590"	"452.559+"	"15000"	"1.5e+06"	D+	"63436.45"	"85526.82"	"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	"4s2.4p4.(3P<2>).6p"	"2[2]*"	"5/2"		"T1857n"	"L351"	
