obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.4305"	"380.4305"	"5100"	""		"61981.83211"	"88260.38"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.7p"	"1D"	"2"		""	"L17684"	
"382.8849"	"382.8839"	"4200"	""		"61981.83211"	"88092.00"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.7p"	"3D"	"1"		""	"L17684"	
"383.3347"	"383.3341"	"7300"	""		"61981.83211"	"88061.34"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.7p"	"1P"	"1"		""	"L17684"	
"394.2223"	"394.2223"	"7900"	""		"61981.83211"	"87341.05"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.6p"	"1S"	"0"		""	"L17684"	
"396.1403"	"396.14027"	"7900"	""		"61981.83211"	"87218.275"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.6p"	"1D"	"2"		""	"L17684"	
"398.6879"	"398.6880"	"2600*"	""		"64086.96961"	"89162.15"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).8f"	"2[7/2]"	"4"		""	"L17684"	
"398.6879"	"398.6880"	"2600*"	""		"64086.96961"	"89162.15"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).8f"	"2[7/2]"	"3"		""	"L17684"	
"399.6488"	"399.6487"	"1700*"	""		"64086.96961"	"89101.87"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<1/2>).8f"	"2[7/2]"	"4"		""	"L17684"	
"399.6488"	"399.6487"	"1700*"	""		"64086.96961"	"89101.87"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<1/2>).8f"	"2[7/2]"	"3"		""	"L17684"	
"399.6966"	"399.6965"	"1700"	""		"64089.8990"	"89101.81"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<1/2>).8f"	"2[5/2]"	"2"		""	"L17684"	
"399.7136"	"399.7137"	"1700*"	""		"64090.99351"	"89101.83"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<1/2>).8f"	"2[5/2]"	"3"		""	"L17684"	
"399.7136"	"399.7140"	"1700*"	""		"64090.99351"	"89101.81"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<1/2>).8f"	"2[5/2]"	"2"		""	"L17684"	
"400.2976"	"400.2977"	"5300"	""		"61981.83211"	"86956.176"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.6p"	"3D"	"1"		""	"L17684"	
"400.9930"	"400.9928"	"13000"	""		"61981.83211"	"86912.89"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.6p"	"1P"	"1"		""	"L17684"	
"402.2115"	"402.211452"	"6700"	""		"60333.4476"	"85188.9670"	"2s2.2p.3s"	"3P*"	"0"	"2s2.2p.5p"	"3P"	"1"		""	"L17684"	
"402.2841"	"402.284321"	"9700"	""		"60352.6584"	"85203.6756"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.5p"	"3P"	"2"		""	"L17684"	
"402.5221"	"402.522568"	"4500"	""		"60352.6584"	"85188.9670"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.5p"	"3P"	"1"		""	"L17684"	
"402.8355"	"402.8357"	"6700"	""		"60352.6584"	"85169.66"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.5p"	"3P"	"0"		""	"L17684"	
"402.9413"	"402.941190"	"16000"	""		"60393.1693"	"85203.6756"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.5p"	"3P"	"2"		""	"L17684"	
"403.1795"	"403.180216"	"10000"	""		"60393.1693"	"85188.9670"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.5p"	"3P"	"1"		""	"L17684"	
"403.3228"	"403.3228"	"1800"	""		"64086.96961"	"88874.00"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).8p"	"2[3/2]"	"2"		""	"L17684"	
"406.3577"	"406.3577"	"6800"	""		"60333.4476"	"84935.362"	"2s2.2p.3s"	"3P*"	"0"	"2s2.2p.5p"	"3D"	"1"		""	"L17684"	
"406.4271"	"406.4264"	"11000"	""		"60352.6584"	"84950.41"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.5p"	"3D"	"2"		""	"L17684"	
"406.5246"	"406.52425"	"14000"	""		"60393.1693"	"84985.0033"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.5p"	"3D"	"3"		""	"L17684"	
"406.6752"	"406.6752"	"6800"	""		"60352.6584"	"84935.362"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.5p"	"3D"	"1"		""	"L17684"	
"407.0970"	"407.0969"	"6700"	""		"60393.1693"	"84950.41"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.5p"	"3D"	"2"		""	"L17684"	
"407.2643"	"407.2643"	"6100*"	""		"64086.96961"	"88634.12"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).7f"	"2[7/2]"	"4"		""	"L17684"	
"407.2643"	"407.2658"	"6100*"	""		"64086.96961"	"88634.03"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).7f"	"2[7/2]"	"3"		""	"L17684"	
"407.3327"	"407.3325"	"2400"	""		"64090.99351"	"88634.03"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).7f"	"2[7/2]"	"3"		""	"L17684"	
"408.2415"	"408.2415"	"3300p(Ar II)*"	""		"64086.96961"	"88575.36"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<1/2>).7f"	"2[7/2]"	"3"		""	"L17684"	
"408.2415"	"408.2415"	"3300p(Ar II)*"	""		"64086.96961"	"88575.36"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<1/2>).7f"	"2[7/2]"	"4"		""	"L17684"	
"408.2981"	"408.2980"	"2700"	""		"64089.8990"	"88574.90"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<1/2>).7f"	"2[5/2]"	"2"		""	"L17684"	
"408.3161"	"408.3163"	"2700*"	""		"64090.99351"	"88574.90"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<1/2>).7f"	"2[5/2]"	"2"		""	"L17684"	
"408.3161"	"408.3165"	"2700*"	""		"64090.99351"	"88574.89"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<1/2>).7f"	"2[5/2]"	"3"		""	"L17684"	
"414.6264"	"414.6276"	"4000"	""		"64086.96961"	"88198.20"	"2s.2p3"	"3D*"	"3"	"2s2.2p.7p"	"3P"	"2"		""	"L17684"	
"414.6971"	"414.6968"	"1900"	""		"64090.99351"	"88198.20"	"2s.2p3"	"3D*"	"2"	"2s2.2p.7p"	"3P"	"2"		""	"L17684"	
"414.7976"	"414.7976"	"2700"	""		"64090.99351"	"88192.34"	"2s.2p3"	"3D*"	"2"	"2s2.2p.7p"	"3P"	"1"		""	"L17684"	
"415.3374"	"415.3373"	"2300"	""		"64089.8990"	"88159.93"	"2s.2p3"	"3D*"	"1"	"2s2.2p.7p"	"3P"	"0"		""	"L17684"	
"415.834"	"415.7723"	"2000bl(Fe II)"	""		"64090.99351"	"88135.84"	"2s.2p3"	"3D*"	"2"	"2s2.2p.7p"	"3D"	"3"		""	"L2138c153"	
"420.9710"	"420.9720"	"1800*"	""		"64089.8990"	"87837.76"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<3/2>).6f"	"2[3/2]"	"1"		""	"L17684"	
"420.9710"	"420.9720"	"1800*"	""		"64089.8990"	"87837.76"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<3/2>).6f"	"2[3/2]"	"2"		""	"L17684"	
"420.9905"	"420.9914"	"1800*"	""		"64090.99351"	"87837.76"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).6f"	"2[3/2]"	"1"		""	"L17684"	
"420.9905"	"420.9914"	"1800*"	""		"64090.99351"	"87837.76"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).6f"	"2[3/2]"	"2"		""	"L17684"	
"421.1115"	"421.1101"	"4100*"	""		"64086.96961"	"87827.043"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).6f"	"2[5/2]"	"2"		""	"L17684"	
