obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"450.641"	"450.64129+"	"100"	"5.8e+06"	B+	"0.000"	"22184.376"	"4f.5d.6s2"	"1G*"	"4"	""	""	"5"		"T8748"	"L3475"	
"463.232"	"463.23207+"	"170"	"1.38e+07"	B+	"0.000"	"21581.408"	"4f.5d.6s2"	"1G*"	"4"	"4f.5d.(3H*).6s.6p.(3P*)"	""	"5"		"T8748"	"L3475"	
"465.051"	"465.0506+"	"110"	"1.62e+07"	B+	"228.849"	"21725.865"	"4f.5d.6s2"	"3F*"	"2"	"4f.(2F*).5d2.(1D) (2P*).6p"	""	"1"		"T8748"	"L3475"	
"482.255"	"482.25476+"	"110"	"1.33e+07"	B+	"0.000"	"20730.135"	"4f.5d.6s2"	"1G*"	"4"	"4f.(2F*).5d2.(3F) (4I*).6p"	""	"5"		"T8748"	"L3475"	
"484.777"	"484.7772+"	"140"	""		"4762.718"	"25384.989"	"4f2.6s2"	"3H"	"4"	""	"*"	"3 or 4 or 5"		""	"L3475"	
"494.344"	"494.3489+"	"110bl"	""		"5519.751"	"25742.736"	"4f.(2F*) .5d2.(3F).6s (4F)"	"*"	"3"	""	""	"4"		""	"L3475"	
"499.463"	"499.4625+"	"130"	""		"7780.202"	"27796.140"	"4f2.6s2"	"3H"	"6"	""	"*"	"5"		""	"L3475"	
"500.910"	"500.9103+"	"210"	"6.2e+07"	B+	"3196.607"	"23154.693"	"4f.(2F*) .5d2.(3F).6s (4F)"	"5I*"	"4"	""	""	"3"		"T8748"	"L3475"	
"504.085"	"504.0846+"	"120"	"4.39e+07"	B+	"3764.008"	"23596.416"	"4f.(2F*) .5d2.(3F).6s (4F)"	"5I*"	"5"	""	""	"4"		"T8748"	"L3475"	
"507.178"	"507.1775+"	"120"	""		"7780.202"	"27491.670"	"4f2.6s2"	"3H"	"6"	"4f2.(3H<6>).6s.6p.(1P*<1>)?"	"(6,1)*?"	"6"		""	"L3475"	
"511.270"	"511.2704+"	"130"	"3.41e+07"	B+	"4455.756"	"24009.430"	"4f.(2F*) .5d2.(3F).6s (4F)"	"5I*"	"6"	""	""	"5"		"T8748"	"L3475"	
"512.957"	"512.9600+"	"170"	""		"8902.306"	"28391.572"	"4f.(2F*) .5d2.(3F).6s (2F)"	"*"	"3"	""	""	"4"		""	"L3475"	
"514.999"	"514.9992+"	"100"	""		"7780.202"	"27192.300?"	"4f2.6s2"	"3H"	"6"	"4f2.(3H<6>).6s.6p.(1P*<1>)?"	"(6,1)*?"	"5"		""	"L3475"	
"515.969"	"515.9688+"	"280*"	""		"2437.629"	"21813.247"	"4f.(2F*) .5d2.(3F).6s (4F)"	"5H*"	"4"	""	""	"3"		""	"L3475"	
"515.969"	"515.9680+"	"280*"	""		"7169.751"	"26545.399"	"4f.(2F*) .5d2.(3F).6s (4F)"	"*"	"3"	""	""	"4"		""	"L3475"	
"515.969"	"515.9686+"	"280*"	""		"5315.803"	"24691.432"	"4f.(2F*) .5d2.(3F).6s (4F)"	"5I*"	"7"	""	""	"6"		""	"L3475"	
"516.148"	"516.1407+"	"280bl"	""		"4766.323"	"24135.490"	"4f.5d.6s2"	"3D*"	"2"	""	""	"3"		""	"L3475"	
"517.455"	"517.4585+"	"190"	""		"7853.119"	"27172.959"	"4f.(2F*) .5d2.(1D).6s (2D)"	"*"	"1"	""	""	"3"		""	"L3475"	
"521.192"	"521.1920+"	"190"	"4.82e+07"	B+	"6809.128"	"25990.573"	"4f.(2F*) .5d2.(3F).6s (4F)"	"5I*"	"8"	"4f.(2F*).5d2.(3F) (4I*).6p"	""	"7"		"T8748"	"L3475"	
"522.346"	"522.3461+"	"260"	"6.5e+07"	B+	"4762.718"	"23901.786"	"4f2.6s2"	"3H"	"4"	"4f2.(3H<4>).6s.6p.(1P*<1>)"	"(4,1)*"	"4"		"T8748"	"L3475"	
"522.975"	"522.9742+"	"180"	"1.78e+07"	B+	"2208.657"	"21324.736"	"4f.5d.6s2"	"3H*"	"5"	"4f.5d.(3H*).6s.6p.(3P*)"	""	"6"		"T8748"	"L3475"	
"524.592"	"524.5913+"	"260"	"4.91e+07"	B+	"4762.718"	"23819.871"	"4f2.6s2"	"3H"	"4"	"4f2.(3H<4>).6s.6p.(1P*<1>)"	"(4,1)*"	"5"		"T8748"	"L3475"	
"529.656"	"529.6565+"	"130"	"2.25e+07"	B+	"3976.104"	"22851.015"	"4f.5d.6s2"	"3H*"	"6"	"4f.(2F*).5d2.(3F) (4I*).6p"	""	"6"		"T8748"	"L3475"	
"532.808"	"532.8085+"	"130"	"2.09e+07"	B+	"3976.104"	"22739.355"	"4f.5d.6s2"	"3H*"	"6"	"4f.(2F*).5d2.(3F) (4I*).6p"	""	"7"		"T8748"	"L3475"	
