obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"409.912"	""	"10000"	""		""	""		""	"u11"	
"424.238"	""	"10000"	""		""	""		""	"u11"	
"432.903"	""	"10000"	""		""	""		""	"u11"	
"433.522"	""	"10000"	""		""	""		""	"u11"	
"517.396"	""	"10000"	""		""	""		""	"u11"	
"517.908"	""	"10000"	""		""	""		""	"u11"	
"521.924"	""	"10000"	""		""	""		""	"u11"	
"540.888"	""	"10000"	""		""	""		""	"u11"	
"572.605"	""	"10000"	""		""	""		""	"u11"	
"662.283"	""	"10000"	""		""	""		""	"u11"	
"663.126"	""	"10000"	""		""	""		""	"u11"	
"667.790"	""	"10000"	""		""	""		""	"u11"	
"689.459"	""	"10000"	""		""	""		""	"u11"	
"707.452"	""	"10000l"	""		""	""		""	"u11"	
"730.790"	""	"10000s"	""		""	""		""	"u11"	
