obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"381.630"	""	"10000"	""		""	""		""	"L3587"	
"382.514"	""	"10000"	""		""	""		""	"L3587"	
"383.332"	""	"10000"	""		""	""		""	"L3587"	
"383.759"	""	"10000"	""		""	""		""	"L3587"	
"384.200"	""	"10000"	""		""	""		""	"L3587"	
"384.992"	""	"10000"	""		""	""		""	"L3587"	
"385.411"	""	"10000"	""		""	""		""	"L3587"	
"390.025"	""	"10000"	""		""	""		""	"L3587"	
"393.667"	""	"10000"	""		""	""		""	"L3587"	
"394.203"	""	"10000"	""		""	""		""	"L3587"	
"394.415"	""	"10000"	""		""	""		""	"L3587"	
"394.868"	""	"10000"	""		""	""		""	"L3587"	
"395.336"	""	"10000"	""		""	""		""	"L3587"	
"396.483"	""	"10000"	""		""	""		""	"L3587"	
"399.510"	""	"10000"	""		""	""		""	"L3587"	
"401.617"	""	"10000"	""		""	""		""	"L3587"	
"403.176"	""	"10000"	""		""	""		""	"L3587"	
"404.829"	""	"10000"	""		""	""		""	"L3587"	
"404.965"	""	"10000"	""		""	""		""	"L3587"	
"411.329"	""	"10000"	""		""	""		""	"L3587"	
"412.971"	""	"10000"	""		""	""		""	"L3587"	
"421.162"	""	"10000"	""		""	""		""	"L3587"	
"426.645"	""	"10000"	""		""	""		""	"L3587"	
"429.300"	""	"10000"	""		""	""		""	"L3587"	
"433.082"	""	"10000"	""		""	""		""	"L3587"	
"434.569"	""	"10000"	""		""	""		""	"L3587"	
"444.777"	""	"10000"	""		""	""		""	"L3587"	
"445.916"	""	"10000"	""		""	""		""	"L3587"	
"460.840"	""	"10000"	""		""	""		""	"L3587"	
"584.607"	""	"10000"	""		""	""		""	"L3587"	
"595.241"	""	"10000"	""		""	""		""	"L3587"	
"605.890"	""	"10000"	""		""	""		""	"L3587"	
"624.335"	""	"10000"	""		""	""		""	"L3587"	
"637.671"	""	"10000"	""		""	""		""	"L3587"	
"651.016"	""	"10000"	""		""	""		""	"L3587"	
"655.441"	""	"10000"	""		""	""		""	"L3587"	
"664.017"	""	"10000"	""		""	""		""	"L3587"	
"666.325"	""	"10000"	""		""	""		""	"L3587"	
"668.687"	""	"10000"	""		""	""		""	"L3587"	
"670.685"	""	"10000"	""		""	""		""	"L3587"	
"672.668"	""	"10000"	""		""	""		""	"L3587"	
"679.315"	""	"10000"	""		""	""		""	"L3587"	
"716.269"	""	"10000"	""		""	""		""	"L3587"	
"757.780"	""	"10000"	""		""	""		""	"L3587"	
"767.379"	""	"10000"	""		""	""		""	"L3587"	
"772.047"	""	"10000"	""		""	""		""	"L3587"	
