obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"380.8100"	""	"1.5e+05"	D	"3482.82"	"29735.18"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"7/2"		"T4223"	""	
""	"381.1060"	""	"2.0e+05"	C	"7442.41"	"33674.38"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"5/2"		"T4223"	""	
""	"384.1449"	""	"4.2e+05"	C	"7442.41"	"33466.87"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"		"T4223"	""	
"384.205"	"384.2046"	"1400"	"1.3e+07"	C	"7442.41"	"33462.83"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"5/2"		"T4223"	"L3475"	
"384.547"	"384.5461"	"6900"	"4.6e+07"	C+	"7442.41"	"33439.72"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"9/2"		"T4223"	"L3475"	
""	"385.0943"	""	"2.2e+05"	D	"4142.66"	"30102.96"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"5/2"		"T4223"	""	
""	"386.1160"	""	"1.4e+07"	C	"8460.81"	"34352.42"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"3/2"		"T4223"	""	
"387.312"	"387.3114"	"5500"	"1.2e+07"	C+	"3482.82"	"29294.52"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"7/2"		"T4223"	"L3475"	
"387.396"	"387.3955"	"2800"	"1.0e+07"	C	"4142.66"	"29948.76"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"5/2"		"T4223"	"L3475"	
""	"388.1875"	""	"8.2e+06"	C	"4690.18"	"30443.63"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"3/2"		"T4223"	""	
""	"388.4597"	""	"1.6e+06"	C+	"8460.81"	"34196.21"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d8.(3F).4p"	"y 4F*"	"3/2"		"T4223"	""	
""	"388.5269"	""	"3.0e+05"	C	"7442.41"	"33173.36"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"		"T4223"	""	
"389.408"	"389.4073"	"7900"	"6.9e+07"	C	"8460.81"	"34133.59"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"7/2"		"T4223"	"L3475"	
""	"389.4977"	""	"8.8e+06"	C	"5075.83"	"30742.65"	"3p6.3d8.(3F).4s"	"b 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"1/2"		"T4223"	""	
""	"390.6285"	""	"2.9e+05"	D	"4142.66"	"29735.18"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"7/2"		"T4223"	""	
""	"390.9927"	""	"1.1e+05"	C	"0.00"	"25568.68"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6G*"	"11/2"		"T4223"	""	
""	"392.2752"	""	"5.7e+05"	C+	"8460.81"	"33945.90"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d8.(3F).4p"	"*"	"5/2"		"T4223"	""	
""	"393.3914"	""	"1.2e+05"	D	"4690.18"	"30102.96"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"5/2"		"T4223"	""	
"393.597"	"393.5959"	"1500"	"6.2e+06"	C+	"7442.41"	"32841.99"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4F*"	"9/2"		"T4223"	"L3475"	
""	"394.0890"	""	"8.3e+05"	C	"5075.83"	"30443.63"	"3p6.3d8.(3F).4s"	"b 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"3/2"		"T4223"	""	
""	"394.1729"	""	"3.3e+05"	C	"3482.82"	"28845.22"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"11/2"		"T4223"	""	
""	"394.5322"	""	"2.2e+06"	D	"7442.41"	"32781.71"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"5/2"		"T4223"	""	
""	"395.2318"	""	"2.2e+05"	C	"3482.82"	"28777.27"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"7/2"		"T4223"	""	
""	"395.2910"	""	"1.6e+06"	C	"7442.41"	"32733.07"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2G*"	"7/2"		"T4223"	""	
""	"395.7931"	""	"6.2e+05"	C	"4690.18"	"29948.76"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"5/2"		"T4223"	""	
""	"396.4996"	""	"5.2e+04"	E	"8460.81"	"33674.38"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"5/2"		"T4223"	""	
""	"396.5229"	""	"2.6e+04"	E	"7442.41"	"32654.50"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"5/2"		"T4223"	""	
""	"397.4725"	""	"2.5e+05"	C+	"4142.66"	"29294.52"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"7/2"		"T4223"	""	
""	"397.8646"	""	"2.0e+05"	C	"4142.66"	"29269.73"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"9/2"		"T4223"	""	
""	"397.9514"	""	"8.8e+04"	D	"816.00"	"25937.59"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6G*"	"9/2"		"T4223"	""	
""	"398.7113"	""	"1.2e+05"	C	"4142.66"	"29216.37"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"5/2"		"T4223"	""	
""	"399.1684"	""	"1.5e+05"	D	"4690.18"	"29735.18"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"7/2"		"T4223"	""	
""	"399.4534"	""	"1.4e+05"	D	"5075.83"	"30102.96"	"3p6.3d8.(3F).4s"	"b 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"5/2"		"T4223"	""	
"399.531"	"399.5302"	"6000"	"2.5e+07"	C+	"7442.41"	"32464.73"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"9/2"		"T4223"	"L3475"	
"399.791"	"399.7900"	"970"	"7.0e+06"	C+	"8460.81"	"33466.87"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"		"T4223"	"L3475"	
""	"399.8546"	""	"4.2e+04"	D	"8460.81"	"33462.83"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"5/2"		"T4223"	""	
"402.090"	"402.0898"	"350"	"3.5e+05"	C	"3482.82"	"28345.86"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"9/2"		"T4223"	"L3475"	
"404.539"	"404.5384"	"370"	"2.4e+06"	C+	"8460.81"	"33173.36"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"		"T4223"	"L3475"	
""	"405.8183"	""	"1.5e+05"	C	"4142.66"	"28777.27"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"7/2"		"T4223"	""	
"406.637"	"406.6358"	"350"	"1.1e+06"	C	"7442.41"	"32027.50"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"7/2"		"T4223"	"L3475"	
""	"407.6123"	""	"7.3e+04"	C	"4690.18"	"29216.37"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"5/2"		"T4223"	""	
""	"408.2590"	""	"5.9e+04"	C	"5075.83"	"29563.17"	"3p6.3d8.(3F).4s"	"b 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"3/2"		"T4223"	""	
"409.239"	"409.2384"	"830"	"5.7e+06"	C+	"7442.41"	"31871.15"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"7/2"		"T4223"	"L3475"	
"411.054"	"411.0530"	"550"	"5.5e+06"	D	"8460.81"	"32781.71"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"5/2"		"T4223"	"L3475"	
"411.877"	"411.8767"	"2800"	"1.6e+07"	C	"8460.81"	"32733.07"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2G*"	"7/2"		"T4223"	"L3475"	
"412.132"	"412.1311"	"4400"	"1.9e+07"	C	"7442.41"	"31699.69"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2G*"	"9/2"		"T4223"	"L3475"	
""	"413.2144"	""	"9.9e+04"	C	"8460.81"	"32654.50"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"5/2"		"T4223"	""	
""	"415.0431"	""	"5.3e+04"	C	"4690.18"	"28777.27"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"7/2"		"T4223"	""	
""	"418.0702"	""	"1.6e+05"	C+	"23611.78"	"47524.47"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6F*"	"11/2"	"3p6.3d7.4s.(5F).5s"	"f 4F"	"9/2"		"T4223"	""	
"419.071"	""	"90"	""		""	""	""	""	""	""	""	""		""	"L3475"	
""	"422.3773"	""	"1.2e+05"	C	"23855.62"	"47524.47"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6F*"	"9/2"	"3p6.3d7.4s.(5F).5s"	"f 4F"	"9/2"		"T4223"	""	
""	"424.0802"	""	"9.9e+04"	D	"24627.79"	"48201.60"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6D*"	"9/2"	"3p6.3d7.4s.(5F).5s"	"f 4F"	"7/2"		"T4223"	""	
""	"425.9864"	""	"5.3e+05"	C+	"24733.28"	"48201.60"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6F*"	"5/2"	"3p6.3d7.4s.(5F).5s"	"f 4F"	"7/2"		"T4223"	""	
""	"427.0415"	""	"1.0e+04"	D	"8460.81"	"31871.15"	"3p6.3d8.(3F).4s"	"a 2F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"7/2"		"T4223"	""	
""	"430.9437"	""	"7.7e+05"	B	"24326.11"	"47524.47"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6F*"	"7/2"	"3p6.3d7.4s.(5F).5s"	"f 4F"	"9/2"		"T4223"	""	
""	"435.9427"	""	"5.9e+05"	B	"25269.25"	"48201.60"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 6D*"	"7/2"	"3p6.3d7.4s.(5F).5s"	"f 4F"	"7/2"		"T4223"	""	
