obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.065"	"380.06662"	"10hl"	""		"33113.212"	"59416.921"	"3d5.(2F1).4s"	"b 3F"	"4"	"3d4.(3F1).4s.4p.(1P*)"	"r 3F*"	"3"		""	"L808"	
"380.47983"	"380.479845"	"170"	"6.9e+07"	D	"24282.3486"	"50557.4907"	"3d5.(4D).4s"	"b 5D"	"4"	"3d5.(4D).4p"	"u 5D*"	"4"		"T1426n"	"L14866"	
"380.591"	"380.59210"	"2w"	""		"31008.9708"	"57276.363"	"3d5.(2D3).4s"	"b 3D"	"3"	"3d4.(3D).4s.4p.(3P*)"	"t 3F*"	"3"		""	"L808"	
"380.65587"	"380.655886"	"19"	""		"7927.4410"	"34190.4320"	"3d4.4s2"	"a 5D"	"2"	"3d4.(5D).4s.4p.(3P*)"	"z 3P*"	"2"		""	"L14866"	
"380.683"	"380.6818"	"50"	""		"27816.7783"	"54077.98"	"3d4.4s2"	"b 3G"	"5"	"3d3.(4F).4s2.4p"	"v 3G*"	"5"		""	"L808"	
"380.79222"	"380.792222"	"30"	""		"24303.9025"	"50557.4907"	"3d5.(4D).4s"	"b 5D"	"3"	"3d5.(4D).4p"	"u 5D*"	"4"		""	"L14866"	
"380.94830"	"380.94835"	"11"	""		"33762.6622"	"60005.491"	"3d5.(2I).4s"	"b 1I"	"6"	"3d5.(2G1).4p"	"x 1H*"	"5"		""	"L14866"	
"381.194"	"381.194128"	"5"	""		"24833.7957"	"51059.7045"	"3d5.(4G).4s"	"a 3G"	"3"	"3d4.(3G).4s.4p.(3P*)"	"w 3F*"	"4"		""	"L808"	
"381.2259"	"381.2257"	"65"	""		"27703.7743"	"53927.51"	"3d4.4s2"	"b 3G"	"4"	"3d3.(4F).4s2.4p"	"v 3G*"	"4"		""	"L808"	
"381.46232"	"381.46233"	"6"	""		"27597.2409"	"53804.711"	"3d4.4s2"	"b 3G"	"3"	"3d3.(4F).4s2.4p"	"v 3G*"	"3"		""	"L14866"	
"381.54331"	"381.54329"	"91*"	""		"21840.8096"	"48042.7187"	"3d5.(4P).4s"	"a 5P"	"3"	""	"*"	"4"		""	"L14866"	
"381.54331"	"381.5440"	"91*"	""		"31355.1192"	"57556.98"	"3d5.(4F).4s"	"a 5F"	"2"	"3d5.(2F1).4p"	"t 3G*"	"3"		""	"L14866"	
"381.57742"	"381.577383"	"24"	""		"20520.9029"	"46720.4711"	"3d5.(4G).4s"	"a 5G"	"3"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"4"		""	"L14866"	
"381.61709"	"381.617092"	"72"	""		"20523.6290"	"46720.4711"	"3d5.(4G).4s"	"a 5G"	"4"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"4"		""	"L14866"	
"381.62103"	"381.621039"	"32"	""		"20523.8999"	"46720.4711"	"3d5.(4G).4s"	"a 5G"	"5"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"4"		""	"L14866"	
"381.78451"	"381.784503"	"49"	""		"20519.5515"	"46704.9067"	"3d5.(4G).4s"	"a 5G"	"6"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"5"		""	"L14866"	
"381.84392"	"381.843964"	"21"	""		"20523.6290"	"46704.9067"	"3d5.(4G).4s"	"a 5G"	"4"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"5"		""	"L14866"	
"381.84791"	"381.847915"	"91"	""		"20523.8999"	"46704.9067"	"3d5.(4G).4s"	"a 5G"	"5"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"5"		""	"L14866"	
"381.941"	"381.93932"	"2"	""		"35862.764"	"62037.505"	"3d5.(4F).4s"	"c 3F"	"4"	"3d5.(4F).4p"	"q 3G*"	"5"		""	"L808"	
"381.95652"	"381.956508"	"81"	""		"21840.8096"	"48014.3731"	"3d5.(4P).4s"	"a 5P"	"3"	"3d5.(4G).4p"	"u 5F*"	"4"		""	"L14866"	
"381.988"	"381.98895"	"3w"	""		"24093.1182"	"50264.4589"	"3d4.4s2"	"a 3P"	"2"	"3d5.(4D).4p"	"w 3D*"	"3"		""	"L808"	
"381.99678"	"381.996779"	"16"	""		"20517.4222"	"46688.2265"	"3d5.(4G).4s"	"a 5G"	"2"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"3"		""	"L14866"	
"382.036"	"382.0346"	"62:"	""		"23933.8561"	"50102.07"	"3d4.4s2"	"a 3H"	"4"	"3d5.(4D).4p"	"s 5F*"	"3"		""	"L9365"	
"382.04759"	"382.047592"	"52"	""		"20520.9029"	"46688.2265"	"3d5.(4G).4s"	"a 5G"	"3"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"3"		""	"L14866"	
"382.08741"	"382.087399"	"27"	""		"20523.6290"	"46688.2265"	"3d5.(4G).4s"	"a 5G"	"4"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"3"		""	"L14866"	
"382.12190"	"382.121815"	"8"	""		"24897.4635"	"51059.7045"	"3d5.(4G).4s"	"a 3G"	"4"	"3d4.(3G).4s.4p.(3P*)"	"w 3F*"	"4"		""	"L14866"	
"382.139"	"382.14063"	"4w"	""		"20517.4222"	"46678.375"	"3d5.(4G).4s"	"a 5G"	"2"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"1"		""	"L808"	
"382.15835"	"382.158331"	"28"	""		"20517.4222"	"46677.1634"	"3d5.(4G).4s"	"a 5G"	"2"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"2"		""	"L14866"	
"382.20940"	"382.209188"	"14"	""		"20520.9029"	"46677.1634"	"3d5.(4G).4s"	"a 5G"	"3"	"3d4.(3G).4s.4p.(3P*)"	"w 5F*"	"2"		""	"L14866"	
"382.35177"	"382.351810"	"120"	""		"7750.7465"	"33897.2506"	"3d4.4s2"	"a 5D"	"0"	"3d4.(5D).4s.4p.(3P*)"	"z 3P*"	"1"		""	"L14866"	
"382.53856"	"382.538537"	"29"	""		"21840.8096"	"47974.5512"	"3d5.(4P).4s"	"a 5P"	"3"	"3d5.(4G).4p"	"u 5F*"	"3"		""	"L14866"	
"382.64142"	"382.641402"	"47"	""		"21847.8349"	"47974.5512"	"3d5.(4P).4s"	"a 5P"	"2"	"3d5.(4G).4p"	"u 5F*"	"3"		""	"L14866"	
"382.788"	"382.79055"	"3"	""		"24833.7957"	"50950.3326"	"3d5.(4G).4s"	"a 3G"	"3"	"3d4.(3G).4s.4p.(3P*)"	"w 3F*"	"3"		""	"L808"	
"382.834"	"382.83460"	"23:"	""		"31028.2590"	"57141.791"	"3d5.(2D3).4s"	"b 3D"	"2"	""	"*"	"3"		""	"L9365"	
"382.950"	"382.9484"	"8"	""		"31048.7488"	"57154.52"	"3d5.(2D3).4s"	"b 3D"	"1"	"3d4.(1S1).4s.4p.(3P*)"	"u 3P*"	"0"		""	"L808"	
"382.9714"	"382.9713"	"8w"	""		"31028.2590"	"57132.47"	"3d5.(2D3).4s"	"b 3D"	"2"	"3d4.(1S1).4s.4p.(3P*)"	"u 3P*"	"1"		""	"L808"	
"382.995"	"382.99606"	"97:"	""		"31280.3147"	"57382.838"	"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"5"	"3d5.(4G).5s"	"e 5G"	"5"		""	"L9365"	
"383.003"	"383.00240"	"150H"	""		"27825.3207"	"53927.412"	"3d4.(5D).4s.4p.(3P*)"	"z 7D*"	"5"	"3d4.4s.4d"	"e 7F"	"6"		""	"L808"	
"383.10286"	"383.102843"	"100"	""		"8095.1842"	"34190.4320"	"3d4.4s2"	"a 5D"	"3"	"3d4.(5D).4s.4p.(3P*)"	"z 3P*"	"2"		""	"L14866"	
"383.149"	"383.1465"	"3:"	""		"35884.255"	"61976.53"	"3d5.(2H).4s"	"b 3H"	"5"	"3d5.(4F).4p"	"3G*"	"4"		""	"L9365"	
"383.156"	"383.1541"	"7w"	""		"31008.9708"	"57100.73"	"3d5.(2D3).4s"	"b 3D"	"3"	""	"p 5F*"	"2"		""	"L808"	
"383.23157"	"383.231740"	"21"	""		"7810.7795"	"33897.2506"	"3d4.4s2"	"a 5D"	"1"	"3d4.(5D).4s.4p.(3P*)"	"z 3P*"	"1"		""	"L14866"	
"383.273"	"383.2721"	"10wh"	""		"31048.7488"	"57132.47"	"3d5.(2D3).4s"	"b 3D"	"1"	"3d4.(1S1).4s.4p.(3P*)"	"u 3P*"	"1"		""	"L808"	
"383.35067"	"383.350661"	"7"	""		"7593.1484"	"33671.5273"	"3d5.(6S).4s"	"a 5S"	"2"	"3d4.(5D).4s.4p.(3P*)"	"z 5D*"	"3"		""	"L14866"	
"383.36959"	"383.369313"	"3"	""		"21840.8096"	"47917.9197"	"3d5.(4P).4s"	"a 5P"	"3"	"3d5.(4G).4p"	"u 5F*"	"2"		""	"L14866"	
"383.47262"	"383.472625"	"23"	""		"21847.8349"	"47917.9197"	"3d5.(4P).4s"	"a 5P"	"2"	"3d5.(4G).4p"	"u 5F*"	"2"		""	"L14866"	
"383.60642"	"383.606439"	"12"	""		"21856.9287"	"47917.9197"	"3d5.(4P).4s"	"a 5P"	"1"	"3d5.(4G).4p"	"u 5F*"	"2"		""	"L14866"	
"383.630"	"383.6301"	"14:"	""		"31028.2590"	"57087.645"	"3d5.(2D3).4s"	"b 3D"	"2"	"3d4.(1S1).4s.4p.(3P*)"	"u 3P*"	"2"		""	"L9365"	
"383.673"	"383.67528"	"7wH*"	""		"27649.6960"	"53706.011"	"3d4.(5D).4s.4p.(3P*)"	"z 7D*"	"4"	"3d4.4s.4d"	"e 7F"	"5"		""	"L808"	
