obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"387.61486"	"387.6147"	"2100"	"3.9e+05"	B+	"0.0000"	"25791.508"	"5p6.6s"	"2S"	"1/2"	"5p6.8p"	"2P*"	"3/2"		"T7227"	"L5791"	
"388.8611413"	"388.8611413"	"600"	"9.0e+04"	C+	"0.0000"	"25708.83548"	"5p6.6s"	"2S"	"1/2"	"5p6.8p"	"2P*"	"1/2"		"T7227"	"L9729c91"	
"411.1164070"	"411.1164070"	""	""		"0.0000"	"24317.149400"	"5p6.6s"	"2S"	"1/2"	"5p6.8s"	"2S"	"1/2"	2P	""	"L12362c91"	
"441.73432"	"441.734318"	""	""		"0.0000"	"22631.6863"	"5p6.6s"	"2S"	"1/2"	"5p6.6d"	"2D"	"5/2"	E2	""	"L4744c91"	
"442.57258"	"442.572582"	""	""		"0.0000"	"22588.8210"	"5p6.6s"	"2S"	"1/2"	"5p6.6d"	"2D"	"3/2"	E2	""	"L4744c91"	
"455.52799"	"455.5280"	""	"1.836e+06"	AA	"0.0000"	"21946.397"	"5p6.6s"	"2S"	"1/2"	"5p6.7p"	"2P*"	"3/2"		"T7550"	"L3506c91"	
"459.31721"	"459.3172"	""	"7.94e+05"	A+	"0.0000"	"21765.348"	"5p6.6s"	"2S"	"1/2"	"5p6.7p"	"2P*"	"1/2"		"T7550"	"L3506c91"	
"515.26813"	"515.268344"	""	""		"11178.26815870"	"30580.2267"	"5p6.6p"	"2P*"	"1/2"	"5p6.14d"	"2D"	"3/2"		""	"L3506"	
"519.67343"	"519.673753"	""	""		"11178.26815870"	"30415.7533"	"5p6.6p"	"2P*"	"1/2"	"5p6.13d"	"2D"	"3/2"		""	"L3506"	
"525.65633"	"525.656738"	""	""		"11178.26815870"	"30196.7963"	"5p6.6p"	"2P*"	"1/2"	"5p6.12d"	"2D"	"3/2"		""	"L3506"	
"530.140"	"530.144916"	""	""		"11178.26815870"	"30035.78836"	"5p6.6p"	"2P*"	"1/2"	"5p6.13s"	"2S"	"1/2"		""	"L3506"	
"530.37766"	"530.378353"	""	""		"11732.3071041"	"30581.52758"	"5p6.6p"	"2P*"	"3/2"	"5p6.14d"	"2D"	"5/2"		""	"L3506"	
"534.09418"	"534.094508"	""	""		"11178.26815870"	"29896.3399"	"5p6.6p"	"2P*"	"1/2"	"5p6.11d"	"2D"	"3/2"		""	"L3506"	
"535.03512"	"535.035446"	""	""		"11732.3071041"	"30417.46075"	"5p6.6p"	"2P*"	"3/2"	"5p6.13d"	"2D"	"5/2"		""	"L3506"	
"540.66672"	"540.666919"	""	""		"11178.26815870"	"29668.80336"	"5p6.6p"	"2P*"	"1/2"	"5p6.12s"	"2S"	"1/2"		""	"L3506"	
"541.36145"	"541.362102"	""	""		"11732.3071041"	"30199.09821"	"5p6.6p"	"2P*"	"3/2"	"5p6.12d"	"2D"	"5/2"		""	"L3506"	
"541.428"	"541.429592"	""	""		"11732.3071041"	"30196.7963"	"5p6.6p"	"2P*"	"3/2"	"5p6.12d"	"2D"	"3/2"		""	"L3506"	
"546.19231"	"546.192371"	""	""		"11732.3071041"	"30035.78836"	"5p6.6p"	"2P*"	"3/2"	"5p6.13s"	"2S"	"1/2"		""	"L3506"	
"546.59443"	"546.594378"	"bl"	""		"11178.26815870"	"29468.2878"	"5p6.6p"	"2P*"	"1/2"	"5p6.10d"	"2D"	"3/2"		""	"L3506"	
"550.28843"	"550.288485"	""	""		"11732.3071041"	"29899.54646"	"5p6.6p"	"2P*"	"3/2"	"5p6.11d"	"2D"	"5/2"		""	"L3506"	
"550.38524"	"550.385631"	""	""		"11732.3071041"	"29896.3399"	"5p6.6p"	"2P*"	"3/2"	"5p6.11d"	"2D"	"3/2"		""	"L3506"	
"556.84078"	"556.841012"	""	""		"11178.26815870"	"29131.73004"	"5p6.6p"	"2P*"	"1/2"	"5p6.11s"	"2S"	"1/2"		""	"L3506"	
"557.36740"	"557.367718"	""	""		"11732.3071041"	"29668.80336"	"5p6.6p"	"2P*"	"3/2"	"5p6.12s"	"2S"	"1/2"		""	"L3506"	
"563.52123"	"563.521336"	""	""		"11732.3071041"	"29472.93995"	"5p6.6p"	"2P*"	"3/2"	"5p6.10d"	"2D"	"5/2"		""	"L3506"	
"563.667"	"563.669149"	""	""		"11732.3071041"	"29468.2878"	"5p6.6p"	"2P*"	"3/2"	"5p6.10d"	"2D"	"3/2"		""	"L3506"	
"566.40183"	"566.401769"	"bl"	""		"11178.26815870"	"28828.6820"	"5p6.6p"	"2P*"	"1/2"	"5p6.9d"	"2D"	"3/2"		""	"L3506"	
"574.57244"	"574.572334"	""	""		"11732.3071041"	"29131.73004"	"5p6.6p"	"2P*"	"3/2"	"5p6.11s"	"2S"	"1/2"		""	"L3506"	
"583.88347"	"583.883404"	"bl"	""		"11178.26815870"	"28300.2287"	"5p6.6p"	"2P*"	"1/2"	"5p6.10s"	"2S"	"1/2"		""	"L3506"	
"584.51410"	"584.514139"	""	""		"11732.3071041"	"28835.79192"	"5p6.6p"	"2P*"	"3/2"	"5p6.9d"	"2D"	"5/2"		""	"L3506"	
"601.04905"	"601.049010"	"bl"	""		"11178.26815870"	"27811.2400"	"5p6.6p"	"2P*"	"1/2"	"5p6.8d"	"2D"	"3/2"		""	"L3506"	
"603.40895"	"603.408916"	""	""		"11732.3071041"	"28300.2287"	"5p6.6p"	"2P*"	"3/2"	"5p6.10s"	"2S"	"1/2"		""	"L3506"	
"611.652"	"611.64877"	""	""		"14499.2568"	"30843.98488"	"5p6.5d"	"2D"	"3/2"	"5p6.14f"	"2F*"	"5/2"		""	"L3506"	
