obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.0502"	"380.0484"	"30h"	""		"44963.26"	"71268.23"	"3d9.(2D).4s.4p.(3P*)"	"2F*"	"7/2"	"3d9.4s.(3D).4d"	"4D"	"7/2"		""	"L772"	
"380.307"	"380.322"	"0h"	""		"55027.762"	"81313.82"	"3d10.6p"	"2P*"	"1/2"	"3d9.4s.(1D).5d"	"2D"	"3/2"		""	"L772"	
"380.349"	"380.351"	"5h"	""		"45820.94"	"72104.99"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"1/2"	"3d9.4s.(3D).4d"	"2D"	"3/2"		""	"L772"	
"380.5232"	"380.5229"	"100h"	""		"45879.32"	"72151.49"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"3/2"	"3d9.4s.(3D).4d"	"2P"	"1/2"		""	"L772"	
"381.195"	"381.1976"	"8h"	""		"45879.32"	"72104.99"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"3/2"	"3d9.4s.(3D).4d"	"2D"	"3/2"		""	"L772"	
"381.3542"	"381.3539"	"10"	""		"44963.26"	"71178.18"	"3d9.(2D).4s.4p.(3P*)"	"2F*"	"7/2"	"3d9.4s.(3D).4d"	"4P"	"5/2"		""	"L772"	
"381.7490"	"381.7509"	"5"	""		"45879.32"	"72066.98"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"3/2"	"3d9.4s.(3D).4d"	"4D"	"5/2"		""	"L772"	
"382.0884"	"382.0879"	"60"	""		"44963.26"	"71127.82"	"3d9.(2D).4s.4p.(3P*)"	"2F*"	"7/2"	"3d9.4s.(3D).4d"	"2F"	"7/2"		""	"L772"	
"382.248"	"382.253"	"0h"	""		"49382.945"	"75536.19"	"3d10.5p"	"2P*"	"3/2"	"3d9.4s.(1D).4d"	"2F"	"5/2"		""	"L772"	
"382.5047"	"382.50471"	"100h"	""		"30535.324"	"56671.377"	"3d10.4p"	"2P*"	"1/2"	"3d10.7s"	"2S"	"1/2"		""	"L772"	
"383.574"	"383.566"	"0h"	""		"49382.945"	"75446.67"	"3d10.5p"	"2P*"	"3/2"	"3d9.4s.(1D).4d"	"2D"	"5/2"		""	"L772"	
"383.670"	"383.662"	"0h*"	""		"49382.945"	"75440.18"	"3d10.5p"	"2P*"	"3/2"	"3d9.4s.(1D).4d"	"2D"	"3/2"		""	"L772"	
"383.670"	"383.666"	"0h*"	""		"49383.264"	"75440.18"	"3d10.5p"	"2P*"	"1/2"	"3d9.4s.(1D).4d"	"2D"	"3/2"		""	"L772"	
"383.7976"	"383.7983"	"5"	""		"45879.32"	"71927.28"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"3/2"	"3d9.4s.(3D).4d"	"4P"	"3/2"		""	"L772"	
"384.451"	"384.4531"	"4h"	""		"45879.32"	"71882.92"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"3/2"	"3d9.4s.(3D).4d"	"4P"	"1/2"		""	"L772"	
"384.8256"	"384.8275"	"0h"	""		"46172.89"	"72151.19"	"3d9.(2D).4s.4p.(3P*)"	"*"	"3/2"	"3d9.4s.(3D).4d"	"2F"	"5/2"		""	"L772"	
"386.0472"	"386.0470"	"600"	""		"44963.26"	"70859.50"	"3d9.(2D).4s.4p.(3P*)"	"2F*"	"7/2"	"3d9.4s.(3D).4d"	"2G"	"9/2"		""	"L772"	
"386.0808"	"386.0790"	"5"	""		"46172.89"	"72066.98"	"3d9.(2D).4s.4p.(3P*)"	"*"	"3/2"	"3d9.4s.(3D).4d"	"4D"	"5/2"		""	"L772c156"	
"386.1747"	"386.17464"	"250"	""		"30783.697"	"56671.377"	"3d10.4p"	"2P*"	"3/2"	"3d10.7s"	"2S"	"1/2"		""	"L772"	
"386.2781"	"386.281"	"5h"	""		"49382.945"	"75263.50"	"3d10.5p"	"2P*"	"3/2"	"3d9.4s.(1D).4d"	"2P"	"3/2"		""	"L772"	
"388.1714"	"388.1733"	"5"	""		"46172.89"	"71927.28"	"3d9.(2D).4s.4p.(3P*)"	"*"	"3/2"	"3d9.4s.(3D).4d"	"4P"	"3/2"		""	"L772"	
"388.592"	"388.5938"	"3h*"	""		"49382.945"	"75109.47"	"3d10.5p"	"2P*"	"3/2"	"3d9.4s.(1D).4d"	"2P"	"1/2"		""	"L772"	
"388.592"	"388.599"	"3h*"	""		"49383.264"	"75109.47"	"3d10.5p"	"2P*"	"1/2"	"3d9.4s.(1D).4d"	"2P"	"1/2"		""	"L772"	
"388.840"	"388.843"	"4h"	""		"46172.89"	"71882.92"	"3d9.(2D).4s.4p.(3P*)"	"*"	"3/2"	"3d9.4s.(3D).4d"	"4P"	"1/2"		""	"L772"	
"389.922"	"389.9214"	"8h"	""		"39018.69"	"64657.62"	"3d9.(2D).4s.4p.(3P*)"	"4P*"	"5/2"	"3d9.4s.(3D).5s"	"2D"	"5/2"		""	"L772"	
"391.2335"	"391.2351"	"1h"	""		"46598.35"	"72151.19"	"3d9.(2D).4s.4p.(3P*)"	"2D*"	"5/2"	"3d9.4s.(3D).4d"	"2F"	"5/2"		""	"L772"	
"392.1267"	"392.1267"	"5"	""		"46598.35"	"72093.09"	"3d9.(2D).4s.4p.(3P*)"	"2D*"	"5/2"	"3d9.4s.(3D).4d"	"4F"	"7/2"		""	"L772"	
"392.5274"	"392.5287"	"8"	""		"46598.35"	"72066.98"	"3d9.(2D).4s.4p.(3P*)"	"2D*"	"5/2"	"3d9.4s.(3D).4d"	"4D"	"5/2"		""	"L772"	
"393.3027"	"393.3034"	"5"	""		"46598.35"	"72016.82"	"3d9.(2D).4s.4p.(3P*)"	"2D*"	"5/2"	"3d9.4s.(3D).4d"	"2G"	"7/2"		""	"L772"	
"394.6938"	"394.6938"	"3"	""		"46598.35"	"71927.28"	"3d9.(2D).4s.4p.(3P*)"	"2D*"	"5/2"	"3d9.4s.(3D).4d"	"4P"	"3/2"		""	"L772"	
"395.1616"	"395.1629"	"2"	""		"45879.32"	"71178.18"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"3/2"	"3d9.4s.(3D).4d"	"4P"	"5/2"		""	"L772"	
