obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"381.227"	""	"470"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"384.089"	""	"370"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"384.436"	""	"330"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"384.702"	""	"420"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"385.840"	""	"420"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"386.881"	"386.8805+"	"1600"	"3.1e+08"	D	"7565.610"	"33406.06"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"8"		"T4515"	"L3475"	
"391.729"	""	"540bl"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"392.786"	""	"420"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"393.014"	""	"540"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"393.670"	""	"420"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"396.259"	""	"370"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"396.751"	"396.7509+"	"320"	"1.45e+07"	B+	"7565.610"	"32763.21"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"9"		"T7148"	"L3475"	
"400.584"	""	"420"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"400.607"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"401.382"	"401.3824+"	"540"	"2.93e+06"	B+	"0.000"	"24906.86"	"4f10.6s2"	"5I"	"8"	"4f10.(5I<6>).6s.6p.(3P*<2>)"	"(6,2)*"	"7"		"T7148"	"L3475"	
"402.371"	"402.3714+"	"370"	"2.90e+07"	B+	"7565.610"	"32411.25"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"7"		"T7148"	"L3475"	
"404.597"	"404.59701+"	"12000"	"1.92e+08"	B+	"0.000"	"24708.971"	"4f10.6s2"	"5I"	"8"	"4f10.(5I<8>).6s.6p.(1P*<1>)"	"(8,1)*"	"7"		"T7148"	"L3475"	
"408.534"	"408.5333+"	"370"	"1.71e+07"	B+	"7565.610"	"32036.51"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"7"		"T7148"	"L3475"	
"409.610"	""	"390"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"410.387"	"410.3874+"	"860"	"6.2e+07"	B+	"7050.603"	"31410.95"	"4f10.6s2"	"5I"	"6"	""	"*"	"5"		"T7148"	"L3475"	
"412.912"	"412.9122+"	"350"	"9.8e+07"	B+	"10925.277"	"35136.67"	"4f10.6s2"	"5I"	"4"	""	"*"	"3"		"T7148"	"L3475"	
"413.035"	"413.0351+"	"350"	"1.76e+06"	B+	"0.000"	"24204.19"	"4f10.6s2"	"5I"	"8"	"4f9.(6H*).5d2.(3F) (8I*).6s"	"*"	"8"		"T7148"	"L3475"	
"413.385"	""	"390"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"414.606"	"414.6063+"	"990"	"1.95e+08"	B+	"9211.591"	"33324.06"	"4f10.6s2"	"5I"	"5"	"4f10.(5I<5>).6s.6p.(1P*<1>)"	"(5,1)*"	"4"		"T7148"	"L3475"	
"416.797"	"416.79743+"	"5700"	"1.92e+08"	B+	"4134.222"	"28119.931"	"4f10.6s2"	"5I"	"7"	"4f10.(5I<7>).6s.6p.(1P*<1>)"	"(7,1)*"	"6"		"T7148"	"L3475"	
"417.193"	""	"370"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"418.372"	"418.3717+"	"930"	"8.8e+07"	B+	"4134.222"	"28029.68"	"4f10.6s2"	"5I"	"7"	""	"*"	"8"		"T7148"	"L3475"	
"418.682"	"418.68213+"	"12000"	"1.26e+08"	B+	"0.000"	"23877.739"	"4f10.6s2"	"5I"	"8"	"4f10.(5I<8>).6s.6p.(1P*<1>)"	"(8,1)*"	"8"		"T7148"	"L3475"	
"419.094"	"419.0938+"	"320"	"2.03e+07"	B+	"7050.603"	"30904.89"	"4f10.6s2"	"5I"	"6"	""	"*"	"5"		"T7148"	"L3475"	
