obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"381.033"	""	"1600"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"384.991"	""	"540"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"385.590"	""	"680"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"386.285"	"386.28515+"	"7500"	"1.16e+08"		"0.000"	"25880.274"	"4f12.6s2"	"3H"	"6"	"4f12.(3H).6s.6p"	"*"	"6"		"T7227"	"L3475"	
"389.268"	"389.26849+"	"4200"	"7.28e+07"		"0.000"	"25681.933"	"4f12.6s2"	"3H"	"6"	"4f11.(4F*).5d.6s2"	"*"	"5"		"T7227"	"L3475"	
"390.398"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"390.540"	""	"1200"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"391.805"	""	"280"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"393.701"	"393.70129+"	"3200"	"2.92e+07"		"0.000"	"25392.779"	"4f12.6s2"	"3H"	"6"	"4f11.(4F*).5d.6s2"	"*"	"6"		"T7227"	"L3475"	
"394.442"	"394.44211+"	"3200"	""		"5035.193"	"30380.282"	"4f12.6s2"	"3F"	"4"	"4f11.(4I*).5d2.(3F) (4F*).6s"	"*"	"5"		""	"L3475"	
"394.806"	""	"550"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"395.148"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"395.642"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"396.635"	""	"280"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"397.304"	"397.30356+"	"2700"	"4.79e+07"		"0.000"	"25162.553"	"4f12.6s2"	"3H"	"6"	"4f11.(4I*).5d.6s2"	"*"	"5"		"T7227"	"L3475"	
"397.358"	"397.35741+"	"3200"	"3.66e+07"		"0.000"	"25159.143"	"4f12.6s2"	"3H"	"6"	""	"*"	"7"		"T7227"	"L3475"	
"397.673"	""	"280"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"397.702"	""	"810"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"398.233"	""	"1100"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"398.753"	""	"280"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"398.766"	""	"810"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"399.115"	""	"230"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"400.405"	""	"230"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"400.796"	"400.79641+"	"14000"	"1.73e+08"		"0.000"	"24943.272"	"4f12.6s2"	"3H"	"6"	"4f12.(3H).6s.6p"	"*"	"7"		"T7227"	"L3475"	
"401.258"	""	"1100"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"402.051"	"402.05132+"	"3000"	""		"6958.329"	"31823.748"	"4f12.6s2"	"3H"	"5"	"4f12.(3H).6s.6p"	"*"	"6"		""	"L3475"	
"402.155"	""	"450"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"404.696"	""	"1000"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"405.951"	""	"550"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"407.788"	""	"420"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"408.763"	"408.76318+"	"3500"	"3.03e+07"		"0.000"	"24457.139"	"4f12.6s2"	"3H"	"6"	"4f11.(4I*).5d.6s2"	"*"	"6"		"T7227"	"L3475"	
"409.290"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"409.810"	""	"1100"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"411.636"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"411.855"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"413.150"	""	"600"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"415.111"	"415.11075+"	"6900"	"9.60e+07"		"0.000"	"24083.166"	"4f12.6s2"	"3H"	"6"	"4f12.(3H).6s.6p"	"*"	"5"		"T7227"	"L3475"	
"419.070"	""	"1000"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"420.532"	""	"130"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"421.843"	""	"1400"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"422.099"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"428.656"	""	"690"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"429.891"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"432.881"	""	"130"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"433.136"	""	"110"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"434.092"	""	"140"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"434.834"	""	"190"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"438.217"	""	"160"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"438.640"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"440.934"	""	"810"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"441.870"	""	"180"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"442.457"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"442.677"	""	"370"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"443.766"	""	"110"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"449.639"	""	"130"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"452.274"	""	"130"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"460.661"	"460.66042+"	"1000"	"7.54e+06"		"0.000"	"21701.885"	"4f12.6s2"	"3H"	"6"	"4f11.(4I*<11/2>).5d<5/2>.6s2"	"(11/2,5/2)*"	"6"		"T7227"	"L3475"	
"467.316"	""	"310"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"472.269"	""	"230"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"472.905"	""	"150"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"485.744"	""	"140"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"494.436"	""	"130"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"497.642"	""	"130"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"500.725"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"502.833"	""	"140"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"503.594"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"504.386"	""	"130"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"504.489"	""	"130"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"512.456"	""	"120"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"513.153"	""	"120"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"517.278"	""	"130"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"520.652"	""	"150"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"527.291"	""	"80"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"527.771"	""	"55"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"533.306"	""	"55"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"534.806"	""	"90"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"535.047"	""	"45"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"536.885"	""	"35"	""		""	""	""	""	""	""	""	""		""	"L3475"	
