obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"381.133"	"381.1323+"	"120"	""		"14067.86"	"40298.02"	"4f7.(8S*).6s.6p.(3P*)"	"z 10P"	"7/2"	"4f7.(8S*).6p2.(3P)"	"f 10P*"	"7/2"		""	"L7586,L3475"	
"386.557"	"386.5563+"	"190*"	""		"15581.58"	"41443.70"	"4f7.(8S*).6s.6p.(3P*)"	"z 10P"	"11/2"	"4f7.(8S*).6p2.(3P)"	"f 10P*"	"11/2"		""	"L7586,L3475"	
"386.557"	"386.5618+"	"190*"	""		"15421.25"	"41283.00"	"4f7.(8S*).5d (9D*).6s"	"a 8D*"	"7/2"	"4f.(8S*).6s (9S*).9p"	"8P"	"5/2"		""	"L7586,L3475"	
"387.272"	"387.2718+"	"45"	""		"15581.58"	"41395.92"	"4f7.(8S*).6s.6p.(3P*)"	"z 10P"	"11/2"	""	"13*"	"9/2 or 11/2"		""	"L7586,L3475"	
"388.475"	"388.4741+"	"150"	""		"14563.57"	"40298.02"	"4f7.(8S*).6s.6p.(3P*)"	"z 10P"	"9/2"	"4f7.(8S*).6p2.(3P)"	"f 10P*"	"7/2"		""	"L7586,L3475"	
"389.678"	"389.6816+"	"23*"	""		"15137.72"	"40792.43"	"4f7.(8S*).5d (9D*).6s"	"a 8D*"	"3/2"	""	""	"5/2"		""	"L7586,L3475"	
"389.678"	"389.6712+"	"23*"	""		"15680.28"	"41335.67"	"4f7.(8S*).5d (9D*).6s"	"a 8D*"	"9/2"	""	""	"7/2"		""	"L7586,L3475"	
"390.018"	""	"23"	""		""	""	""	""	""	""	""	""		""	"L7586,L3475"	
"390.051"	"390.0510+"	"70"	""		"13222.04"	"38852.45"	"4f7.(8S*).5d (9D*).6s"	"a 10D*"	"9/2"	""	"156"	"11/2"		""	"L7586,L3475"	
"391.600"	""	"45"	""		""	""	""	""	""	""	""	""		""	"L7586,L3475"	
"391.729"	"391.7297+"	"230"	""		"13048.90"	"38569.48"	"4f7.(8S*).5d (9D*).6s"	"a 10D*"	"7/2"	"4f7.(8S*).6s (9S*).5f?"	"y 10F?"	"7/2"		""	"L7586,L3475"	
"391.8520"	"391.8510+"	"40"	""		"13778.68"	"39291.36"	"4f7.(8S*).5d (9D*).6s"	"a 10D*"	"13/2"	""	"158"	"11/2 or 13/2"		""	"L7586,L3475"	
"394.960"	"394.9613+"	"60*"	""		"13048.90"	"38360.67"	"4f7.(8S*).5d (9D*).6s"	"a 10D*"	"7/2"	""	"151"	"9/2"		""	"L7586,L3475"	
"394.960"	"394.9557+"	"60*"	""		"13222.04"	"38534.17"	"4f7.(8S*).5d (9D*).6s"	"a 10D*"	"9/2"	""	"152"	"11/2 or 13/2"		""	"L7586,L3475"	
"395.575"	"395.5746+"	"60"	""		"15581.58"	"40854.11"	"4f7.(8S*).6s.6p.(3P*)"	"z 10P"	"11/2"	"4f7.(8S*).6p2.(3P)"	"f 10P*"	"9/2"		""	"L7586,L3475"	
"396.361"	"396.3604+"	"30"	""		"15952.31"	"41174.74"	"4f7.(8S*).6s.6p.(3P*)"	"z 8P"	"7/2"	"4f7.(8S*).6s (7S*).7d"	"f 6D*"	"9/2"		""	"L7586,L3475"	
"396.718"	"396.7169+"	"45"	""		"14067.86"	"39267.62"	"4f7.(8S*).6s.6p.(3P*)"	"z 10P"	"7/2"	"4f7.(8S*).6s (9S*).7d"	"f 10D*"	"5/2"		""	"L7586,L3475"	
"397.842"	"397.8417+"	"60"	""		"13457.21"	"38585.73"	"4f7.(8S*).5d (9D*).6s"	"a 10D*"	"11/2"	"4f7.(8S*).6s (9S*).5f?"	"y 10F?"	"13/2"		""	"L7586,L3475"	
