obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.16791"	"380.167922"	"10700"	"6.26e+06"	C+	"22838.323"	"49135.023"	"3d7.(4P).4s"	"b 3P"	"2"	"3d6.(3F2).4s.4p.(3P*)"	"v 3D*"	"3"		"T5720"	"L11631"	
"380.18084"	"380.180862"	"3980"	""		"22946.816"	"49242.621"	"3d7.(4P).4s"	"b 3P"	"1"	"3d6.(3F2).4s.4p.(3P*)"	"v 3D*"	"2"		""	"L11631"	
"380.19837"	"380.198342"	"1910"	"3.7e+06"	E	"26874.550"	"53169.146"	"3d6.(5D).4s.4p.(3P*)"	"z 5F*"	"5"	"3d7.(4F).4d"	"f 5G"	"6"		"T2578n"	"L11631"	
"380.22786"	"380.22778"	"1380"	"5.63e+06"	C+	"26623.735"	"52916.295"	"3d7.(2D2).4s"	"a 3D"	"2"	"3d7.(2D2).4p"	"v 3P*"	"2"		"T5720"	"L11631"	
"380.40092"	"380.400898"	"1780"	"4.6e+06"	D	"26874.550"	"53155.145"	"3d6.(5D).4s.4p.(3P*)"	"z 5F*"	"5"	"3d7.(4F).4d"	"h 5D"	"4"		"T2491n"	"L11631"	
"380.46108"	"380.460834"	"417"	""		"26406.465"	"52682.920"	"3d7.(2D2).4s"	"a 3D"	"1"	"3d7.(2D2).4p"	"t 3D*"	"2"		""	"L11631"	
"380.47911"	"380.47877"	"560"	""		"24338.767"	"50613.983"	"3d6.4s2"	"b 3G"	"3"	"3d6.(3F2).4s.4p.(3P*)"	"x 1G*"	"4"		""	"L11631"	
"380.5342"	"380.534158"	"74000bl*"	""		"27559.583"	"53830.975"	"3d6.(5D).4s.4p.(3P*)"	"z 5F*"	"2"	"3d7.(4F).4d"	"g 5F"	"3"		""	"L11631"	
"380.5342"	"380.53420"	"74000bl*"	"8.60e+07"	B+	"26627.609"	"52898.998"	"3d7.(2H).4s"	"b 3H"	"4"	"3d7.(2H).4p"	"y 3I*"	"5"		"T5720"	"L11631"	
"380.5789"	"380.57881"	"229"	""		"33946.933"	"60215.243"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"2"	"3d6.4s.(4D).4d"	"3P"	"1"		""	"L11631"	
