obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"422.5655"	"422.56552"	""	"2.82e+06"		"0.000"	"23658.306"	"7s"	"2S"	"1/2"	"8p"	"2P*"	"3/2"		"T6898"	"L12264"	
"432.5361"	"432.53607"	""	"2.64e+06"		"0.000"	"23112.960"	"7s"	"2S"	"1/2"	"8p"	"2P*"	"1/2"		"T6898"	"L12264"	
"494.6157"	"494.61573"	""	"1.67e+05"		"12237.409"	"32449.483"	"7p"	"2P*"	"1/2"	"20d"	"2D"	"3/2"		"T6898"	"L12264"	
"495.9144"	"495.91444"	""	"2.00e+05"		"12237.409"	"32396.552"	"7p"	"2P*"	"1/2"	"19d"	"2D"	"3/2"		"T6898"	"L12264"	
"496.9031"	"496.90308"	""	"4.57e+04"		"12237.409"	"32356.444"	"7p"	"2P*"	"1/2"	"20s"	"2S"	"1/2"		"T6898"	"L12264"	
"497.4988"	"497.49878"	""	"2.39e+05"		"12237.409"	"32332.354"	"7p"	"2P*"	"1/2"	"18d"	"2D"	"3/2"		"T6898"	"L12264"	
"498.7192"	"498.71920"	""	"5.59e+04"		"12237.409"	"32283.180"	"7p"	"2P*"	"1/2"	"19s"	"2S"	"1/2"		"T6898"	"L12264"	
"499.4600"	"499.45999"	""	"2.98e+05"		"12237.409"	"32253.449"	"7p"	"2P*"	"1/2"	"17d"	"2D"	"3/2"		"T6898"	"L12264"	
"500.9918"	"500.99176"	""	"6.97e+04"		"12237.409"	"32192.251"	"7p"	"2P*"	"1/2"	"18s"	"2S"	"1/2"		"T6898"	"L12264"	
"501.9293"	"501.92929"	""	"3.81e+05"		"12237.409"	"32154.979"	"7p"	"2P*"	"1/2"	"16d"	"2D"	"3/2"		"T6898"	"L12264"	
"503.8896"	"503.88964"	""	"8.88e+04"		"12237.409"	"32077.492"	"7p"	"2P*"	"1/2"	"17s"	"2S"	"1/2"		"T6898"	"L12264"	
"505.1011"	"505.10105"	""	"4.84e+05"		"12237.409"	"32029.909"	"7p"	"2P*"	"1/2"	"15d"	"2D"	"3/2"		"T6898"	"L12264"	
"507.6691"	"507.66912"	""	"1.15e+05"		"12237.409"	"31929.789"	"7p"	"2P*"	"1/2"	"16s"	"2S"	"1/2"		"T6898"	"L12264"	
"509.2753"	"509.27532"	""	"6.28e+05"		"12237.409"	"31867.682"	"7p"	"2P*"	"1/2"	"14d"	"2D"	"3/2"		"T6898"	"L12264"	
"512.7362"	"512.73622"	""	"1.56e+05"		"12237.409"	"31735.182"	"7p"	"2P*"	"1/2"	"15s"	"2S"	"1/2"		"T6898"	"L12264"	
"514.9331"	"514.93307"	""	"8.48e+05"		"12237.409"	"31652.000"	"7p"	"2P*"	"1/2"	"13d"	"2D"	"3/2"		"T6898"	"L12264"	
"519.7664"	"519.76640"	""	"2.14e+05"		"12237.409"	"31471.465"	"7p"	"2P*"	"1/2"	"14s"	"2S"	"1/2"		"T6898"	"L12264"	
"522.8917"	"522.89168"	""	"1.19e+06"		"12237.409"	"31356.506"	"7p"	"2P*"	"1/2"	"12d"	"2D"	"3/2"		"T6898"	"L12264"	
"529.9592"	"529.95916"	""	"3.05e+05"		"12237.409"	"31101.539"	"7p"	"2P*"	"1/2"	"13s"	"2S"	"1/2"		"T6898"	"L12264"	
"534.6417"	"534.64166"	""	"1.76e+06"		"12237.409"	"30936.325"	"7p"	"2P*"	"1/2"	"11d"	"2D"	"3/2"		"T6898"	"L12264"	
"539.6176"	"539.61762"	""	"1.55e+05"		"13923.998"	"32450.488"	"7p"	"2P*"	"3/2"	"20d"	"2D"	"5/2"		"T6898"	"L12264"	
"539.6469"	"539.64690"	""	"2.62e+04"		"13923.998"	"32449.483"	"7p"	"2P*"	"3/2"	"20d"	"2D"	"3/2"		"T6898"	"L12264"	
"541.1578"	"541.15779"	""	"1.86e+05"		"13923.998"	"32397.761"	"7p"	"2P*"	"3/2"	"19d"	"2D"	"5/2"		"T6898"	"L12264"	
