obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"403.2984"	"403.29843+"	"4"	"4.85e+07"	B+	"0.000"	"24788.530"	"3d10.4s2.4p"	"2P*"	"1/2"	"4s2.5s"	"2S"	"1/2"		"T7574"	"L12180"	
"417.2042"	"417.20391+"	"5"	"9.45e+07"	B+	"826.190"	"24788.530"	"3d10.4s2.4p"	"2P*"	"3/2"	"4s2.5s"	"2S"	"1/2"		"T7574"	"L12180"	
""	"424.0525"	""	""		"24788.530"	"48363.88"	"4s2.5s"	"2S"	"1/2"	"4s2.70p"	"2P*"	"1/2"		""	"L12180"	
""	"424.0525"	""	""		"24788.530"	"48363.88"	"4s2.5s"	"2S"	"1/2"	"4s2.70p"	"2P*"	"3/2"		""	"L12180"	
""	"424.0651"	""	""		"24788.530"	"48363.18"	"4s2.5s"	"2S"	"1/2"	"4s2.69p"	"2P*"	"1/2"		""	"L12180"	
""	"424.0651"	""	""		"24788.530"	"48363.18"	"4s2.5s"	"2S"	"1/2"	"4s2.69p"	"2P*"	"3/2"		""	"L12180"	
""	"424.0800"	""	""		"24788.530"	"48362.35"	"4s2.5s"	"2S"	"1/2"	"4s2.68p"	"2P*"	"1/2"		""	"L12180"	
""	"424.0800"	""	""		"24788.530"	"48362.35"	"4s2.5s"	"2S"	"1/2"	"4s2.68p"	"2P*"	"3/2"		""	"L12180"	
""	"424.0924"	""	""		"24788.530"	"48361.66"	"4s2.5s"	"2S"	"1/2"	"4s2.67p"	"2P*"	"1/2"		""	"L12180"	
""	"424.0924"	""	""		"24788.530"	"48361.66"	"4s2.5s"	"2S"	"1/2"	"4s2.67p"	"2P*"	"3/2"		""	"L12180"	
""	"424.1098"	""	""		"24788.530"	"48360.69"	"4s2.5s"	"2S"	"1/2"	"4s2.66p"	"2P*"	"1/2"		""	"L12180"	
""	"424.1098"	""	""		"24788.530"	"48360.69"	"4s2.5s"	"2S"	"1/2"	"4s2.66p"	"2P*"	"3/2"		""	"L12180"	
""	"424.1257"	""	""		"24788.530"	"48359.81"	"4s2.5s"	"2S"	"1/2"	"4s2.65p"	"2P*"	"1/2"		""	"L12180"	
""	"424.1257"	""	""		"24788.530"	"48359.81"	"4s2.5s"	"2S"	"1/2"	"4s2.65p"	"2P*"	"3/2"		""	"L12180"	
""	"424.1406"	""	""		"24788.530"	"48358.98"	"4s2.5s"	"2S"	"1/2"	"4s2.64p"	"2P*"	"1/2"		""	"L12180"	
