obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.439"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"383.297"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"384.328"	""	"1400"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"386.699"	""	"1600"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"387.357"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"390.271"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"390.429"	""	"240"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"390.565"	""	"450"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"393.479"	""	"1200"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"393.538"	""	"220"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"394.180"	""	"450"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"394.263"	""	"590"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"394.324"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"394.362"	""	"220"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"394.554"	""	"1400"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"395.337"	""	"590"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"396.628"	""	"590"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"396.900"	""	"750"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"397.271"	""	"390"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"397.481"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"397.933"	""	"750"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"398.784"	""	"470"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"399.269"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"400.833"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"401.558"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"401.725"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"401.771"	""	"430"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"401.973"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"402.314"	""	"1100"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"402.335"	""	"810"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"402.761"	""	"220"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"402.815"	""	"1100"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"403.088"	""	"860"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"403.349"	""	"700"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"403.540"	""	"340"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"403.684"	""	"260"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"404.371"	""	"410"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"404.501"	""	"1600"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"404.709"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"404.920"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"405.037"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"405.364"	"405.36402+"	"2600"	"6.2e+07"		"999.121"	"25661.340"	"4f7.(8S*).5d.6s2"	"9D*"	"5"	"4f7.(8S*).5d (7D*).6s.6p.(3P*)"	""	"6"		"T7227"	"L3475"	
"405.472"	""	"810"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"405.822"	"405.82196+"	"2600"	"5.7e+07"		"215.124"	"24849.514"	"4f7.(8S*).5d.6s2"	"9D*"	"3"	"4f7.(8S*).5d (7D*).6s.6p.(3P*)"	""	"4"		"T7227"	"L3475"	
"405.988"	""	"650"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"406.604"	""	"260"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"406.835"	""	"520"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"406.874"	""	"260"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"407.870"	"407.87040+"	"2800"	"5.9e+07"		"532.977"	"25043.649"	"4f7.(8S*).5d.6s2"	"9D*"	"4"	"4f7.(8S*).5d (9D*).6s.6p.(1P*)"	""	"5"		"T7227"	"L3475"	
"408.370"	""	"520"	""		""	""	""	""	""	""	""	""		""	"L3475"	
