obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"422.65625"	"422.656259"	"70"	"2.1e+07"	C	"16367.3332"	"40020.5604"	"4s2.4p2"	"1S"	"0"	"4s2.4p.5s"	"1P*"	"1"		"T4515"	"L3476"	
"468.58286"	"468.582849"	"10"	"9.5e+06"	C	"16367.3332"	"37702.3054"	"4s2.4p2"	"1S"	"0"	"4s2.4p.5s"	"3P*"	"1"		"T4515"	"L3476"	
"519.4586"	"519.45830"	"3"	""		"37702.3054"	"56947.7693"	"4s2.4p.5s"	"3P*"	"1"	"4s2.4p.6p"	"3P"	"2"		""	"L3476"	
"526.5892"	"526.58915"	"6"	""		"37702.3054"	"56687.1584"	"4s2.4p.5s"	"3P*"	"1"	"4s2.4p.6p"	"3P"	"1"		""	"L3476"	
"551.3264"	"551.32634"	"6"	""		"39117.9021"	"57250.9427"	"4s2.4p.5s"	"3P*"	"2"	"4s2.4p.6p"	"1D"	"2"		""	"L3476"	
"556.4742"	"556.47408"	"8"	""		"39117.9021"	"57083.2021"	"4s2.4p.5s"	"3P*"	"2"	"4s2.4p.6p"	"3S"	"1"		""	"L3476"	
"560.7012"	"560.70101"	"8"	""		"39117.9021"	"56947.7693"	"4s2.4p.5s"	"3P*"	"2"	"4s2.4p.6p"	"3P"	"2"		""	"L3476"	
"561.6137"	"561.61353"	"6"	""		"37702.3054"	"55503.2026"	"4s2.4p.5s"	"3P*"	"1"	"4s2.4p.6p"	"3P"	"0"		""	"L3476"	
"562.1428"	"562.14256"	"7"	""		"37451.6893"	"55235.8344"	"4s2.4p.5s"	"3P*"	"0"	"4s2.4p.6p"	"1P"	"1"		""	"L3476"	
"565.5962"	"565.5960"	"8"	""		"39117.9021"	"56793.460"	"4s2.4p.5s"	"3P*"	"2"	"4s2.4p.6p"	"3D"	"3"		""	"L3476"	
"566.4227"	"566.4226"	"6"	""		"40020.5604"	"57670.326"	"4s2.4p.5s"	"1P*"	"1"	"4s2.4p.6p"	"1S"	"0"		""	"L3476"	
"566.4844"	"566.4842"	"5"	""		"39117.9021"	"56765.748"	"4s2.4p.5s"	"3P*"	"2"	"4s2.4p.(2P*<1/2>).4f"	"2[7/2]"	"3"		""	"L3476"	
"569.1958"	"569.19543"	"9"	""		"37702.3054"	"55266.0902"	"4s2.4p.5s"	"3P*"	"1"	"4s2.4p.6p"	"3D"	"2"		""	"L3476"	
"570.1778"	"570.17765"	"6"	""		"37702.3054"	"55235.8344"	"4s2.4p.5s"	"3P*"	"1"	"4s2.4p.6p"	"1P"	"1"		""	"L3476"	
"571.7878"	"571.78769"	"5"	""		"37451.6893"	"54935.8479"	"4s2.4p.5s"	"3P*"	"0"	"4s2.4p.6p"	"3D"	"1"		""	"L3476"	
"580.1032"	"580.10290"	"6"	""		"37702.3054"	"54935.8479"	"4s2.4p.5s"	"3P*"	"1"	"4s2.4p.6p"	"3D"	"1"		""	"L3476"	
"580.2093"	"580.20930"	"9"	""		"40020.5604"	"57250.9427"	"4s2.4p.5s"	"1P*"	"1"	"4s2.4p.6p"	"1D"	"2"		""	"L3476"	
"655.7488"	"655.74883"	"6"	""		"40020.5604"	"55266.0902"	"4s2.4p.5s"	"1P*"	"1"	"4s2.4p.6p"	"3D"	"2"		""	"L3476"	
"713.0117"	"713.0126"	"6"	""		"48104.1003"	"62125.233"	"4s2.4p.5p"	"3D"	"3"	"4s2.4p.7d"	"(3/2,5/2)*"	"4"		""	"L3476"	
"733.0380"	"733.0383"	"7"	""		"46765.2705"	"60403.365"	"4s2.4p.5p"	"1P"	"1"	"4s2.4p.7d"	"(1/2,3/2)*"	"2"		""	"L3476"	
"735.3332"	"735.3334"	"5"	""		"46834.3798"	"60429.908"	"4s2.4p.5p"	"3D"	"2"	"4s2.4p.7d"	"(1/2,5/2)*"	"3"		""	"L3476"	
"738.4208"	"738.4208"	"7"	""		"45985.592"	"59524.276"	"4s2.4p.5p"	"3D"	"1"	"4s2.4p.8s"	"(1/2,1/2)*"	"1"		""	"L3476"	
"740.2645"	"740.2648"	"6"	""		"46765.2705"	"60270.231"	"4s2.4p.5p"	"1P"	"1"	"4s2.4p.6d"	"(3/2,3/2)*"	"2"		""	"L3476"	
"751.1570"	"751.15686"	"7"	""		"37702.3054"	"51011.4392"	"4s2.4p.5s"	"3P*"	"1"	"4s2.4p.5p"	"1S"	"0"		""	"L3476"	
"777.620"	"777.6194"	"5"	""		"46834.3798"	"59690.604"	"4s2.4p.5p"	"3D"	"2"	"4s2.4p.6d"	"(1/2,5/2)*"	"2"		""	"L3476"	
