obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"383.5355892"	""	"1.1836e+06"	AAA	"82258.9191133"	"[108324.724162]"	"2p"	"2P*"	"1/2"	"9d"	"2D"	"3/2"		"T7771"	""	
""	"383.5356424"	""	"7.1201e+04"	AAA	"82258.9191133"	"[108324.72055]"	"2p"	"2P*"	"1/2"	"9s"	"2S"	"1/2"		"T7771"	""	
""	"383.53587"	""	""		""	""	""	""	""	""	""	""		""	"c48"	
""	"383.5361082"	""	"8.4384e+05"	AAA	"82258.9543992821"	"[108324.72418]"	"2s"	"2S"	"1/2"	"9p"	"2P*"	"3/2"		"T7771"	""	
""	"383.5361616"	""	""		"82258.9543992821"	"[108324.72055]"	"2s"	"2S"	"1/2"	"9s"	"2S"	"1/2"	M1	""	""	
""	"383.5361673"	""	"8.4385e+05"	AAA	"82258.9543992821"	"[108324.72016]"	"2s"	"2S"	"1/2"	"9p"	"2P*"	"1/2"		"T7771"	""	
""	"383.53839"	""	""		""	""	""	""	""	""	""	""		""	"c49"	
"383.5397"	"383.53909"	"30000"	"1.2156e+05"	AAA	"82259.158"	"108324.7253"	"2"	""	""	"9"	""	""		"T8637"	"L7436c29"	
""	"383.5409535"	""	"1.4203e+06"	AAA	"82259.2850014"	"[108324.725501]"	"2p"	"2P*"	"3/2"	"9d"	"2D"	"5/2"		"T7771"	""	
""	"383.54096"	""	""		""	""	""	""	""	""	""	""		""	"c50"	
""	"383.5409732"	""	"2.3671e+05"	AAA	"82259.2850014"	"[108324.724162]"	"2p"	"2P*"	"3/2"	"9d"	"2D"	"3/2"		"T7771"	""	
""	"383.5410263"	""	"1.4242e+05"	AAA	"82259.2850014"	"[108324.72055]"	"2p"	"2P*"	"3/2"	"9s"	"2S"	"1/2"		"T7771"	""	
""	"388.9019815"	""	"1.7103e+06"	AAA	"82258.9191133"	"107965.0548660"	"2p"	"2P*"	"1/2"	"8d"	"2D"	"3/2"		"T7771"	""	
""	"388.9020595"	""	"1.0180e+05"	AAA	"82258.9191133"	"107965.0497145"	"2p"	"2P*"	"1/2"	"8s"	"2S"	"1/2"		"T7771"	""	
""	"388.90227"	""	""		""	""	""	""	""	""	""	""		""	"c51"	
"388.9024865"	"388.9024865"	""	""		"82258.9543992821"	"107965.05677174"	"2s"	"2S"	"1/2"	"8d"	"2D"	"5/2"	E2	""	"L11759"	
""	"388.9025152"	""	"1.2025e+06"	AAA	"82258.9543992821"	"[107965.0548753]"	"2s"	"2S"	"1/2"	"8p"	"2P*"	"3/2"		"T7771"	""	
"388.9025154"	"388.9025154"	""	""		"82258.9543992821"	"107965.0548660"	"2s"	"2S"	"1/2"	"8d"	"2D"	"3/2"	E2	""	"L11759"	
"388.9025933"	"388.9025933"	""	""		"82258.9543992821"	"107965.0497145"	"2s"	"2S"	"1/2"	"8s"	"2S"	"1/2"	M1	""	"L11759"	
""	"388.9026017"	""	"1.2026e+06"	AAA	"82258.9543992821"	"[107965.0491583]"	"2s"	"2S"	"1/2"	"8p"	"2P*"	"1/2"		"T7771"	""	
""	"388.90486"	""	""		""	""	""	""	""	""	""	""		""	"c52"	
"388.9064"	"388.90557"	"70000"	"2.2148e+05"	AAA	"82259.158"	"107965.0568"	"2"	""	""	"8"	""	""		"T8637"	"L7436c29"	
""	"388.9074883"	""	"2.0523e+06"	AAA	"82259.2850014"	"107965.05677174"	"2p"	"2P*"	"3/2"	"8d"	"2D"	"5/2"		"T7771"	""	
""	"388.90749"	""	""		""	""	""	""	""	""	""	""		""	"c53"	
""	"388.9075172"	""	"3.4205e+05"	AAA	"82259.2850014"	"107965.0548660"	"2p"	"2P*"	"3/2"	"8d"	"2D"	"3/2"		"T7771"	""	
""	"388.9075951"	""	"2.0363e+05"	AAA	"82259.2850014"	"107965.0497145"	"2p"	"2P*"	"3/2"	"8s"	"2S"	"1/2"		"T7771"	""	
""	"397.0041763"	""	"2.6093e+06"	AAA	"82258.9191133"	"[107440.447022]"	"2p"	"2P*"	"1/2"	"7d"	"2D"	"3/2"		"T7771"	""	
""	"397.0042976"	""	"1.5289e+05"	AAA	"82258.9191133"	"[107440.43933]"	"2p"	"2P*"	"1/2"	"7s"	"2S"	"1/2"		"T7771"	""	
""	"397.00448"	""	""		""	""	""	""	""	""	""	""		""	"c54"	
""	"397.0047325"	""	"1.7972e+06"	AAA	"82258.9543992821"	"[107440.44703]"	"2s"	"2S"	"1/2"	"7p"	"2P*"	"3/2"		"T7771"	""	
