obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"381.96074"	"381.9601975"	"10*"	"1.7876e+05"	AAA	"[169086.76391031]"	"[195260.07459804]"	"1s.2p"	"3P*"	"2"	"1s.6d"	"3D"	"1"		"T8636c73"	"L14926"	
"381.96074"	"381.9602773"	"10*"	"1.6087e+06"	AAA	"[169086.76391031]"	"[195260.06913189]"	"1s.2p"	"3P*"	"2"	"1s.6d"	"3D"	"2"		"T8636c73"	"L14926"	
"381.96074"	"381.9602828"	"10*"	"6.4353e+06"	AAA	"[169086.76391031]"	"[195260.06875373]"	"1s.2p"	"3P*"	"2"	"1s.6d"	"3D"	"3"		"T8636c73"	"L14926"	
"381.96074"	"381.9613129"	"10*"	"2.6814e+06"	AAA	"[169086.84033581]"	"[195260.07459804]"	"1s.2p"	"3P*"	"1"	"1s.6d"	"3D"	"1"		"T8636c73"	"L14926"	
"381.96074"	"381.9613927"	"10*"	"4.8261e+06"	AAA	"[169086.84033581]"	"[195260.06913189]"	"1s.2p"	"3P*"	"1"	"1s.6d"	"3D"	"2"		"T8636c73"	"L14926"	
""	"381.9757310"	"1"	"3.5752e+06"	AAA	"[169087.82825101]"	"[195260.07459804]"	"1s.2p"	"3P*"	"0"	"1s.6d"	"3D"	"1"		"T8636c73"	"L366"	
"383.3554"	"383.3548713"	"0"	"9.6470e+05"	AAA	"[171134.894441]"	"[197212.986924548]"	"1s.2p"	"1P*"	"1"	"1s.10d"	"1D"	"2"		"T8636c73"	"L551,L366"	
""	"383.8100125"	""	"3.7425e+05"	AAA	"[171134.894441]"	"[197182.0629406]"	"1s.2p"	"1P*"	"1"	"1s.10s"	"1S"	"0"		"T8636c73"	""	
""	"386.7472343"	"3*"	"1.3592e+06"	AAA	"[169086.76391031]"	"[194936.1170910]"	"1s.2p"	"3P*"	"2"	"1s.6s"	"3S"	"1"		"T8636c73"	"L366"	
""	"386.7483778"	"3*"	"8.1551e+05"	AAA	"[169086.84033581]"	"[194936.1170910]"	"1s.2p"	"3P*"	"1"	"1s.6s"	"3S"	"1"		"T8636c73"	"L366"	
""	"386.7631595"	"1"	"2.7184e+05"	AAA	"[169087.82825101]"	"[194936.1170910]"	"1s.2p"	"3P*"	"0"	"1s.6s"	"3S"	"1"		"T8636c73"	"L366"	
"387.1791"	"387.1786406"	"1"	"1.3386e+06"	AAA	"[171134.894441]"	"[196955.446144507]"	"1s.2p"	"1P*"	"1"	"1s.9d"	"1D"	"2"		"T8636c73"	"L551"	
""	"387.8176858"	""	"5.1753e+05"	AAA	"[171134.894441]"	"[196912.9000793]"	"1s.2p"	"1P*"	"1"	"1s.9s"	"1S"	"0"		"T8636c73"	""	
