obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.0380"	"380.036290"	"36000"	"2.86e+06"	B	"0.0000"	"26305.8081"	"5d2.6s2"	"a 3F"	"2"	"5d2.(a 3F).6s.(a 4F).6p"	"z 5D*"	"3"		"T5346"	"L21976,L16323"	
"380.0452"	"380.044548"	"11000"	""		"5638.6151"	"31943.8516"	"5d2.6s2"	"a 1D"	"2"	"5d2.(a 3P).6s.(a 4P).6p"	"z 5S*"	"2"		""	"L16323"	
"380.1920"	""	"35"	""		""	""	""	""	""	""	""	""		""	"L16323"	
"380.2652"	"380.26517"	"530"	""		"25678.643"	"51968.618"	"5d3.(2H).6s"	"a 3H"	"4"	"5d3.(b 4P).6p"	"w 5D*"	"4"		""	"L16323"	
"380.4198"	"380.41952"	"1800"	""		"22901.3837"	"49180.692"	"5d2.(a 3F).6s.(a 4F).6p"	"z 5G*"	"5"	"5d4"	"b 3H"	"5"		""	"L16323"	
"380.4533"	"380.4544"	"3500i"	""		"22901.3837"	"49178.282?"	"5d2.(a 3F).6s.(a 4F).6p"	"z 5G*"	"5"	"5d4"	"5F?"	"5"		""	"L16323c153"	
"380.5440"	""	"35"	""		""	""	""	""	""	""	""	""		""	"L16323"	
"380.9882"	""	"100"	""		""	""	""	""	""	""	""	""		""	"L16323"	
"381.0610"	""	"240"	""		""	""	""	""	""	""	""	""		""	"L16323"	
"381.1781"	"381.177553"	"14000"	"3.29e+06"	B+	"2356.6756"	"28583.7248"	"5d2.6s2"	"a 3F"	"3"	"5d2.(a 3F).6s.(a 4F).6p"	"z 3G*"	"3"		"T5346"	"L21976,L16323"	
"381.3080"	""	"69"	""		""	""	""	""	""	""	""	""		""	"L16323"	
"381.334"	"381.33118"	"35"	""		"21738.7225"	"47955.206"	"5d2.(a 3F).6s.(a 4F).6p"	"z 5F*"	"1"	"6p2.(1S).5d.(2D).6s"	"g 3D"	"2"		""	"L16323"	
"381.3690"	""	"35"	""		""	""	""	""	""	""	""	""		""	"L16323"	
