obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.16583"	"380.16582"	"50"	""		"54068.6829"	"80365.528"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.10s"	"1S"	"0"		""	"L3451"	
"381.58"	"381.5815"	"1"	""		"54068.6829"	"80267.97"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.10s"	"3S"	"1"		""	"L7587c86"	
"382.040"	"382.037"	"50"	""		"70932.2"	"97100.23"	"5d9.6s2.(2D<5/2>).6p"	"2[7/2]*"	"3"	"5d9.6s2.(2D<5/2>).7s"	"2[5/2]"	"3"		""	"L4742,L1310c86"	
"386.085"	"386.0963"	"30"	""		"71207.296"	"97100.23"	"5d10.6s.7p"	"3P*"	"2"	"5d9.6s2.(2D<5/2>).7s"	"2[5/2]"	"3"		""	"L4742,L1310c86"	
"389.386"	"389.363"	"1"	""		"54068.6829"	"79744.4"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.6f"	"1F*"	"3"	E2	""	"L7589c86"	
"390.1868"	"390.1870"	"30"	""		"54068.6829"	"79690.16"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.8d"	"3D"	"2"		""	"L3451"	
"390.3638"	"390.3636"	"0.5"	""		"54068.6829"	"79678.57"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.8d"	"3D"	"1"		""	"L7593c86"	
"390.6371"	"390.6383"	"40"	""		"54068.6829"	"79660.56"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.8d"	"1D"	"2"		""	"L3451"	
"398.392"	"398.396"	"2"	""		"68886.43"	"93980.0"	"5d9.6s2.(2D<5/2>).6p"	"2[3/2]*"	"2"	"5d10.6p2"	"3P"	"1"		""	"L15226c86"	
"402.595"	"402.601"	"4"	""		"63928.120"	"88759.6"	"5d10.6s.7s"	"1S"	"0"	"5d9.6s2.(2D<3/2>).6p"	"2[1/2]*"	"1"		""	"L7588c86"	
"404.6565"	"404.65643"	"12000"	"2.07e+07"	B	"37644.982"	"62350.325"	"5d10.6s.6p"	"3P*"	"0"	"5d10.6s.7s"	"3S"	"1"		"T5292"	"L7247"	
"407.7837"	"407.78370"	"1000"	"4.0e+06"	B	"39412.237"	"63928.120"	"5d10.6s.6p"	"3P*"	"1"	"5d10.6s.7s"	"1S"	"0"		"T5292"	"L7247"	
"410.8054"	"410.8054"	"70"	"2.2e+06"	D	"54068.6829"	"78404.24"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.9s"	"1S"	"0"		"T3462"	"L3451"	
"414.00"	"414.0059"	"0"	""		"54068.6829"	"78216.12"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.9s"	"3S"	"1"		""	"L7587c86"	
"431.405"	"431.4186"	"1"	""		"54068.6829"	"77241.51"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.5f"	"1F*"	"3"	E2	""	"L7589c86"	
"433.92232"	"433.92228"	"50"	"2.9e+06"	C+	"54068.6829"	"77107.807"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.7d"	"3D"	"2"		"T5292"	"L3451"	
"434.3634"	"434.3632"	"1.3"	""		"54068.6829"	"77084.42"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.7d"	"3D"	"1"		""	"L7593c86"	
"434.74945"	"434.74951"	"150"	"8.4e+06"	B	"54068.6829"	"77063.970"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.7d"	"1D"	"2"		"T5292"	"L3451"	
"435.8335"	"435.83363"	"12000"	"5.6e+07"	B	"39412.237"	"62350.325"	"5d10.6s.6p"	"3P*"	"1"	"5d10.6s.7s"	"3S"	"1"		"T5292"	"L7247"	
"467.0831"	"467.0831"	""	""		"62350.325"	"83753.80"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.20p"	"1P*"	"1"		""	"L11984"	
"467.1717"	"467.1717"	""	""		"62350.325"	"83749.74"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.20p"	"3P*"	"2"		""	"L11984"	
"467.2918"	"467.2920"	"*"	""		"62350.325"	"83744.23"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.20p"	"3P*"	"1"		""	"L11984"	
"467.2918"	"467.2920"	"*"	""		"62350.325"	"83744.23"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.20p"	"3P*"	"0"		""	"L11984"	
"468.3819"	"468.3821"	""	""		"62350.325"	"83694.44"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.19p"	"1P*"	"1"		""	"L11984"	
"468.4926"	"468.4925"	""	""		"62350.325"	"83689.41"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.19p"	"3P*"	"2"		""	"L11984"	
"468.6386"	"468.6386"	"*"	""		"62350.325"	"83682.76"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.19p"	"3P*"	"1"		""	"L11984"	
"468.6386"	"468.6386"	"*"	""		"62350.325"	"83682.76"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.19p"	"3P*"	"0"		""	"L11984"	
"469.9797"	"469.9796"	""	""		"62350.325"	"83621.89"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.18p"	"1P*"	"1"		""	"L11984"	
"470.1171"	"470.1171"	""	""		"62350.325"	"83615.67"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.18p"	"3P*"	"2"		""	"L11984"	
"470.3011"	"470.3011"	""	""		"62350.325"	"83607.35"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.18p"	"3P*"	"1"		""	"L11984"	
"470.3051"	"470.3051"	""	""		"62350.325"	"83607.17"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.18p"	"3P*"	"0"		""	"L11984"	
"471.9742"	"471.9744"	""	""		"62350.325"	"83531.99"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.17p"	"1P*"	"1"		""	"L11984"	
"472.1512"	"472.1511"	""	""		"62350.325"	"83524.06"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.17p"	"3P*"	"2"		""	"L11984"	
"472.3814"	"472.3814"	""	""		"62350.325"	"83513.74"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.17p"	"3P*"	"1"		""	"L11984"	
"472.3919"	"472.3917"	""	""		"62350.325"	"83513.28"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.17p"	"3P*"	"0"		""	"L11984"	
"474.5148"	"474.5146"	""	""		"62350.325"	"83418.60"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.16p"	"1P*"	"1"		""	"L11984"	
"474.7458"	"474.7458"	""	""		"62350.325"	"83408.34"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.16p"	"3P*"	"2"		""	"L11984"	
"475.0393"	"475.0393"	""	""		"62350.325"	"83395.33"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.16p"	"3P*"	"1"		""	"L11984"	
"475.0560"	"475.0560"	""	""		"62350.325"	"83394.59"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.16p"	"3P*"	"0"		""	"L11984"	
"477.8118"	"477.8117"	""	""		"62350.325"	"83273.22"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.15p"	"1P*"	"1"		""	"L11984"	
"478.1274"	"478.1273"	""	""		"62350.325"	"83259.41"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.15p"	"3P*"	"2"		""	"L11984"	
"478.5153"	"478.5155"	""	""		"62350.325"	"83242.45"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.15p"	"3P*"	"1"		""	"L11984"	
"478.5354"	"478.5354"	""	""		"62350.325"	"83241.58"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.15p"	"3P*"	"0"		""	"L11984"	
"482.2204"	"482.2206"	""	""		"62350.325"	"83081.93"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.14p"	"1P*"	"1"		""	"L11984"	
"482.6594"	"482.6594"	""	""		"62350.325"	"83063.08"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.14p"	"3P*"	"2"		""	"L11984"	
"483.1878"	"483.1878"	""	""		"62350.325"	"83040.43"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.14p"	"3P*"	"1"		""	"L11984"	
"483.2238"	"483.2238"	""	""		"62350.325"	"83038.89"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.14p"	"3P*"	"0"		""	"L11984"	
"488.2999"	"488.3001"	"6"	""		"62350.325"	"82823.816"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.13p"	"1P*"	"1"		""	"L3499"	
"488.9489"	"488.9489"	""	""		"62350.325"	"82796.65"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.13p"	"3P*"	"2"		""	"L11984"	
"489.6914"	"489.6909"	""	""		"62350.325"	"82765.67"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.13p"	"3P*"	"1"		""	"L11984"	
"489.7482"	"489.7482"	""	""		"62350.325"	"82763.28"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.13p"	"3P*"	"0"		""	"L11984"	
"491.6068"	"491.6045"	"20"	"5.8e+06"	D+	"54068.6829"	"74404.56"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.8s"	"1S"	"0"		"T5292"	"L3451"	
"496.01"	"496.017"	"100"	""		"76945.27"	"97100.23"	"5d9.6s2.(2D<5/2>).6p"	"2[7/2]*"	"4"	"5d9.6s2.(2D<5/2>).7s"	"2[5/2]"	"3"		""	"L1310c86"	
"497.0370"	"497.0374"	"6"	""		"62350.325"	"82463.923"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.12p"	"1P*"	"1"		""	"L3499"	
"498.0640"	"498.0639"	"6"	""		"62350.325"	"82422.47"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.12p"	"3P*"	"2"		""	"L3499"	
"499.1601"	"499.1604"	""	""		"62350.325"	"82378.38"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.12p"	"3P*"	"1"		""	"L11984"	
"499.2593"	"499.2596"	""	""		"62350.325"	"82374.40"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.12p"	"3P*"	"0"		""	"L11984"	
"502.56"	"502.56307"	"3"	"2.67e+04"	B	"54068.6829"	"73961.135"	"5d10.6s.6p"	"1P*"	"1"	"5d10.6s.8s"	"3S"	"1"		"T5292"	"L7587c86"	
"504.58"	"504.569"	"2"	""		"77286.86"	"97100.23"	"5d10.6s.5f"	"3F*"	"4"	"5d9.6s2.(2D<5/2>).7s"	"2[5/2]"	"3"		""	"L7587c86"	
"510.2705"	"510.2704"	"30"	""		"62350.325"	"81942.318"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.11p"	"1P*"	"1"		""	"L3499"	
"512.0637"	"512.0637"	"70"	""		"62350.325"	"81873.704"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.11p"	"3P*"	"2"		""	"L3499"	
"513.7940"	"513.7942"	"30"	""		"62350.325"	"81807.95"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.11p"	"3P*"	"1"		""	"L3499"	
"513.9926"	"513.9928"	""	""		"62350.325"	"81800.43"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.11p"	"3P*"	"0"		""	"L11984"	
"521.89"	"521.9440"	"2"	""		"63928.120"	"83081.93"	"5d10.6s.7s"	"1S"	"0"	"5d10.6s.14p"	"1P*"	"1"		""	"L7587c86"	
"529.0740"	"529.0738"	"30"	""		"63928.120"	"82823.816"	"5d10.6s.7s"	"1S"	"0"	"5d10.6s.13p"	"1P*"	"1"		""	"L3499"	
"531.6776"	"531.6776"	"6"	""		"62350.325"	"81153.485"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.10p"	"1P*"	"1"		""	"L3499c86"	
"535.4034"	"535.4036"	"130"	""		"62350.325"	"81022.63"	"5d10.6s.7s"	"3S"	"1"	"5d10.6s.10p"	"3P*"	"2"		""	"L11984"	
"536.55"	"536.538"	"12"	""		"78677.01"	"97309.84"	"5d9.6s2.(2D<5/2>).6p"	"2[5/2]*"	"2"	"5d9.6s2.(2D<5/2>).7s"	"2[5/2]"	"2"		""	"L1310c86"	
