obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"381.186"	""	"490"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"382.927"	""	"390"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"384.988"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"386.262"	""	"540"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"389.042"	""	"490"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"390.444"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"391.180"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"391.945"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"393.885"	""	"220"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"395.056"	""	"220"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"395.573"	""	"580"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"395.968"	""	"490"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"397.588"	""	"220"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"397.693"	""	"390c"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"399.958"	""	"380"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"400.339"	""	"220"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"401.350"	""	"110"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"402.539"	""	"110"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"402.721"	""	"320"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"402.886"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"403.180"	""	"180c"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"403.762"	""	"220"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"404.081"	"404.0811+"	"2700"	"3.73e+07"		"0.00"	"24740.52"	"4f11.6s2"	"4I*"	"15/2"	"4f10.5d.6s2"	""	"13/2"		"T7227"	"L3475"	
"404.752"	""	"220c"	"1.62e+08"		""	""	""	""	""	""	""	""		""	"L3475"	
"405.393"	"405.3873+"	"8100"	"1.62e+08"		"0.00"	"24660.80"	"4f11.6s2"	"4I*"	"15/2"	"4f11.(4I*<15/2>).6s.6p.(1P*<1>)"	"(15/2,1)"	"15/2"		"T7227"	"L3475"	
"405.755"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"406.031"	""	"220"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"406.757"	""	"170"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"406.805"	""	"720"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"407.183"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"407.313"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"407.351"	""	"290"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"408.367"	""	"230"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"408.509"	""	"140"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"408.735"	""	"170"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"408.759"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"409.164"	""	"140"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"409.478"	""	"120"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"410.022"	""	"230"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"410.384"	"410.3796+"	"8900"	"1.55e+08"		"0.00"	"24360.81"	"4f11.6s2"	"4I*"	"15/2"	"4f11.(4I*<15/2>).6s.6p.(1P*<1>)"	"(15/2,1)"	"17/2"		"T7227"	"L3475"	
"410.504"	""	"120"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"410.650"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"410.736"	""	"100"	""		""	""	""	""	""	""	""	""		""	"L3475"	
