obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"382.091"	"382.09130"	"1100d"	""		"54633.2819"	"80797.612"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).9p"	"2[1]*"	"3/2"		""	"L13998"	
"382.7235"	"382.72397"	"1300"	""		"56092.7112"	"82213.791"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<1>).7p"	"2[2]*"	"5/2"		""	"L13998"	
"384.0946"	"384.09467"	"2200"	""		"54633.2819"	"80661.147"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).9p"	"2[3]*"	"7/2"		""	"L13998"	
"384.641"	"384.64104"	"1100d"	""		"54633.2819"	"80624.176"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).9p"	"2[2]*"	"5/2"		""	"L13998"	
"384.7627"	"384.76233"	"660"	""		"54633.2819"	"80615.983"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).9p"	"2[2]*"	"3/2"		""	"L13998"	
"385.3856"	"385.3858"	"250"	""		"56092.7112"	"82033.38"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).7f"	"2[2]*"	"3/2"		""	"L13998"	
"390.0547"	"390.05668"	"460"	""		"56092.7112"	"81722.750"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<0>).7p"	"2[1]*"	"3/2"		""	"L13998"	
"390.4897"	"390.4894"	"58"	""		"56092.7112"	"81694.35"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).10p"	"2[3]*"	"5/2"		""	"L13998c153"	
"391.8596"	"391.86216"	"340"	""		"56092.7112"	"81604.664"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<0>).7p"	"2[1]*"	"1/2"		""	"L13998"	
"392.168"	"392.16881"	"2200d"	""		"54633.2819"	"80125.2861"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(1D<2>).6p"	"2[2]*"	"5/2"		""	"L13998"	
"393.3736"	"393.37312"	"110"	""		"56092.7112"	"81506.674"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<1>).7p"	"2[0]*"	"1/2"		""	"L13998"	
"393.4907"	"393.49071"	"770"	""		"54633.2819"	"80039.650"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(1D<2>).6p"	"2[2]*"	"3/2"		""	"L13998"	
"396.489"	"396.48899"	"740c"	""		"54633.2819"	"79847.5290"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).5f"	"2[3]*"	"7/2"		""	"L13998"	
"397.752"	"397.74912"	"260w"	""		"56092.7112"	"81227.078"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).6f"	"2[1]*"	"3/2"		""	"L13998"	
"397.8756"	"397.8770"	"520"	""		"56092.7112"	"81218.998"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).6f"	"2[2]*"	"5/2"		""	"L13998"	
"404.66375"	"404.66367"	"3800"	""		"56092.7112"	"80797.612"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).9p"	"2[1]*"	"3/2"		""	"L20632,L13998"	
"405.9266"	"405.92698"	"690"	""		"56092.7112"	"80720.728"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).9p"	"2[1]*"	"1/2"		""	"L13998"	
"406.53435"	"406.53446"	"1300d"	""		"54633.2819"	"79224.4978"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).8p"	"2[1]*"	"3/2"		""	"L20632,L13998"	
"406.9476"	"406.94827"	"360"	""		"56092.7112"	"80658.922"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).9p"	"2[3]*"	"5/2"		""	"L13998"	
"410.22205"	"410.22220"	"6100"	""		"54633.2819"	"79003.437"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(1D<2>).6p"	"2[3]*"	"7/2"		""	"L20632,L13998"	
"412.74295"	"412.74310"	"440"	""		"54633.2819"	"78854.595"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).8p"	"2[3]*"	"5/2"		""	"L20632,L13998"	
"412.92112"	"412.92119"	"5800"	""		"54633.2819"	"78844.149"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).8p"	"2[3]*"	"7/2"		""	"L20632,L13998"	
"413.41429"	"413.41444"	"2900d"	""		"54633.2819"	"78815.2628"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).8p"	"2[2]*"	"3/2"		""	"L20632,L13998"	
"414.84153"	"414.84158"	"2100d"	""		"54633.2819"	"78732.074"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).8p"	"2[2]*"	"5/2"		""	"L20632,L13998"	
"415.985"	"415.98462"	"1000c"	""		"56092.7112"	"80125.2861"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(1D<2>).6p"	"2[2]*"	"5/2"		""	"L13998"	
"417.261"	"417.25981"	"140w"	""		"54633.2819"	"78592.4119"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(1D<2>).6p"	"2[3]*"	"5/2"		""	"L13998"	
"417.4696"	"417.47224"	"39"	""		"56092.7112"	"80039.650"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(1D<2>).6p"	"2[2]*"	"3/2"		""	"L13998"	
"420.251"	"420.25284"	"300d"	""		"56092.7112"	"79881.208"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).5f"	"2[1]*"	"3/2"		""	"L13998"	
"420.37085"	"420.37102"	"920d"	""		"54633.2819"	"78415.0912"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(1D<2>).6p"	"2[1]*"	"3/2"		""	"L20632,L13998"	
"420.9057"	"420.90567"	"750"	""		"56092.7112"	"79844.3129"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).5f"	"2[3]*"	"5/2"		""	"L13998"	
"420.98186"	"420.98215"	"1100"	""		"56092.7112"	"79839.9979"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).5f"	"2[2]*"	"5/2"		""	"L20632,L13998"	
"423.45285"	"423.45299"	"2700d"	""		"56092.7112"	"79701.4352"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(1D<2>).6p"	"2[1]*"	"1/2"		""	"L20632,L13998"	
"432.18387"	"432.18403"	"16000d"	""		"56092.7112"	"79224.4978"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).8p"	"2[1]*"	"3/2"		""	"L20632,L13998"	
"438.985"	"438.98650"	"100c"	""		"54633.2819"	"77406.6276"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).4f"	"2[1]*"	"3/2"		""	"L13998"	
"439.20760"	"439.20756"	"1200"	""		"56092.7112"	"78854.595"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).8p"	"2[3]*"	"5/2"		""	"L20632,L13998"	
"439.899"	"439.89813"	"810c"	""		"54633.2819"	"77359.4339"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).4f"	"2[2]*"	"5/2"		""	"L13998"	
"440.65330"	"440.65333"	"290"	""		"56092.7112"	"78779.9156"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).8p"	"2[1]*"	"1/2"		""	"L20632,L13998"	
"440.79288"	"440.79298"	"500"	""		"54633.2819"	"77313.2986"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).4f"	"2[3]*"	"7/2"		""	"L20632,L13998"	
"440.91318"	"440.91257"	"300*"	""		"54633.2819"	"77307.1471"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).4f"	"2[3]*"	"5/2"		""	"L20632,L13998,c153"	
"440.91318"	"440.91310"	"300*"	""		"54633.2819"	"77307.1197"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).4f"	"2[4]*"	"7/2"		""	"L20632,L13998"	
"444.32577"	"444.32562"	"410d"	""		"56092.7112"	"78592.4119"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(1D<2>).6p"	"2[3]*"	"5/2"		""	"L20632,L13998"	
"447.85526"	"447.85524"	"2600"	""		"56092.7112"	"78415.0912"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(1D<2>).6p"	"2[1]*"	"3/2"		""	"L20632,L13998"	
"460.28835"	"460.28827"	"870"	""		"60896.0739"	"82615.505"	"5s2.5p4.(3P<0>).6s"	"2[0]"	"1/2"	"5s2.5p4.(3P<1>).7p"	"2[1]*"	"1/2"		""	"L20632,L13998"	
"464.2317"	"464.2317"	"550"	""		"60896.0739"	"82431.01"	"5s2.5p4.(3P<0>).6s"	"2[0]"	"1/2"	"5s2.5p4.(3P<1>).7p"	"2[2]*"	"3/2"		""	"L13998"	
"464.3837"	"464.38471"	"69"	""		"60896.0739"	"82423.916"	"5s2.5p4.(3P<0>).6s"	"2[0]"	"1/2"	"5s2.5p4.(3P<1>).7p"	"2[1]*"	"3/2"		""	"L13998"	
"469.04579"	"469.04576"	"700"	""		"56092.7112"	"77406.6276"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).4f"	"2[1]*"	"3/2"		""	"L20632,L13998"	
"469.090"	"469.09900"	"400c,i"	""		"56092.7112"	"77404.2088"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).4f"	"2[1]*"	"1/2"		""	"L13998c153"	
"470.08658"	"470.08665"	"790"	""		"56092.7112"	"77359.4339"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).4f"	"2[2]*"	"5/2"		""	"L20632,L13998"	
"470.1515"	"470.15193"	"98"	""		"56092.7112"	"77356.4812"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).4f"	"2[2]*"	"3/2"		""	"L13998"	
"476.32995"	"476.32983"	"3200"	""		"54633.2819"	"75621.2694"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).7p"	"2[1]*"	"3/2"		""	"L20632,L13998"	
"480.01912"	"480.01926"	"2800"	""		"60896.0739"	"81722.750"	"5s2.5p4.(3P<0>).6s"	"2[0]"	"1/2"	"5s2.5p4.(3P<0>).7p"	"2[1]*"	"3/2"		""	"L20632,L13998"	
"480.732"	"480.72980"	"210i(bl I II?)"	""		"61819.6111"	"82615.505"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"3/2"	"5s2.5p4.(3P<1>).7p"	"2[1]*"	"1/2"		""	"L13998c153"	
"482.75683"	"482.75650"	"1900"	""		"60896.0739"	"81604.664"	"5s2.5p4.(3P<0>).6s"	"2[0]"	"1/2"	"5s2.5p4.(3P<0>).7p"	"2[1]*"	"1/2"		""	"L20632,L13998"	
"485.0337"	"485.0329"	"3300"	""		"61819.6111"	"82431.01"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"3/2"	"5s2.5p4.(3P<1>).7p"	"2[2]*"	"3/2"		""	"L13998"	
"485.0506"	"485.05172"	"3200"	""		"60896.0739"	"81506.674"	"5s2.5p4.(3P<0>).6s"	"2[0]"	"1/2"	"5s2.5p4.(3P<1>).7p"	"2[0]*"	"1/2"		""	"L13998"	
"486.23100"	"486.23094"	"11000"	""		"54633.2819"	"75193.8973"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).7p"	"2[3]*"	"7/2"		""	"L20632,L13998"	
"486.29441"	"486.29527"	"670"	""		"54633.2819"	"75191.1777"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).7p"	"2[3]*"	"5/2"		""	"L20632,L13998,c153"	
"489.67362"	"489.67349"	"4300"	""		"54633.2819"	"75049.3522"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).7p"	"2[2]*"	"3/2"		""	"L20632,L13998"	
"490.19907"	"490.19910"	"4700"	""		"61819.6111"	"82213.791"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"3/2"	"5s2.5p4.(3P<1>).7p"	"2[2]*"	"5/2"		""	"L20632,L13998"	
"491.69364"	"491.69357"	"11000"	""		"54633.2819"	"74965.4759"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<2>).7p"	"2[2]*"	"5/2"		""	"L20632,L13998"	
"491.9797"	"491.97764"	"150"	""		"60896.0739"	"81216.528"	"5s2.5p4.(3P<0>).6s"	"2[0]"	"1/2"	"5s2.5p4.(3P<2>).6f"	"2[2]*"	"3/2"		""	"L13998"	
"494.5738"	"494.5743"	"420"	""		"61819.6111"	"82033.38"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"3/2"	"5s2.5p4.(3P<2>).7f"	"2[2]*"	"3/2"		""	"L13998"	
"494.7586"	"494.7586"	"890i"	""		"61819.6111"	"82025.85"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"3/2"	"5s2.5p4.(3P<2>).7f"	"2[1]*"	"1/2"		""	"L13998"	
"511.92782"	"511.92792"	"120000"	""		"56092.7112"	"75621.2694"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).7p"	"2[1]*"	"3/2"		""	"L20632,L13998"	
"514.5517"	"514.55362"	"26000"	""		"63186.5971"	"82615.505"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"1/2"	"5s2.5p4.(3P<1>).7p"	"2[1]*"	"1/2"		""	"L13998"	
"515.3366"	"515.3367"	"140"	""		"61819.6111"	"81218.998"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"3/2"	"5s2.5p4.(3P<2>).6f"	"2[2]*"	"5/2"		""	"L13998"	
"515.4027"	"515.40227"	"140"	""		"61819.6111"	"81216.528"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"3/2"	"5s2.5p4.(3P<2>).6f"	"2[2]*"	"3/2"		""	"L13998"	
"519.4859"	"519.4867"	"62"	""		"63186.5971"	"82431.01"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"1/2"	"5s2.5p4.(3P<1>).7p"	"2[2]*"	"3/2"		""	"L13998"	
"519.6766"	"519.67824"	"620"	""		"63186.5971"	"82423.916"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"1/2"	"5s2.5p4.(3P<1>).7p"	"2[1]*"	"3/2"		""	"L13998"	
"520.41196"	"520.41202"	"11000"	""		"56092.7112"	"75302.9060"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).7p"	"2[1]*"	"1/2"		""	"L20632,L13998"	
"523.45643"	"523.45653"	"10000"	""		"56092.7112"	"75191.1777"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).7p"	"2[3]*"	"5/2"		""	"L20632,L13998"	
"526.5687"	"526.57082"	"1300"	""		"60896.0739"	"79881.588"	"5s2.5p4.(3P<0>).6s"	"2[0]"	"1/2"	"5s2.5p4.(3P<2>).5f"	"2[1]*"	"1/2"		""	"L13998"	
"527.37283"	"527.37285"	"300"	""		"56092.7112"	"75049.3522"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).7p"	"2[2]*"	"3/2"		""	"L20632,L13998"	
"527.8727"	"527.87342"	"320"	""		"60896.0739"	"79834.739"	"5s2.5p4.(3P<0>).6s"	"2[0]"	"1/2"	"5s2.5p4.(3P<2>).5f"	"2[2]*"	"3/2"		""	"L13998"	
"529.71665"	"529.71669"	"190"	""		"56092.7112"	"74965.4759"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	"5s2.5p4.(3P<2>).7p"	"2[2]*"	"5/2"		""	"L20632,L13998"	
"530.0991"	"530.1146"	"1400"	""		"63186.5971"	"82045.195"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"1/2"	"5s2.5p4.(3P<2>).7f"	"2[1]*"	"3/2"		""	"L13998"	
"530.6560"	"530.65734"	"79"	""		"61819.6111"	"80658.922"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"3/2"	"5s2.5p4.(3P<2>).9p"	"2[3]*"	"5/2"		""	"L13998"	
"531.6358"	"531.63787"	"39"	""		"61819.6111"	"80624.176"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"3/2"	"5s2.5p4.(3P<2>).9p"	"2[2]*"	"5/2"		""	"L13998"	
"539.3390"	"539.33632"	"500"	""		"63186.5971"	"81722.750"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"1/2"	"5s2.5p4.(3P<0>).7p"	"2[1]*"	"3/2"		""	"L13998"	
"542.70345"	"542.70325"	"3500c"	"1.6e+05"	E	"54633.2819"	"73054.4376"	"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	"5s2.5p4.(3P<1>).6p"	"2[1]*"	"3/2"		"T10324"	"L20632,L13998"	
"542.7939"	"542.79427"	"480"	""		"63186.5971"	"81604.664"	"5s2.5p4.(3P<1>).6s"	"2[1]"	"1/2"	"5s2.5p4.(3P<0>).7p"	"2[1]*"	"1/2"		""	"L13998"	
