obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.012"	"380.0118+"	"3100"	"1.66e+06"	A	"0.00"	"26307.50"	"5d7.6s2"	"a 4F"	"9/2"	"5d7.6s.(5F).6p"	"z 6D*"	"9/2"		"T7683,T7959,T4422"	"L3475"	
"381.724"	"381.7238+"	"230"	""		"6323.91"	"32513.43"	"5d7.6s2"	"a 4F"	"7/2"	"5d7.6s.(5F).6p"	"z 6F*"	"9/2"		""	"L3475"	
"386.564"	"386.5632+"	"170"	"3.3e+06"	D	"11831.09"	"37692.75"	"5d8.(3F).6s"	"b 4F"	"3/2"	"5d7.6s.(5F).6p"	"z 6G*"	"3/2"		"T7959,T4422"	"L3475"	
"390.251"	"390.2500+"	"480"	"3.8e+05"	C+	"2834.98"	"28452.32"	"5d8.(3F).6s"	"b 4F"	"9/2"	"5d7.6s.(5F).6p"	"z 6F*"	"11/2"		"T7683,T4422"	"L3475"	
"391.538"	"391.5378+"	"480*"	"3.1e+06"	D	"9877.54"	"35410.63"	"5d8.(3F).6s"	"b 4F"	"5/2"	"5d7.6s.(5F).6p"	"z 6G*"	"7/2"		"T7959,T4422"	"L3475"	
"391.538"	"391.5381+"	"480*"	""		"12951.67"	"38484.74"	"5d8.(3P).6s"	"a 4P"	"5/2"	""	"3848*"	"3/2"		""	"L3475"	
"393.484"	"393.4837+"	"400"	"1.5e+06"	D	"7106.61"	"32513.43"	"5d8.(3F).6s"	"b 4F"	"7/2"	"5d7.6s.(5F).6p"	"z 6F*"	"9/2"		"T7959,T4422"	"L3475"	
"394.627"	"394.6266+"	"120"	""		"16681.20"	"42014.44"	"5d8.(3P).6s"	"a 4P"	"1/2"	""	"4201*"	"1/2"		""	"L3475"	
"397.631"	"397.6307+"	"590"	"4.5e+06"	D	"13087.90"	"38229.75"	"5d8.(3F).6s"	"a 2F"	"7/2"	""	"3822*"	"9/2"		"T7959,T4422"	"L3475"	
"399.212"	"399.2116+"	"460"	"3.1e+06"	D	"9877.54"	"34919.83"	"5d8.(3F).6s"	"b 4F"	"5/2"	"5d7.6s.(5F).6p"	"z 6F*"	"5/2"		"T7959,T4422"	"L3475"	
"402.003"	"402.0025+"	"180"	""		"26307.50"	"51175.94"	"5d7.6s.(5F).6p"	"z 6D*"	"9/2"	"5d7.6s.(5F).7s"	"e 6F"	"11/2"		""	"L3475"	
"403.376"	"403.3756+"	"350"	"3.4e+06"	B	"13087.90"	"37871.69"	"5d8.(3F).6s"	"a 2F"	"7/2"	"5d7.6s.(5F).6p"	"z 4F*"	"9/2"		"T4422,T7959"	"L3475"	
"404.008"	"404.0072+"	"130"	""		"5784.62"	"30529.66"	"5d7.6s2"	"a 4F"	"5/2"	"5d7.6s.(5F).6p"	"z 6D*"	"7/2"		""	"L3475"	
"406.992"	"406.9909+"	"370"	"4.8e+06"	B+	"12951.67"	"37515.31"	"5d8.(3P).6s"	"a 4P"	"5/2"	"5d7.6s.(5F).6p"	"z 4D*"	"7/2"		"T4422,T7959"	"L3475"	
"407.068"	"407.0668+"	"150"	""		"11831.09"	"36390.15"	"5d8.(3F).6s"	"b 4F"	"3/2"	"5d7.6s.(5F).6p"	"z 6F*"	"3/2"		""	"L3475"	
"409.261"	"409.2607+"	"100"	""		"13087.90"	"37515.31"	"5d8.(3F).6s"	"a 2F"	"7/2"	"5d7.6s.(5F).6p"	"z 4D*"	"7/2"		""	"L3475"	
"411.578"	"411.5768+"	"140"	"1.3e+06"	D	"13939.80"	"38229.75"	"5d7.6s2"	"a 2G"	"9/2"	""	"3822*"	"9/2"		"T7959,T4422"	"L3475"	
"412.792"	"412.7921+"	"23"	""		"13939.80"	"38158.24"	"5d7.6s2"	"a 2G"	"9/2"	"5d7.6s.(5F).6p"	"z 4F*"	"7/2"		""	"L3475"	
"415.570"	"415.5697+"	"27"	""		"28452.32"	"52508.89"	"5d7.6s.(5F).6p"	"z 6F*"	"11/2"	"5d7.6s.(5F).7s"	"e 6F"	"9/2"		""	"L3475"	
"416.604"	"416.6032+"	"15"	""		"9877.54"	"33874.43"	"5d8.(3F).6s"	"b 4F"	"5/2"	"5d7.6s.(5F).6p"	"z 6F*"	"7/2"		""	"L3475"	
"417.256"	"417.2555+"	"90"	""		"16565.35"	"40524.73"	"5d8.(3P).6s"	"a 4P"	"3/2"	""	"4052*"	"3/2"		""	"L3475"	
"418.247"	"418.2458+"	"35"	""		"32513.43"	"56416.08"	"5d7.6s.(5F).6p"	"z 6F*"	"9/2"	""	"5641"	"9/2"		""	"L3475"	
