obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"404.4136"	"404.41422"	"18"	"1.15e+06"	A	"0.0000"	"24720.139"	"3p6.4s"	"2S"	"1/2"	"3p6.5p"	"2P*"	"3/2"		"T5436n"	"L3287"	
"404.7208"	"404.72132"	"17"	"1.07e+06"	B+	"0.0000"	"24701.382"	"3p6.4s"	"2S"	"1/2"	"3p6.5p"	"2P*"	"1/2"		"T5436n"	"L3287"	
"464.1876"	"464.18750"	"10"	"1.54e+02"	AAA	"0.0000"	"21536.988"	"3p6.4s"	"2S"	"1/2"	"3p6.3d"	"2D"	"3/2"	E2	"T5364"	"L6096"	
"464.2373"	"464.23725"	"11"	"1.54e+02"	AAA	"0.0000"	"21534.680"	"3p6.4s"	"2S"	"1/2"	"3p6.3d"	"2D"	"5/2"	E2	"T5364"	"L6096"	
"474.0914"	"474.092019"	"4"	"8.0e+04"	E	"12985.185724"	"34072.2393"	"3p6.4p"	"2P*"	"1/2"	"3p6.13s"	"2S"	"1/2"		"T1619extrap,LS"	"L6096"	
"474.4345"	"474.434024"	"6"	"9.8e+04"	C	"12985.185724"	"34057.0385"	"3p6.4p"	"2P*"	"1/2"	"3p6.11d"	"2D"	"3/2"		"T817LS"	"L6096"	
"475.3934"	"475.393077"	"5"	"1.6e+05"	D+	"13042.896027"	"34072.2393"	"3p6.4p"	"2P*"	"3/2"	"3p6.13s"	"2S"	"1/2"		"T1619extrap,LS"	"L6096"	
""	"475.736962"	""	"1.9e+04"	E	"13042.896027"	"34057.0385"	"3p6.4p"	"2P*"	"3/2"	"3p6.11d"	"2D"	"3/2"		"T817LS"	""	
"475.7389"	"475.737719"	"7"	"1.2e+05"	C	"13042.896027"	"34057.0051"	"3p6.4p"	"2P*"	"3/2"	"3p6.11d"	"2D"	"5/2"		"T817LS"	"L6096"	
"478.6491"	"478.649091"	"5"	"1.03e+05"	C	"12985.185724"	"33871.4788"	"3p6.4p"	"2P*"	"1/2"	"3p6.12s"	"2S"	"1/2"		"T817,T204,LS"	"L6096"	
"479.1049"	"479.104132"	"7"	"1.3e+05"	C	"12985.185724"	"33851.6418"	"3p6.4p"	"2P*"	"1/2"	"3p6.10d"	"2D"	"3/2"		"T817n,T204n,LS"	"L6096"	
"479.9754"	"479.975316"	"6"	"2.07e+05"	C	"13042.896027"	"33871.4788"	"3p6.4p"	"2P*"	"3/2"	"3p6.12s"	"2S"	"1/2"		"T817,T204,LS"	"L6096"	
""	"480.432883"	""	"2.6e+04"	C	"13042.896027"	"33851.6418"	"3p6.4p"	"2P*"	"3/2"	"3p6.10d"	"2D"	"3/2"		"T817n,T204n,LS"	""	
"480.4348"	"480.433950"	"8"	"1.6e+05"	C	"13042.896027"	"33851.5956"	"3p6.4p"	"2P*"	"3/2"	"3p6.10d"	"2D"	"5/2"		"T817n,T204n,LS"	"L6096"	
"484.9865"	"484.986450"	"7"	"1.871e+05"	A+	"12985.185724"	"33598.5597"	"3p6.4p"	"2P*"	"1/2"	"3p6.11s"	"2S"	"1/2"		"T9168"	"L6096"	
"485.6090"	"485.609209"	"8"	"2.10e+05"	A	"12985.185724"	"33572.1249"	"3p6.4p"	"2P*"	"1/2"	"3p6.9d"	"2D"	"3/2"		"T9168"	"L6096"	
"486.3483"	"486.348075"	"8"	"3.698e+05"	AA	"13042.896027"	"33598.5597"	"3p6.4p"	"2P*"	"3/2"	"3p6.11s"	"2S"	"1/2"		"T9168"	"L6096"	
""	"486.974338"	""	"4.38e+04"	B+	"13042.896027"	"33572.1249"	"3p6.4p"	"2P*"	"3/2"	"3p6.9d"	"2D"	"3/2"		"T9168"	""	
"486.9757"	"486.975897"	"9"	"2.61e+05"	A	"13042.896027"	"33572.0592"	"3p6.4p"	"2P*"	"3/2"	"3p6.9d"	"2D"	"5/2"		"T9168"	"L6096"	
"494.2002"	"494.200871"	"8bl"	"2.69e+05"	AA	"12985.185724"	"33214.2267"	"3p6.4p"	"2P*"	"1/2"	"3p6.10s"	"2S"	"1/2"		"T9168"	"L1792"	
"495.0815"	"495.081801"	"9"	"2.69e+05"	B+	"12985.185724"	"33178.2324"	"3p6.4p"	"2P*"	"1/2"	"3p6.8d"	"2D"	"3/2"		"T9168"	"L6096"	
"495.61461"	"495.614802"	"9"	"5.322e+05"	AA	"13042.896027"	"33214.2267"	"3p6.4p"	"2P*"	"3/2"	"3p6.10s"	"2S"	"1/2"		"T9168"	"L1792"	
""	"496.500784"	""	"5.56e+04"	B+	"13042.896027"	"33178.2324"	"3p6.4p"	"2P*"	"3/2"	"3p6.8d"	"2D"	"3/2"		"T9168"	""	
"496.5031"	"496.503213"	"10"	"3.36e+05"	A	"13042.896027"	"33178.1339"	"3p6.4p"	"2P*"	"3/2"	"3p6.8d"	"2D"	"5/2"		"T9168"	"L6096"	
"508.4226"	"508.423399"	"10"	"4.074e+05"	AA	"12985.185724"	"32648.3511"	"3p6.4p"	"2P*"	"1/2"	"3p6.9s"	"2S"	"1/2"		"T9168"	"L6096"	
"509.7171"	"509.717137"	"11"	"3.39e+05"	B+	"12985.185724"	"32598.4437"	"3p6.4p"	"2P*"	"1/2"	"3p6.7d"	"2D"	"3/2"		"T9168"	"L6096"	
"509.9200"	"509.920005"	"11"	"8.064e+05"	A+	"13042.896027"	"32648.3511"	"3p6.4p"	"2P*"	"3/2"	"3p6.9s"	"2S"	"1/2"		"T9168"	"L6096"	
""	"511.221380"	""	"7.01e+04"	A	"13042.896027"	"32598.4437"	"3p6.4p"	"2P*"	"3/2"	"3p6.7d"	"2D"	"3/2"		"T9168"	""	
"511.2249"	"511.225448"	"12"	"4.22e+05"	B+	"13042.896027"	"32598.2881"	"3p6.4p"	"2P*"	"3/2"	"3p6.7d"	"2D"	"5/2"		"T9168"	"L6096"	
"532.3276"	"532.32786"	"12"	"6.62e+05"	A+	"12985.185724"	"31765.3767"	"3p6.4p"	"2P*"	"1/2"	"3p6.8s"	"2S"	"1/2"		"T9168"	"L6096"	
"533.9688"	"533.96873"	"13"	"1.311e+06"	AA	"13042.896027"	"31765.3767"	"3p6.4p"	"2P*"	"3/2"	"3p6.8s"	"2S"	"1/2"		"T9168"	"L6096"	
"534.2970"	"534.29693"	"12"	"3.86e+05"	A	"12985.185724"	"31696.1661"	"3p6.4p"	"2P*"	"1/2"	"3p6.6d"	"2D"	"3/2"		"T9168"	"L6096"	
""	"535.94998"	""	"8.10e+04"	A	"13042.896027"	"31696.1661"	"3p6.4p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"3/2"		"T9168"	""	
"535.9574"	"535.95761"	"14"	"4.86e+05"	A	"13042.896027"	"31695.9005"	"3p6.4p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"5/2"		"T9168"	"L6096"	
"578.2384"	"578.23999"	"16"	"1.186e+06"	AA	"12985.185724"	"30274.2487"	"3p6.4p"	"2P*"	"1/2"	"3p6.7s"	"2S"	"1/2"		"T9168"	"L6096"	
"580.1752"	"580.17662"	"17"	"2.348e+06"	AA	"13042.896027"	"30274.2487"	"3p6.4p"	"2P*"	"3/2"	"3p6.7s"	"2S"	"1/2"		"T9168"	"L6096"	
"581.2148"	"581.21521"	"15"	"2.86e+05"	A	"12985.185724"	"30185.7476"	"3p6.4p"	"2P*"	"1/2"	"3p6.5d"	"2D"	"3/2"		"T9168"	"L6096"	
""	"583.17185"	""	"6.13e+04"	A	"13042.896027"	"30185.7476"	"3p6.4p"	"2P*"	"3/2"	"3p6.5d"	"2D"	"3/2"		"T9168"	""	
"583.1887"	"583.18899"	"17"	"3.71e+05"	A	"13042.896027"	"30185.2439"	"3p6.4p"	"2P*"	"3/2"	"3p6.5d"	"2D"	"5/2"		"T9168"	"L6096"	
"691.1084"	"691.10815"	"19"	"2.500e+06"	AA	"12985.185724"	"27450.7104"	"3p6.4p"	"2P*"	"1/2"	"3p6.6s"	"2S"	"1/2"		"T9168"	"L6096"	
"693.6284"	"693.62861"	"12"	"1.9e+04"	C	"12985.185724"	"27398.147"	"3p6.4p"	"2P*"	"1/2"	"3p6.4d"	"2D"	"3/2"		"T9168"	"L6096"	
"693.8767"	"693.87640"	"20"	"4.956e+06"	AA	"13042.896027"	"27450.7104"	"3p6.4p"	"2P*"	"3/2"	"3p6.6s"	"2S"	"1/2"		"T9168"	"L6096"	
"696.418"	"696.41712"	"7"	"2.4e+03"	D+	"13042.896027"	"27398.147"	"3p6.4p"	"2P*"	"3/2"	"3p6.4d"	"2D"	"3/2"		"T9168"	"L6096"	
"696.4672"	"696.46903"	"12"	"1.37e+04"	D+	"13042.896027"	"27397.077"	"3p6.4p"	"2P*"	"3/2"	"3p6.4d"	"2D"	"5/2"		"T9168"	"L6096"	
""	"754.1412"	""	"4.9e+03"	E	"21026.551"	"34283.0181"	"3p6.5s"	"2S"	"1/2"	"3p6.14p"	"2P*"	"3/2"		"T817"	""	
""	"754.1617"	""	"4.9e+03"	E	"21026.551"	"34282.6573"	"3p6.5s"	"2S"	"1/2"	"3p6.14p"	"2P*"	"1/2"		"T817"	""	
""	"761.8730"	""	"6.5e+03"	C	"21026.551"	"34148.4861"	"3p6.5s"	"2S"	"1/2"	"3p6.13p"	"2P*"	"3/2"		"T817"	""	
""	"761.8996"	""	"6.5e+03"	E	"21026.551"	"34148.0284"	"3p6.5s"	"2S"	"1/2"	"3p6.13p"	"2P*"	"1/2"		"T817"	""	
"766.489913"	"766.48991"	"25r"	"3.779e+07"	AAA	"0.0000"	"13042.896027"	"3p6.4s"	"2S"	"1/2"	"3p6.4p"	"2P*"	"3/2"		"T9745"	"L8995"	
"769.896456"	"769.89646"	"24r"	"3.734e+07"	AAA	"0.0000"	"12985.185724"	"3p6.4s"	"2S"	"1/2"	"3p6.4p"	"2P*"	"1/2"		"T9745"	"L8995"	
""	"772.2111"	""	"8.9e+03"	C	"21026.551"	"33972.8148"	"3p6.5s"	"2S"	"1/2"	"3p6.12p"	"2P*"	"3/2"		"T817"	""	
""	"772.2474"	""	"8.9e+03"	E	"21026.551"	"33972.2064"	"3p6.5s"	"2S"	"1/2"	"3p6.12p"	"2P*"	"1/2"		"T817"	""	
"774.107"	"774.122"	"a*"	""		"21534.680"	"34448.98"	"3p6.3d"	"2D"	"5/2"	"3p6.14f"	"2F*"	"5/2"		""	"L2996"	
"774.107"	"774.122"	"a*"	""		"21534.680"	"34448.98"	"3p6.3d"	"2D"	"5/2"	"3p6.14f"	"2F*"	"7/2"		""	"L2996"	
"774.246"	"774.261"	"a"	""		"21536.988"	"34448.98"	"3p6.3d"	"2D"	"3/2"	"3p6.14f"	"2F*"	"5/2"		""	"L2996"	
"779.517"	"779.532"	"a*"	""		"21534.680"	"34359.36"	"3p6.3d"	"2D"	"5/2"	"3p6.13f"	"2F*"	"7/2"		""	"L2996"	
"779.517"	"779.532"	"a*"	""		"21534.680"	"34359.36"	"3p6.3d"	"2D"	"5/2"	"3p6.13f"	"2F*"	"5/2"		""	"L2996"	
"779.656"	"779.672"	"a"	""		"21536.988"	"34359.36"	"3p6.3d"	"2D"	"3/2"	"3p6.13f"	"2F*"	"5/2"		""	"L2996"	
