obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"381.9779+"	""	"1.28e+06"	C+	"1053.164"	"27225.26"	"5d.6s2"	"2D"	"5/2"	"5d2.(3P).6p"	"2P*"	"3/2"		"T9460"	""	
""	"383.3375+"	""	"1.9e+06"	D+	"1053.164"	"27132.44"	"5d.6s2"	"2D"	"5/2"	"5d2.(1G).6p"	"2G*"	"7/2"		"T9460"	""	
""	"385.2425+"	""	"3.0e+06"	C	"0.000"	"25950.32"	"5d.6s2"	"2D"	"3/2"	"5d2.(3P).6p"	"*"	"3/2"		"T9460"	""	
""	"387.8879+"	""	"8.2e+06"	C+	"4121.572"	"29894.91"	"5d2.(3F).6s"	"4F"	"9/2"	"4f.5d.(3D*).6s"	"*"	"7/2"		"T9460"	""	
"389.860"	"389.8595+"	"50"	"9.5e+06"	B	"0.000"	"25643.00"	"5d.6s2"	"2D"	"3/2"	"5d2.(3P).6p"	"4P*"	"3/2"		"T9460"	"L3475"	
"390.258"	"390.2560+"	"35"	"1.24e+07"	B	"0.000"	"25616.95"	"5d.6s2"	"2D"	"3/2"	"5d2.(3P).6p"	"4P*"	"1/2"		"T9460"	"L3475"	
"392.756"	"392.7551+"	"160"	"9.3e+07"	B+	"0.000"	"25453.95"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"*"	"1/2"		"T9460"	"L3475"	
"395.368"	"395.3675+"	"40"	"9.8e+06"	C+	"1053.164"	"26338.93"	"5d.6s2"	"2D"	"5/2"	"5d2.(3P).6p"	"4P*"	"5/2"		"T9460"	"L3475"	
""	"399.4164+"	""	"3.4e+06"	B	"3010.002"	"28039.45"	"5d2.(3F).6s"	"4F"	"5/2"	"5d.6s.(1D).6p"	"*"	"7/2"		"T9460"	""	
""	"400.1384+"	""	"1.13e+06"	C+	"0.000"	"24984.29"	"5d.6s2"	"2D"	"3/2"	"5d2.(3P).6p?"	"*"	"5/2"		"T9460"	""	
"401.539"	"401.5388+"	"180"	"6.5e+07"	B+	"1053.164"	"25950.32"	"5d.6s2"	"2D"	"5/2"	"5d2.(3P).6p"	"*"	"3/2"		"T9460"	"L3475"	
"403.721"	"403.7207+"	"140"	"3.86e+07"	B+	"0.000"	"24762.60"	"5d.6s2"	"2D"	"3/2"	"5d2.(3P).6p?"	"2D*?"	"3/2"		"T9460"	"L3475"	
"406.033"	"406.0317+"	"220"	"5.6e+07"	B+	"4121.572"	"28743.24"	"5d2.(3F).6s"	"4F"	"9/2"	"4f.5d.(3G*).6s"	"4G*"	"11/2"		"T9460"	"L3475"	
"406.479"	"406.4778+"	"160"	"4.32e+07"	B+	"3494.526"	"28089.17"	"5d2.(3F).6s"	"4F"	"7/2"	"4f.5d.(3G*).6s"	"4G*"	"9/2"		"T9460"	"L3475"	
"406.558"	"406.5573+"	"60"	"2.38e+07"	B+	"1053.164"	"25643.00"	"5d.6s2"	"2D"	"5/2"	"5d2.(3P).6p"	"4P*"	"3/2"		"T9460"	"L3475"	
