obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"383.559"	""	"5.18e+05"	A	"14903.66"	"40967.9"	"1s2.2p"	"2P*"	"1/2"	"1s2.7s"	"2S"	"1/2"		"T5118LS"	""	
""	"383.564"	""	"1.04e+06"	A	"14904.00"	"40967.9"	"1s2.2p"	"2P*"	"3/2"	"1s2.7s"	"2S"	"1/2"		"T5118LS"	""	
"391.530"	"391.5292"	"20"	"4.964e+06"	AA	"14903.66"	"40437.31"	"1s2.2p"	"2P*"	"1/2"	"1s2.6d"	"2D"	"3/2"		"T6835LS"	"L7397"	
"391.535"	"391.5342"	"20*"	"5.959e+06"	AA	"14904.00"	"40437.32"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"5/2"		"T6835LS"	"L7397"	
"391.535"	"391.5344"	"20*"	"9.924e+05"	AA	"14904.00"	"40437.31"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"3/2"		"T6835LS"	"L7397"	
"398.548"	"398.5481"	"10"	"8.62e+05"	A	"14903.66"	"39987.64"	"1s2.2p"	"2P*"	"1/2"	"1s2.6s"	"2S"	"1/2"		"T5118LS"	"L7397"	
"398.554"	"398.5535"	"10"	"1.73e+06"	A	"14904.00"	"39987.64"	"1s2.2p"	"2P*"	"3/2"	"1s2.6s"	"2S"	"1/2"		"T5118LS"	"L7397"	
"413.256"	"413.2557"	"40"	"9.04e+06"	A	"14903.66"	"39094.93"	"1s2.2p"	"2P*"	"1/2"	"1s2.5d"	"2D"	"3/2"		"T5118LS"	"L7397"	
"413.262"	"413.2613"	"40*"	"1.09e+07"	A	"14904.00"	"39094.94"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"5/2"		"T5118LS"	"L7397"	
"413.262"	"413.2615"	"40*"	"1.81e+06"	A	"14904.00"	"39094.93"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"3/2"		"T5118LS"	"L7397"	
"419.6"	""	""	""		""	""	""	""	""	""	""	""		""	"L1614"	
"427.307"	"427.306"	"20"	"1.58e+06"	A	"14903.66"	"38299.50"	"1s2.2p"	"2P*"	"1/2"	"1s2.5s"	"2S"	"1/2"		"T5118LS"	"L7397"	
"427.313"	"427.312"	"20"	"3.17e+06"	A	"14904.00"	"38299.50"	"1s2.2p"	"2P*"	"3/2"	"1s2.5s"	"2S"	"1/2"		"T5118LS"	"L7397"	
