obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.067"	"380.0670+"	"150"	""		"19403.29"	"45706.97"	"5d2.(3F).6s"	"4F"	"5/2"	"5d2.(3F?).6p"	"2F*"	"5/2"		""	"L3475"	
"382.907"	""	"75h"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"384.118"	"384.1194+"	"2700"	"2.65e+07"	B+	"1993.92"	"28020.11"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(1D).6p"	"2F*"	"5/2"		"T7218"	"L3475"	
"384.361"	""	"75"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"385.329"	""	"95"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"387.461"	"387.4605+"	"40"	""		"4136.13"	"29937.90"	"6s2.6p"	"2P*"	"1/2"	"5d2.(3P).6s"	"2P"	"3/2"		""	"L3475"	
"391.177"	""	"29"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"391.886"	"391.8886+"	"50"	""		"7476.39"	"32986.62"	"6s2.6p"	"2P*"	"3/2"	"6s.6p2"	"4P"	"1/2"		""	"L3475"	
"392.662"	"392.6667+"	"35h"	""		"20247.29"	"45706.97"	"5d2.(3F).6s"	"4F"	"7/2"	"5d2.(3F?).6p"	"2F*"	"5/2"		""	"L3475"	
"396.846"	"396.8461+"	"480"	"2.21e+06"	B+	"0.00"	"25191.56"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"4P*"	"5/2"		"T7218"	"L3475"	
"399.138"	""	"50"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"405.445"	"405.4451+"	"670"	"2.01e+07"	B+	"4136.13"	"28793.42"	"6s2.6p"	"2P*"	"1/2"	"5d2.(3P).6s"	"2P"	"1/2"		"T7218"	"L3475"	
"410.744"	""	"35h"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"411.267"	"411.2696+"	"95h"	"4.3e+05"	C+	"0.00"	"24308.09"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"4P*"	"3/2"		"T7218"	"L3475"	
"412.249"	"412.2491+"	"310"	""		"21242.26"	"45492.60"	"5d2.(3F).6s"	"4F"	"9/2"	"5d2.(3F).6p"	"4G*"	"11/2"		""	"L3475"	
"412.473"	"412.4724+"	"3100"	"8.9e+07"	C+	"7476.39"	"31713.60"	"6s2.6p"	"2P*"	"3/2"	"6s2.6d"	"2D"	"5/2"		"T7218"	"L3475"	
"413.179"	""	"150c"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"415.408"	"415.4094+"	"460"	"1.68e+07"	B+	"7476.39"	"31542.24"	"6s2.6p"	"2P*"	"3/2"	"6s2.6d"	"2D"	"3/2"		"T7218"	"L3475"	
"415.898"	""	"24"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"427.750"	""	"150"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"428.103"	"428.102+"	"250"	""		"20247.29"	"43599.65"	"5d2.(3F).6s"	"4F"	"7/2"	"5d2.(3F).6p"	"4G*"	"9/2"		""	"L3475"	
"429.597"	"429.600+"	"330D*"	""		"7476.39"	"30747.30"	"6s2.6p"	"2P*"	"3/2"	"5d2.(1S).6s"	"2S"	"1/2"		""	"L3475"	
"429.609"	""	"330D*"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"430.957"	"430.957+"	"150"	"6.6e+05"	B+	"1993.92"	"25191.56"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"4P*"	"5/2"		"T7218"	"L3475"	
"433.272"	""	"75"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"442.096"	"442.096+"	"65h"	""		"21462.38"	"44075.53"	"5d.6s.(3D).6p"	"2D*"	"5/2"	"5d.6s.(3D).7s?"	"2D"	"5/2"		""	"L3475"	
"443.048"	"443.045+"	"190c"	""		"19403.29"	"41968.00"	"5d2.(3F).6s"	"4F"	"5/2"	"5d2.(3F).6p"	"4G*"	"7/2"		""	"L3475"	
"443.879"	""	"35"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"445.081"	"445.081+"	"190"	""		"7476.39"	"29937.90"	"6s2.6p"	"2P*"	"3/2"	"5d2.(3P).6s"	"2P"	"3/2"		""	"L3475"	
"447.155"	"447.154+"	"50h"	""		"21242.26"	"43599.65"	"5d2.(3F).6s"	"4F"	"9/2"	"5d2.(3F).6p"	"4G*"	"9/2"		""	"L3475"	
"448.015"	"448.020+"	"19"	"8.8e+04"	C+	"1993.92"	"24308.09"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"4P*"	"3/2"		"T7218"	"L16197"	
"449.885"	"449.8848+"	"60h"	"1.28e+05"	B+	"0.00"	"22221.68"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"4D*"	"5/2"		"T7218"	"L3475"	
"451.857"	"451.8556+"	"3300"	"2.26e+07"	B+	"0.00"	"22124.76"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"2D*"	"3/2"		"T7218"	"L3475"	
"460.539"	"460.539+"	"85c"	""		"18851.31"	"40558.92"	"5d2.(3F).6s"	"4F"	"3/2"	"5d2.(3F).6p"	"4G*"	"5/2"		""	"L3475"	
"464.547"	""	"95h"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"464.821"	""	"100h"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"464.885"	""	"95h"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"465.802"	"465.8011+"	"1000"	"3.15e+06"	B+	"0.00"	"21462.38"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"2D*"	"5/2"		"T7218"	"L3475"	
"465.903"	""	"85h"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"468.977"	"468.977+"	"44"	"1.32e+06"	C+	"7476.39"	"28793.42"	"6s2.6p"	"2P*"	"3/2"	"5d2.(3P).6s"	"2P"	"1/2"		"T7218"	"L16197"	
"471.670"	"471.6692+"	"30"	"1.13e+05"	C+	"0.00"	"21195.37"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"4D*"	"3/2"		"T7218"	"L3475"	
"472.620"	""	"65h"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"481.505"	"481.5037+"	"85"	"9.0e+05"	B+	"0.00"	"20762.47"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"4D*"	"1/2"		"T7218"	"L3475"	
"490.488"	"490.488+"	"460"	""		"4136.13"	"24518.30"	"6s2.6p"	"2P*"	"1/2"	"5d2.(1D).6s"	"2D"	"3/2"		""	"L3475"	
"494.234"	"494.232+"	"180"	"9.7e+05"	B+	"1993.92"	"22221.68"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"4D*"	"5/2"		"T7218"	"L3475"	
"496.613"	"496.612+"	"5"	"3.3e+04"	C+	"1993.92"	"22124.76"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"2D*"	"3/2"		"T7218"	"L18169"	
"500.114"	"500.114+"	"800"	"3.20e+07"	B+	"4136.13"	"24125.99"	"6s2.6p"	"2P*"	"1/2"	"6s2.7s"	"2S"	"1/2"		"T7218"	"L3475"	
"505.760"	"505.760+"	"55h"	""		"17427.28"	"37193.98"	"5d.6s.(3D).6p"	"4F*"	"3/2"	"5d.6s.(3D).7s"	"4D"	"3/2"		""	"L3475"	
"513.405"	"513.403+"	"140"	""		"17427.28"	"36899.72"	"5d.6s.(3D).6p"	"4F*"	"3/2"	"5d.6s.(3D).7s"	"4D"	"1/2"		""	"L3475"	
"513.509"	"513.508+"	"2700"	"9.1e+06"	B+	"1993.92"	"21462.38"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"2D*"	"5/2"		"T7218"	"L3475"	
"519.661"	"519.660+"	"170"	""		"18504.58"	"37742.56"	"5d.6s.(3D).6p"	"4F*"	"5/2"	"5d.6s.(3D).7s"	"4D"	"5/2"		""	"L3475"	
"520.647"	"520.649+"	"90"	"2.5e+05"	C+	"1993.92"	"21195.37"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"4D*"	"3/2"		"T7218"	"L3475"	
"530.440"	"530.442+"	"40"	""		"20432.53"	"39279.48"	"5d.6s.(3D).6p"	"4F*"	"7/2"	"5d.6s.(3D).7s"	"4D"	"7/2"		""	"L3475"	
"534.912"	"534.914+"	"80"	""		"18504.58"	"37193.98"	"5d.6s.(3D).6p"	"4F*"	"5/2"	"5d.6s.(3D).7s"	"4D"	"3/2"		""	"L3475"	
"540.257"	"540.257+"	"500"	"1.20e+06"	B+	"0.00"	"18504.58"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"4F*"	"5/2"		"T7218"	"L3475"	
"542.190"	"542.190+"	"140c"	""		"1993.92"	"20432.53"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"4F*"	"7/2"		""	"L3475"	
"543.788"	"543.789+"	"100"	""		"7476.39"	"25860.78"	"6s2.6p"	"2P*"	"3/2"	"5d2.(3F).6s"	"2F"	"5/2"		""	"L3475"	
"545.357"	"545.360+"	"35"	""		"4136.13"	"22467.56"	"6s2.6p"	"2P*"	"1/2"	"5d2.(3P).6s"	"4P"	"3/2"		""	"L3475"	
"573.655"	"573.654+"	"550"	"1.73e+06"	B+	"0.00"	"17427.28"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"4F*"	"3/2"		"T7218"	"L3475"	
"577.540"	"577.540+"	"55"	""		"20432.53"	"37742.56"	"5d.6s.(3D).6p"	"4F*"	"7/2"	"5d.6s.(3D).7s"	"4D"	"5/2"		""	"L3475"	
"580.059"	"580.057+"	"80"	""		"7476.39"	"24711.31"	"6s2.6p"	"2P*"	"3/2"	"5d2.(1D).6s"	"2D"	"5/2"		""	"L3475"	
"586.079"	"586.080+"	"40h"	""		"22221.68"	"39279.48"	"5d.6s.(3D).6p"	"4D*"	"5/2"	"5d.6s.(3D).7s"	"4D"	"7/2"		""	"L3475"	
"586.630"	"586.626+"	"9"	""		"7476.39"	"24518.30"	"6s2.6p"	"2P*"	"3/2"	"5d2.(1D).6s"	"2D"	"3/2"		""	"L3475"	
"599.713"	"599.713+"	"140"	""		"22609.46"	"39279.48"	"5d.6s.(3D).6p"	"4F*"	"9/2"	"5d.6s.(3D).7s"	"4D"	"7/2"		""	"L3475"	
"600.452"	"600.449+"	"1400"	"4.9e+07"	B+	"7476.39"	"24125.99"	"6s2.6p"	"2P*"	"3/2"	"6s2.7s"	"2S"	"1/2"		"T7218"	"L3475"	
"604.166"	"604.165+"	"35h"	""		"21195.37"	"37742.56"	"5d.6s.(3D).6p"	"4D*"	"3/2"	"5d.6s.(3D).7s"	"4D"	"5/2"		""	"L3475"	
"605.503"	"605.502+"	"440"	"9.2e+05"	B+	"1993.92"	"18504.58"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"4F*"	"5/2"		"T7218"	"L3475"	
"614.071"	"614.074+"	"11"	""		"21462.38"	"37742.56"	"5d.6s.(3D).6p"	"2D*"	"5/2"	"5d.6s.(3D).7s"	"4D"	"5/2"		""	"L3475"	
"624.880"	"624.881+"	"16h"	""		"21195.37"	"37193.98"	"5d.6s.(3D).6p"	"4D*"	"3/2"	"5d.6s.(3D).7s"	"4D"	"3/2"		""	"L3475"	
"634.535"	"634.534+"	"70h"	""		"23524.24"	"39279.48"	"5d.6s.(3D).6p"	"4D*"	"7/2"	"5d.6s.(3D).7s"	"4D"	"7/2"		""	"L3475"	
"635.485"	"635.488+"	"18h"	""		"21462.38"	"37193.98"	"5d.6s.(3D).6p"	"2D*"	"5/2"	"5d.6s.(3D).7s"	"4D"	"3/2"		""	"L3475"	
"636.579"	""	"9"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"636.600"	"636.590+"	"16"	""		"21195.37"	"36899.72"	"5d.6s.(3D).6p"	"4D*"	"3/2"	"5d.6s.(3D).7s"	"4D"	"1/2"		""	"L3475"	
