obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.055"	"380.0556"	"110"	"2.7e+07"	E	"31001.15"	"57305.62"	"3d5.(6S).4s.4p.(3P*)"	"z 4P*"	"5/2"	"3d6.(5D).5s"	"f 4D"	"7/2"		"T1117"	"L3475"	
"380.191"	"380.1898"	"55"	"6.4e+06"	E	"25265.74"	"51560.93"	"3d5.4s2"	"a 4G"	"11/2"	"3d5.(4G).4s.4p.(3P*)"	"z 4G*"	"11/2"		"T1117"	"L3475"	
""	"380.3072"	""	"6.0e+05"	E	"34938.70"	"61225.77"	"3d6.(3F2).4s"	"a 4F"	"9/2"	"3d5.(2I).4s.4p.(3P*)"	"y 4I*"	"11/2"		"T1117"	""	
""	"380.4018"	""	"2.8e+05"	E	"25265.74"	"51546.27"	"3d5.4s2"	"a 4G"	"11/2"	"3d5.(4G).4s.4p.(3P*)"	"z 4G*"	"9/2"		"T1117"	""	
"380.672"	"380.6711"	"3200"	"5.9e+07"	B	"17052.29"	"43314.23"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(5D).4p"	"z 6F*"	"11/2"		"T4649"	"L3475"	
""	"380.8505"	""	"5.7e+05"	E	"25281.04"	"51530.61"	"3d5.4s2"	"a 4G"	"5/2"	"3d5.(4G).4s.4p.(3P*)"	"z 4G*"	"7/2"		"T1117"	""	
"380.959"	"380.9592"	"700"	"1.43e+07"	B	"17282.00"	"43524.08"	"3d6.(5D).4s"	"a 6D"	"7/2"	"3d6.(5D).4p"	"z 6F*"	"7/2"		"T4649"	"L3475"	
"381.069"	"381.0680"	"55"	"5.3e+06"	E	"25281.04"	"51515.63"	"3d5.4s2"	"a 4G"	"5/2"	"3d5.(4G).4s.4p.(3P*)"	"z 4G*"	"5/2"		"T1117"	"L3475"	
""	"381.1653"	""	"3.8e+05"	E	"25287.74"	"51515.63"	"3d5.4s2"	"a 4G"	"7/2"	"3d5.(4G).4s.4p.(3P*)"	"z 4G*"	"5/2"		"T1117"	""	
"381.675"	"381.6741"	"90"	"4.19e+06"	B	"17451.52"	"43644.45"	"3d6.(5D).4s"	"a 6D"	"5/2"	"3d6.(5D).4p"	"z 6F*"	"3/2"		"T4649"	"L3475"	
"382.351"	"382.3507"	"2100"	"5.21e+07"	B	"17282.00"	"43428.58"	"3d6.(5D).4s"	"a 6D"	"7/2"	"3d6.(5D).4p"	"z 6F*"	"9/2"		"T4649"	"L3475"	
"382.389"	"382.3887"	"390"	"2.31e+07"	B	"17451.52"	"43595.50"	"3d6.(5D).4s"	"a 6D"	"5/2"	"3d6.(5D).4p"	"z 6F*"	"5/2"		"T4649"	"L3475"	
""	"382.6613"	""	"3.3e+05"	E	"24779.32"	"50904.68"	"3d5.(6S).4s.4p.(3P*)"	"z 6P*"	"3/2"	"3d5.4s.(7S).6s"	"g 6S"	"5/2"		"T1117"	""	
"382.968"	"382.9718"	"200"	"1.03e+07"	B	"17568.48"	"43672.66"	"3d6.(5D).4s"	"a 6D"	"3/2"	"3d6.(5D).4p"	"z 6F*"	"1/2"		"T4649"	"L3475"	
"383.386"	"383.3861"	"480"	"3.14e+07"	B	"17568.48"	"43644.45"	"3d6.(5D).4s"	"a 6D"	"3/2"	"3d6.(5D).4p"	"z 6F*"	"3/2"		"T4649"	"L3475"	
"383.436"	"383.4362"	"1300"	"4.29e+07"	B	"17451.52"	"43524.08"	"3d6.(5D).4s"	"a 6D"	"5/2"	"3d6.(5D).4p"	"z 6F*"	"7/2"		"T4649"	"L3475"	
