obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"383.36"	"383.380"	""	""		"266933.9"	"293010.3"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"		""	"L10065"	
"384.80"	"384.802"	"5"	"2.8e+07"	D	"266933.9"	"292913.9"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"		"T5209"	"L6269"	
"385.23"	"385.22"	""	""		"267576.0"	"293528"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"1/2"	"2p5.3s.(3P*).3d"	"4F*"	"3/2"		""	"L10065"	
"386.55"	"386.543"	"130"	"5.8e+07"	D	"266586.7"	"292449.7"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"		"T5209"	"L6269"	
"387.29"	"387.296"	"19"	"1.2e+07"	D	"266586.7"	"292399.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"388.18"	"388.181"	"420"	"1.63e+08"	D	"266586.7"	"292340.6"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4F*"	"9/2"		"T5209"	"L6269"	
""	"388.39033"	""	"6.95e-04"	C	"0.00000"	"25739.999"	"2p6.3s"	"2S"	"1/2"	"2p6.4s"	"2S"	"1/2"	M1	"c27"	""	
"388.57"	"388.571"	"36"	"6.2e+07"	D	"267282.3"	"293010.3"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"		"T5209"	"L6269"	
"390.04"	"390.033"	"15"	"7.7e+07"	D	"267282.3"	"292913.9"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"		"T5209"	"L6269"	
"391.18"	"391.170"	""	""		"267576.0"	"293133.1"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"1/2"	"2p5.3s.(3P*).3d"	"4D*"	"1/2"		""	"L10065"	
"391.79"	"391.803"	"160"	"6.6e+07"	D	"266933.9"	"292449.7"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"		"T5209"	"L6269"	
"392.56"	"392.577"	"85"	"4.5e+07"	D	"266933.9"	"292399.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
