obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"380.130"	""	"270"	""		""	""		""	"L3475"	
"380.292"	""	"2700"	""		""	""		""	"L3475"	
"380.388"	""	"670"	""		""	""		""	"L3475"	
"380.474"	""	"530"	""		""	""		""	"L3475"	
"381.049"	""	"670"	""		""	""		""	"L3475"	
"381.103"	""	"530"	""		""	""		""	"L3475"	
"381.551"	""	"530"	""		""	""		""	"L3475"	
"381.915"	""	"210"	""		""	""		""	"L3475"	
"382.488"	""	"670"	""		""	""		""	"L3475"	
"383.518"	""	"350"	""		""	""		""	"L3475"	
"383.645"	""	"250"	""		""	""		""	"L3475"	
"384.590"	""	"210"	""		""	""		""	"L3475"	
"385.895"	""	"290"	""		""	""		""	"L3475"	
"386.338"	""	"350"	""		""	""		""	"L3475"	
"386.792"	""	"270"	""		""	""		""	"L3475"	
"387.756"	""	"530"	""		""	""		""	"L3475"	
"387.882"	""	"870"	""		""	""		""	"L3475"	
"388.314"	""	"670"	""		""	""		""	"L3475"	
"388.544"	""	"1100"	""		""	""		""	"L3475"	
"388.568"	""	"670"	""		""	""		""	"L3475"	
"388.607"	""	"210"	""		""	""		""	"L3475"	
"389.130"	""	"580"	""		""	""		""	"L3475"	
"390.897"	""	"210"	""		""	""		""	"L3475"	
"391.470"	""	"670"	""		""	""		""	"L3475"	
"392.020"	""	"530"	""		""	""		""	"L3475"	
"393.744"	""	"670"	""		""	""		""	"L3475"	
"394.367"	""	"520"	""		""	""		""	"L3475"	
"396.569"	""	"250"	""		""	""		""	"L3475"	
"396.609"	""	"910bl"	""		""	""		""	"L3475"	
"397.185"	""	"210"	""		""	""		""	"L3475"	
"403.252"	""	"1100"	""		""	""		""	"L3475"	
"403.953"	""	"250"	""		""	""		""	"L3475"	
"405.894"	""	"16000c"	""		""	""		""	"L3475"	
"405.951"	""	"210"	""		""	""		""	"L3475"	
"406.079"	""	"350"	""		""	""		""	"L3475"	
"406.826"	""	"210"	""		""	""		""	"L3475"	
"407.973"	""	"12000"	""		""	""		""	"L3475"	
"408.486"	""	"270"	""		""	""		""	"L3475"	
"410.040"	""	"440"	""		""	""		""	"L3475"	
"410.092"	""	"6700"	""		""	""		""	"L3475"	
"411.690"	""	"310"	""		""	""		""	"L3475"	
"412.381"	""	"5300"	""		""	""		""	"L3475"	
"412.943"	""	"670"	""		""	""		""	"L3475"	
"412.993"	""	"770"	""		""	""		""	"L3475"	
"413.710"	""	"2300"	""		""	""		""	"L3475"	
"413.944"	""	"440"	""		""	""		""	"L3475"	
"413.971"	""	"2700"	""		""	""		""	"L3475"	
"414.321"	""	"350"	""		""	""		""	"L3475"	
"415.012"	""	"870"	""		""	""		""	"L3475"	
"415.258"	""	"4400"	""		""	""		""	"L3475"	
"416.347"	""	"870"	""		""	""		""	"L3475"	
"416.366"	""	"4400"	""		""	""		""	"L3475"	
"416.466"	""	"4000"	""		""	""		""	"L3475"	
"416.813"	""	"3500"	""		""	""		""	"L3475"	
"418.444"	""	"310"	""		""	""		""	"L3475"	
"419.088"	""	"1200"	""		""	""		""	"L3475"	
"419.207"	""	"870"	""		""	""		""	"L3475"	
"419.509"	""	"870"	""		""	""		""	"L3475"	
"419.566"	""	"1300"	""		""	""		""	"L3475"	
"419.851"	""	"310"	""		""	""		""	"L3475"	
"420.152"	""	"350"	""		""	""		""	"L3475"	
"420.531"	""	"870"	""		""	""		""	"L3475"	
"421.473"	""	"350"	""		""	""		""	"L3475"	
"421.794"	""	"420"	""		""	""		""	"L3475"	
"422.915"	""	"420"	""		""	""		""	"L3475"	
"425.544"	""	"250"	""		""	""		""	"L3475"	
"426.205"	""	"770"	""		""	""		""	"L3475"	
