obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"452.725"	""	"120"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"455.967"	""	"170"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"458.662"	""	"100"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"460.382"	""	"100"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"460.987"	""	"100"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"462.194"	"462.1932+"	"300"	"5.6e+07"		"2366.597"	"23996.513"	"4f4.6s2"	"5I"	"6"	""	"*"	"6"		"T7227"	"L3475"	
"462.798"	""	"100"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"463.424"	"463.42099+"	"510"	"8.4e+07"		"0.000"	"21572.610"	"4f4.6s2"	"5I"	"4"	"4f4.6s.6p"	"5H*"	"3"		"T7227"	"L3475"	
"464.110"	""	"340"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"464.640"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"464.967"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"465.473"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"468.345"	"468.35016+"	"310"	"5.2e+07"		"0.000"	"21345.572"	"4f4.6s2"	"5I"	"4"	""	"*"	"6"		"T7227"	"L3475"	
"468.404"	""	"110"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"469.035"	""	"110"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"469.644"	""	"190"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"470.696"	""	"140"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"471.902"	"471.90273+"	"240"	"3.3e+07"		"0.000"	"21184.881"	"4f4.6s2"	"5I"	"4"	""	"*"	"4"		"T7227"	"L3475"	
"473.177"	""	"140"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"477.946"	""	"120"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"486.674"	""	"190"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"488.381"	"488.3811+"	"350"	"8.8e+07"		"5048.602"	"25518.700"	"4f4.6s2"	"5I"	"8"	"4f4.6s.6p"	"5K*"	"9"		"T6288"	"L3475"	
"489.107"	""	"240"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"489.693"	"489.6927+"	"280"	"5.9e+07"		"1128.056"	"21543.326"	"4f4.6s2"	"5I"	"5"	"4f4.6s.6p"	"5K*"	"6"		"T6288"	"L3475"	
"490.153"	""	"120"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"490.184"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"491.341"	""	"190"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"492.453"	"492.45213+"	"470"	"9.0e+07"		"0.000"	"20300.875"	"4f4.6s2"	"5I"	"4"	"4f4.6s.6p"	"5K*"	"5"		"T7227"	"L3475"	
"494.483"	"494.4826+"	"260"	"6.7e+07"		"1128.056"	"21345.572"	"4f4.6s2"	"5I"	"5"	""	"*"	"6"		"T7227"	"L3475"	
"495.478"	"495.47770+"	"290"	"2.9e+07"		"0.000"	"20176.912"	"4f4.6s2"	"5I"	"4"	""	"*"	"5"		"T7227"	"L3475"	
"510.535"	""	""	""		""	""	""	""	""	""	""	""		""	"L3475"	
"521.323"	""	"150"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"529.167"	""	"110"	""		""	""	""	""	""	""	""	""		""	"L3475"	
