obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"388.2698"	"388.271148"	"20f"	""		"135888.7173"	"161636.6175"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"	UT	""	"L3469"	
"388.7134"	"388.714352"	"10f"	""		"135888.7173"	"161607.2609"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	UT	""	"L3469"	
"388.9427"	"388.943335"	"50f"	""		"135888.7173"	"161592.1200"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"3"	UT	""	"L3469"	
"389.9723"	"389.974242"	"20f"	""		"135888.7173"	"161524.1739"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"1"	UT	""	"L3469"	
"394.3540"	"394.3545"	"20"	""		"148257.7898"	"173608.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).10d"	"2[3/2]*"	"2"		""	"L3469"	
"398.4065"	"398.4050"	"20"	""		"148257.7898"	"173350.78"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).9d"	"2[3/2]*"	"1"		""	"L3469"	
"398.4253"	"398.4252"	"70"	""		"148257.7898"	"173349.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).9d"	"2[3/2]*"	"2"		""	"L3469"	
"399.5298"	"399.5297"	"10"	""		"148257.7898"	"173280.14"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).13d"	"2[3/2]*"	"2"		""	"L3469"	
"399.5721"	"399.5705"	"10"	""		"148257.7898"	"173277.59"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).13d"	"2[1/2]*"	"1"		""	"L3469"	
"399.8594"	"399.8602"	"10"	""		"148257.7898"	"173259.46"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).10s"	"2[1/2]*"	"1"		""	"L3469"	
"399.9263"	"399.9277"	"10"	""		"148257.7898"	"173255.24"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).10s"	"2[1/2]*"	"0"		""	"L3469"	
"401.3752"	"401.3753"	"10"	""		"148257.7898"	"173165.09"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).12d"	"2[3/2]*"	"2"		""	"L3469"	
"401.3995"	"401.397"	"20"	""		"148257.7898"	"173163.72"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).12d"	"2[1/2]*"	"1"		""	"L3469"	
"402.0015"	"402.0043"	"20"	""		"148257.7898"	"173126.12"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).13s"	"2[3/2]*"	"2"		""	"L3469"	
"403.7262"	"403.7261"	"50"	""		"148257.7898"	"173020.06"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).11d"	"2[3/2]*"	"2"		""	"L3469"	
"403.7615"	"403.7600"	"150"	""		"148257.7898"	"173017.98"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).11d"	"2[1/2]*"	"1"		""	"L3469"	
"403.7696"	"403.7697"	"50"	""		"148257.7898"	"173017.39"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).11d"	"2[1/2]*"	"0"		""	"L3469"	
"404.2327"	"404.2333"	"100"	""		"148257.7898"	"172988.99"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).8d"	"2[3/2]*"	"1"		""	"L3469"	
"404.2642"	"404.2647"	"500"	""		"148257.7898"	"172987.07"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).8d"	"2[3/2]*"	"2"		""	"L3469"	
"404.5662"	"404.5684"	"20"	""		"148257.7898"	"172968.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).12s"	"2[3/2]*"	"2"		""	"L3469"	
"406.4036"	"406.4023"	"500"	""		"148257.7898"	"172857.00"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).9s"	"2[1/2]*"	"1"		""	"L3469"	
"406.4829"	"406.4828"	"150"	""		"148257.7898"	"172852.13"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).9s"	"2[1/2]*"	"0"		""	"L3469"	
"406.8835"	"406.8832"	"300"	""		"148257.7898"	"172827.93"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).10d"	"2[3/2]*"	"2"		""	"L3469"	
"406.9243"	"406.9228"	"300"	""		"148257.7898"	"172825.54"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).10d"	"2[1/2]*"	"1"		""	"L3469"	
"406.9389"	"406.9388"	"50"	""		"148257.7898"	"172824.57"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).10d"	"2[1/2]*"	"0"		""	"L3469"	
"407.9359"	"407.9347"	"20"	""		"148257.7898"	"172764.60"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).11s"	"2[3/2]*"	"1"		""	"L3469"	
"408.0148"	"408.0143"	"500"	""		"148257.7898"	"172759.82"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).11s"	"2[3/2]*"	"2"		""	"L3469"	
"411.1882"	"411.1859"	"10"	""		"148257.7898"	"172570.83"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).9d"	"2[3/2]*"	"1"		""	"L3469"	
"411.2100"	"411.2101"	"150"	""		"148257.7898"	"172569.40"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).9d"	"2[3/2]*"	"2"		""	"L3469"	
"411.2694"	"411.2688"	"200"	""		"148257.7898"	"172565.93"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).9d"	"2[1/2]*"	"1"		""	"L3469"	
"411.2865"	"411.2865"	"100"	""		"148257.7898"	"172564.88"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).9d"	"2[1/2]*"	"0"		""	"L3469"	
