obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.714"	"380.71402"	"700"	"4.3e+06"	C	"3409.937"	"29668.918"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"*"	"3"		"T3861"	"L3475"	
"383.169"	"383.16908"	"110"	"1.5e+06"	C	"3409.937"	"29500.674"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"3P*"	"1"		"T3861"	"L3475"	
""	"383.28709"	""	"2.0e+04"	C	"1332.164"	"27414.868"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"2"		"T3861"	""	
"385.830"	"385.82968"	"1200"	"6.9e+06"	C	"3409.937"	"29320.762"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"3F*"	"3"		"T3861"	"L3475"	
""	"388.58697"	""	"4.1e+03"	C	"2216.550"	"27943.524"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"1"		"T3861"	""	
"388.967"	""	"30"	""		""	""	""	""	""	""	""	""		""	"L3475"	
""	"394.61908"	""	"2.1e+02"	C	"1332.164"	"26665.887"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"3"		"T3861"	""	
"397.217"	""	"35"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"397.356"	"397.35547"	"110"	"3.8e+05"	D+	"3409.937"	"28569.203"	"3d9.(2D).4s"	"1D"	"2"	"3d9.(2D).4p"	"3P*"	"2"		"T4812"	"L3475"	
""	"401.00100"	""	"8.6e+05"	E	"29320.762"	"54251.308"	"3d9.(2D).4p"	"3F*"	"3"	"3d8.4s.(2F).5s"	"1F"	"3"		"T2765"	""	
""	"402.76632"	""	"1.3e+07"	D	"31441.635"	"56262.913"	"3d9.(2D).4p"	"1D*"	"2"	"3d9.(2D<3/2>).5d"	"2[5/2]"	"3"		"T4287"	""	
""	"403.59493"	""	"4.8e+05"	E	"29480.989"	"54251.308"	"3d9.(2D).4p"	"3F*"	"4"	"3d8.4s.(2F).5s"	"1F"	"3"		"T2765"	""	
""	"409.36157"	""	"9.0e+01"	C	"1332.164"	"25753.553"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"4"		"T3861"	""	
""	"420.04541"	""	"1.8e+06"	D	"26665.887"	"50466.131"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"3"	"3d8.4s.(4F).5s"	"3F"	"4"		"T4287"	""	
""	"429.5882"	""	"1.7e+07"	D	"30979.749"	"54251.308"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"4"	"3d8.4s.(2F).5s"	"1F"	"3"		"T2765"	""	
""	"433.1642"	""	"5.6e+05"	D+	"13521.347"	"36600.791"	"3d8.(1D).4s2"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"		"T4812"	""	
""	"438.2874"	""	"1.5e+06"	E	"31441.635"	"54251.308"	"3d9.(2D).4p"	"1D*"	"2"	"3d8.4s.(2F).5s"	"1F"	"3"		"T2765"	""	
"440.155"	"440.1541"	"110"	"3.8e+07"	D	"25753.553"	"48466.490"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"4"	"3d8.4s.(4F).5s"	"5F"	"5"		"T2765"	"L3475"	
""	"441.0518"	""	"3.2e+06"	D	"26665.887"	"49332.593"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"3"	"3d9.(2D<5/2>).4d"	"2[7/2]"	"4"		"T4287"	""	
""	"443.1033"	""	"4.1e+06"	D	"33610.890"	"56172.657"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"	"3d9.(2D<3/2>).5d"	"2[7/2]"	"3"		"T4287"	""	
""	"443.7571"	""	"2.8e+06"	D	"29668.918"	"52197.444"	"3d9.(2D).4p"	"*"	"3"	"3d9.(2D<5/2>).6s"	"2[5/2]"	"3"		"T4287"	""	
""	"445.0091"	""	"8.2e+05"	E	"31786.162"	"54251.308"	"3d8.(3F).4s.4p.(3P*)"	"3G*"	"3"	"3d8.4s.(2F).5s"	"1F"	"3"		"T2765"	""	
"445.904"	""	"85"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"446.246"	"446.2455"	"18"	"1.7e+07"	D	"27943.524"	"50346.427"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"1"	"3d8.4s.(4F).5s"	"5F"	"2"		"T4287"	"L3475"	
"447.048"	"447.0477"	"55"	"1.9e+07"	D	"27414.868"	"49777.569"	"3d8.(3F).4s.4p.(3P*)"	"5D*"	"2"	"3d8.4s.(4F).5s"	"5F"	"3"		"T4287"	"L3475"	
""	"451.2990"	""	"2.2e+06"	D	"29888.477"	"52040.523"	"3d9.(2D).4p"	"3D*"	"2"	"3d8.4s.(4F).5s"	"3F"	"2"		"T4287"	""	
""	"451.9983"	""	"6.1e+04"	D+	"13521.347"	"35639.122"	"3d8.(1D).4s2"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1F*"	"3"		"T4812"	""	
""	"452.31425"	""	"3.2e-01"	D	"0.000"	"22102.325"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(1G).4s2"	"1G"	"4"	M1	"T848"	""	
""	"452.31425"	""	"2.2e-04"	E	"0.000"	"22102.325"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(1G).4s2"	"1G"	"4"	E2	"T848"	""	
""	"455.1224"	""	"6.1e+06"	D	"33610.890"	"55576.843"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"	"3d8.4s.(2F).5s"	"3F"	"3"		"T4287"	""	
""	"455.3168"	""	"7.0e+06"	D	"29500.674"	"51457.250"	"3d9.(2D).4p"	"3P*"	"1"	"3d9.(2D<3/2>).4d"	"2[1/2]"	"0"		"T4287"	""	
""	"456.5444"	""	"7.9e-04"	E	"204.787"	"22102.325"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(1G).4s2"	"1G"	"4"	E2	"T848"	""	
""	"456.7410"	""	"1.4e+05"	D	"28578.018"	"50466.131"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"3"	"3d8.4s.(4F).5s"	"3F"	"4"		"T4287"	""	
"459.253"	""	"35"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"460.037"	"460.0359"	"18"	"2.6e+07"	D	"29013.206"	"50744.552"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"2"	"3d8.4s.(4F).5s"	"5F"	"1"		"T4287"	"L3475"	
"460.500"	"460.4987"	"65"	"2.3e+07"	D	"28068.065"	"49777.569"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"4"	"3d8.4s.(4F).5s"	"5F"	"3"		"T4287"	"L3475"	
"460.623"	"460.6221"	"18"	"1.0e+07"	D	"29013.206"	"50716.896"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"2"	"3d9.(2D<3/2>).4d"	"2[3/2]"	"1"		"T4287"	"L3475"	
""	"463.3033"	""	"7.8e+04"	E	"27580.391"	"49158.480"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"5"	"3d9.(2D<5/2>).4d"	"2[9/2]"	"5"		"T2765"	""	
"464.866"	"464.8652"	"75"	"2.4e+07"	D	"27580.391"	"49085.982"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"5"	"3d8.4s.(4F).5s"	"5F"	"4"		"T4287"	"L3475"	
""	"466.6986"	""	"6.3e+06"	D	"30619.414"	"52040.523"	"3d9.(2D).4p"	"3F*"	"2"	"3d8.4s.(4F).5s"	"3F"	"2"		"T4287"	""	
""	"467.5593"	""	"6.2e+05"	D	"29084.456"	"50466.131"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"4"	"3d8.4s.(4F).5s"	"3F"	"4"		"T4287"	""	
"468.622"	"468.6213"	"23"	"1.4e+07"	D	"29013.206"	"50346.427"	"3d8.(3F).4s.4p.(3P*)"	"5G*"	"2"	"3d8.4s.(4F).5s"	"5F"	"2"		"T4287"	"L3475"	
