obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"398.689"	""	"300l"	""		""	""		""	"L3793"	
"504.466"	""	"300s"	""		""	""		""	"L3793"	
"560.170"	""	"300l"	""		""	""		""	"L3793"	
"565.275"	""	"300l"	""		""	""		""	"L3793"	
"578.439"	""	"300l"	""		""	""		""	"L3793"	
"587.804"	""	"300l"	""		""	""		""	"L3793"	
"601.122"	""	"300s"	""		""	""		""	"L3793"	
"605.609"	""	"300"	""		""	""		""	"L3793"	
"607.390"	""	"300s"	""		""	""		""	"L3793"	
"608.005"	""	"300s"	""		""	""		""	"L3793"	
"612.049"	""	"300l"	""		""	""		""	"L3793"	
"618.859"	""	"300"	""		""	""		""	"L3793"	
"620.000"	""	"300l"	""		""	""		""	"L3793"	
"621.590"	""	"300s"	""		""	""		""	"L3793"	
"631.784"	""	"300s"	""		""	""		""	"L3793"	
"634.138"	""	"300l"	""		""	""		""	"L3793"	
"656.611"	""	"300l"	""		""	""		""	"L3793"	
"672.068"	""	"300l"	""		""	""		""	"L3793"	
"675.132"	""	"300s"	""		""	""		""	"L3793"	
"679.521"	""	"300s"	""		""	""		""	"L3793"	
"680.262"	""	"300l"	""		""	""		""	"L3793"	
"680.581"	""	"300l"	""		""	""		""	"L3793"	
"681.644"	""	"300s"	""		""	""		""	"L3793"	
"686.545"	""	"300l"	""		""	""		""	"L3793"	
"690.713"	""	"300s"	""		""	""		""	"L3793"	
"691.291"	""	"300w"	""		""	""		""	"L3793"	
"693.031"	""	"1000s"	""		""	""		""	"L3793"	
"696.363"	""	"300l"	""		""	""		""	"L3793"	
"697.209"	""	"3000s"	""		""	""		""	"L3793"	
"701.402"	""	"300"	""		""	""		""	"L3793"	
"701.891"	""	"300l"	""		""	""		""	"L3793"	
"703.914"	""	"300s"	""		""	""		""	"L3793"	
"708.001"	""	"300s"	""		""	""		""	"L3793"	
"717.483"	""	"300l"	""		""	""		""	"L3793"	
"718.493"	""	"300l"	""		""	""		""	"L3793"	
"728.428"	""	"300l"	""		""	""		""	"L3793"	
"729.229"	""	"300l"	""		""	""		""	"L3793"	
"733.252"	""	"300l"	""		""	""		""	"L3793"	
"737.060"	""	"300s"	""		""	""		""	"L3793"	
"738.103"	""	"300l"	""		""	""		""	"L3793"	
"738.165"	""	"300l"	""		""	""		""	"L3793"	
"740.270"	""	"300l"	""		""	""		""	"L3793"	
"751.222"	""	"300s"	""		""	""		""	"L3793"	
"751.515"	""	"300l"	""		""	""		""	"L3793"	
"754.605"	""	"300l"	""		""	""		""	"L3793"	
"762.483"	""	"300l"	""		""	""		""	"L3793"	
"762.685"	""	"300"	""		""	""		""	"L3793"	
"768.101"	""	"300s"	""		""	""		""	"L3793"	
"768.525"	""	"300s"	""		""	""		""	"L3793"	
"773.514"	""	"1000l"	""		""	""		""	"L3793"	
"776.161"	""	"300l"	""		""	""		""	"L3793"	
"776.575"	""	"1000l"	""		""	""		""	"L3793"	
"777.607"	""	"300s"	""		""	""		""	"L3793"	
"778.746"	""	"300"	""		""	""		""	"L3793"	
"779.138"	""	"1000l"	""		""	""		""	"L3793"	
