obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"401.96321"	"401.963220"	"15000"	"3.5e+06"	C+	"21457.7982"	"46328.6668"	"6s2.6p2"	"(3/2,3/2)"	"2"	"6s2.6p.(2P*<1/2>).6d"	"2[5/2]*"	"3"		"T3654"	"L50"	
"405.78067"	"405.780659"	"95000"	"9.0e+07"	C+	"10650.3271"	"35287.2244"	"6s2.6p2"	"(3/2,1/2)"	"2"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"		"T7227"	"L50"	
"406.21360"	"406.213593"	"14000"	"9.2e+07"	B	"21457.7982"	"46068.4385"	"6s2.6p2"	"(3/2,3/2)"	"2"	"6s2.6p.(2P*<1/2>).6d"	"2[3/2]*"	"1"		"T3654"	"L50"	
"415.78144"	"415.78144"	"10"	""		"29466.8303"	"53511.1485"	"6s2.6p2"	"(3/2,3/2)"	"0"	"6s2.6p.9s"	"(1/2,1/2)*"	"1"		""	"L50"	
"416.80328"	"416.803270"	"10000"	"1.2e+06"	D+	"21457.7982"	"45443.1710"	"6s2.6p2"	"(3/2,3/2)"	"2"	"6s2.6p.(2P*<1/2>).6d"	"2[5/2]*"	"2"		"T3654"	"L50"	
"434.041258"	"434.041263"	"200"	""		"29466.8303"	"52499.6391"	"6s2.6p2"	"(3/2,3/2)"	"0"	"6s2.6p.(2P*<1/2>).7d"	"2[3/2]*"	"1"		""	"L50"	
"500.541642"	"500.54165"	"1000"	"2.7e+07"	C+	"29466.8303"	"49439.6165"	"6s2.6p2"	"(3/2,3/2)"	"0"	"6s2.6p.7s"	"(3/2,1/2)*"	"1"		"T3654"	"L50"	
"500.65724"	"500.65724"	"100"	""		"34959.9084"	"54928.0835"	"6s2.6p.7s"	"(1/2,1/2)*"	"0"	"6s2.6p.9p"	"(1/2,3/2)"	"1"		""	"L50"	
"507.6352"	"507.6322"	"10"	""		"34959.9084"	"54653.72"	"6s2.6p.7s"	"(1/2,1/2)*"	"0"	"6s2.6p.9p"	"(1/2,1/2)"	"1"		""	"L50"	
"508.948355"	"508.94835"	"50"	""		"35287.2244"	"54930.1086"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"	"6s2.6p.9p"	"(1/2,3/2)"	"2"		""	"L50"	
"509.0008"	"509.00083"	"20"	""		"35287.2244"	"54928.0835"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"	"6s2.6p.9p"	"(1/2,3/2)"	"1"		""	"L50"	
"510.72423"	"510.72427"	"10"	""		"35287.2244"	"54861.806"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"	"6s2.6p.9p"	"(1/2,1/2)"	"0"		""	"L50"	
"520.143711"	"520.14372"	"2000"	"1.4e+07"	C	"29466.8303"	"48686.9340"	"6s2.6p2"	"(3/2,3/2)"	"0"	"6s2.6p.8s"	"(1/2,1/2)*"	"1"		"T3654n"	"L50"	
"569.23465"	"569.23465"	"40"	""		"35287.2244"	"52849.7991"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"	"6s2.6p.(2P*<1/2>).5f"	"2[5/2]"	"2"		""	"L50"	
"589.56245"	"589.56245"	"200"	""		"34959.9084"	"51916.9408"	"6s2.6p.7s"	"(1/2,1/2)*"	"0"	"6s2.6p.8p"	"(1/2,3/2)"	"1"		""	"L50"	
"600.18624"	"600.18624"	"2000"	""		"35287.2244"	"51944.1059"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"	"6s2.6p.8p"	"(1/2,3/2)"	"2"		""	"L50"	
"601.16667"	"601.16667"	"500"	""		"35287.2244"	"51916.9408"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"	"6s2.6p.8p"	"(1/2,3/2)"	"1"		""	"L50"	
"605.93556"	"605.93556"	"500"	""		"35287.2244"	"51786.0614"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"	"6s2.6p.8p"	"(1/2,1/2)"	"0"		""	"L50"	
"611.05203"	"611.05203"	"50"	""		"34959.9084"	"51320.5981"	"6s2.6p.7s"	"(1/2,1/2)*"	"0"	"6s2.6p.8p"	"(1/2,1/2)"	"1"		""	"L50"	
"623.52656"	"623.52656"	"100"	""		"35287.2244"	"51320.5981"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"	"6s2.6p.8p"	"(1/2,1/2)"	"1"		""	"L50"	
"689.2111"	"689.2117"	"10"	""		"42918.6434"	"57423.972"	"6s2.6p.7p"	"(1/2,1/2)"	"1"	"6s2.6p.(2P*<1/2>).10d"	"2[5/2]*"	"2"		""	"L50"	
"712.8942"	"712.8930"	"5"	""		"42918.6434"	"56942.128"	"6s2.6p.7p"	"(1/2,1/2)"	"1"	"6s2.6p.11s"	"(1/2,1/2)*"	"1"		""	"L50"	
"722.89653"	"722.89658"	"20000"	"8.5e+05"	C+	"21457.7982"	"35287.2244"	"6s2.6p2"	"(3/2,3/2)"	"2"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"		"T3654n"	"L50"	
"730.4683"	"730.46753"	"5"	""		"42918.6434"	"56604.735"	"6s2.6p.7p"	"(1/2,1/2)"	"1"	"6s2.6p.(2P*<1/2>).9d"	"2[3/2]*"	"1"		""	"L50"	
"733.0154"	"733.01460"	"8"	""		"7819.2626"	"21457.7982"	"6s2.6p2"	"(3/2,1/2)"	"1"	"6s2.6p2"	"(3/2,3/2)"	"2"	M1+E2	""	"L50"	
"734.66757"	"734.66760"	"10"	""		"42918.6434"	"56526.4925"	"6s2.6p.7p"	"(1/2,1/2)"	"1"	"6s2.6p.(2P*<1/2>).9d"	"2[5/2]*"	"2"		""	"L50"	
