obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"383.22860"	"383.22860"	"1500"	""		"10093.992"	"36180.677"	"4d9.(2D<3/2>).5s"	"2[3/2]"	"1"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"1"		""	"L9430"	
"389.41988"	"389.41982"	"2200"	""		"11721.809"	"37393.762"	"4d9.(2D<3/2>).5s"	"2[3/2]"	"2"	"4d9.(2D<5/2>).5p"	"2[5/2]*"	"3"		""	"L9430"	
"395.86232"	"395.86229"	"1500"	""		"11721.809"	"36975.973"	"4d9.(2D<3/2>).5s"	"2[3/2]"	"2"	"4d9.(2D<5/2>).5p"	"2[5/2]*"	"2"		""	"L9430"	
"408.73434"	"408.73428"	"290"	""		"11721.809"	"36180.677"	"4d9.(2D<3/2>).5s"	"2[3/2]"	"2"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"1"		""	"L9430"	
"416.98388"	"416.98387"	"90"	""		"10093.992"	"34068.977"	"4d9.(2D<3/2>).5s"	"2[3/2]"	"1"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"2"		""	"L9430"	
"421.29537"	"421.29533"	"2500"	""		"11721.809"	"35451.443"	"4d9.(2D<3/2>).5s"	"2[3/2]"	"2"	"4d9.(2D<5/2>).5p"	"2[7/2]*"	"3"		""	"L9430"	
"447.35857"	"447.35846"	"180"	""		"11721.809"	"34068.977"	"4d9.(2D<3/2>).5s"	"2[3/2]"	"2"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"2"		""	"L9430"	
"478.81874"	"478.81874"	"55w"	""		"34068.977"	"54947.870"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"2"	"4d9.(2D<5/2>).5d"	"2[5/2]"	"3"		""	"L9430"	
"481.75067"	"481.75067"	"45w"	""		"34068.977"	"54820.803"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"2"	"4d9.(2D<5/2>).5d"	"2[3/2]"	"2"		""	"L9430"	
"487.54253"	"487.54251"	"35"	""		"34068.977"	"54574.282"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"2"	"4d9.(2D<5/2>).5d"	"2[1/2]"	"1"		""	"L9430"	
"511.08090"	"511.08092"	"55"	""		"35451.443"	"55012.365"	"4d9.(2D<5/2>).5p"	"2[7/2]*"	"3"	"4d9.(2D<5/2>).5d"	"2[7/2]"	"3"		""	"L9430"	
"511.70072"	"511.70072"	"75"	""		"38811.896"	"58349.125"	"4d9.(2D<3/2>).5p"	"2[5/2]*"	"2"	"4d9.(2D<3/2>).5d"	"2[7/2]"	"3"		""	"L9430"	
"516.38404"	"516.38405"	"160"	""		"35451.443"	"54811.482"	"4d9.(2D<5/2>).5p"	"2[7/2]*"	"3"	"4d9.(2D<5/2>).5d"	"2[9/2]"	"4"		""	"L9430"	
"523.48610"	"523.48612"	"55"	""		"35927.948"	"55025.335"	"4d9.(2D<5/2>).5p"	"2[7/2]*"	"4"	"4d9.(2D<5/2>).5d"	"2[7/2]"	"4"		""	"L9430"	
"529.56266"	"529.56266"	"120"	""		"35927.948"	"54806.202"	"4d9.(2D<5/2>).5p"	"2[7/2]*"	"4"	"4d9.(2D<5/2>).5d"	"2[9/2]"	"5"		""	"L9430"	
"531.25864"	"531.25867"	"18"	""		"36180.677"	"54998.664"	"4d9.(2D<5/2>).5p"	"2[3/2]*"	"1"	"4d9.(2D<5/2>).5d"	"2[5/2]"	"2"		""	"L9430"	
"534.51045"	"534.51048"	"15"	""		"39858.361"	"58561.866"	"4d9.(2D<3/2>).5p"	"2[5/2]*"	"3"	"4d9.(2D<3/2>).5d"	"2[5/2]"	"3"		""	"L9430"	
"539.52201"	"539.52204"	"35"	""		"39858.361"	"58388.133"	"4d9.(2D<3/2>).5p"	"2[5/2]*"	"3"	"4d9.(2D<3/2>).5d"	"2[7/2]"	"4"		""	"L9430"	
"554.28067"	"554.28067"	"55"	""		"36975.973"	"55012.365"	"4d9.(2D<5/2>).5p"	"2[5/2]*"	"2"	"4d9.(2D<5/2>).5d"	"2[7/2]"	"3"		""	"L9430"	
"554.70202"	"554.70204"	"35"	""		"36975.973"	"54998.664"	"4d9.(2D<5/2>).5p"	"2[5/2]*"	"2"	"4d9.(2D<5/2>).5d"	"2[5/2]"	"2"		""	"L9430"	
"561.94632"	"561.94631"	"27"	""		"40771.510"	"58561.866"	"4d9.(2D<3/2>).5p"	"2[3/2]*"	"2"	"4d9.(2D<3/2>).5d"	"2[5/2]"	"3"		""	"L9430"	
"564.27039"	"564.27039"	"15"	""		"40838.874"	"58555.957"	"4d9.(2D<3/2>).5p"	"2[1/2]*"	"1"	"4d9.(2D<3/2>).5d"	"2[3/2]"	"2"		""	"L9430"	
"565.54365"	"565.54366"	"14"	""		"40771.510"	"58448.705"	"4d9.(2D<3/2>).5p"	"2[3/2]*"	"2"	"4d9.(2D<3/2>).5d"	"2[5/2]"	"2"		""	"L9430"	
"567.00697"	"567.00702"	"75"	""		"37393.762"	"55025.335"	"4d9.(2D<5/2>).5p"	"2[5/2]*"	"3"	"4d9.(2D<5/2>).5d"	"2[7/2]"	"4"		""	"L9430"	
"569.01283"	"569.01280"	"11"	""		"40838.874"	"58408.296"	"4d9.(2D<3/2>).5p"	"2[1/2]*"	"1"	"4d9.(2D<3/2>).5d"	"2[3/2]"	"1"		""	"L9430"	
"569.50916"	"569.50921"	"55w"	""		"37393.762"	"54947.870"	"4d9.(2D<5/2>).5p"	"2[5/2]*"	"3"	"4d9.(2D<5/2>).5d"	"2[5/2]"	"3"		""	"L9430"	
"573.66171"	"573.66175"	"18"	""		"37393.762"	"54820.803"	"4d9.(2D<5/2>).5p"	"2[5/2]*"	"3"	"4d9.(2D<5/2>).5d"	"2[3/2]"	"2"		""	"L9430"	
"677.45166"	"677.45174"	"23"	""		"25101.235"	"39858.361"	"4d8.5s2"	"3F"	"4"	"4d9.(2D<3/2>).5p"	"2[5/2]*"	"3"		""	"L9430"	
