obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.920"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"381.093"	""	"400"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"383.952"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"387.403"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"388.579"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"389.097"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"389.873"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"395.476"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"405.656"	""	"200r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"408.531"	""	"200r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"426.432"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"428.437"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"430.564"	""	"200r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"431.880"	""	"400"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"434.772"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"436.392"	""	"350r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"436.964"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"438.849"	""	"400r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"440.942"	""	"400r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"441.247"	""	"500r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"443.586"	""	"250r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"443.655"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"443.868"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"446.816"	""	"250r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"447.858"	""	"350r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"448.160"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"448.505"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"449.050"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"450.033"	""	"350r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"450.684"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"451.731"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"452.332"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"452.612"	""	"250r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"452.676"	""	"250r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"452.770"	""	"400r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"454.006"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"454.142"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"454.175"	""	"450r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"454.408"	""	"500r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"454.517"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"454.978"	""	"400r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"455.403"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"455.463"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"455.534"	""	"500r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"455.606"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"455.703"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"455.921"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"456.814"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"457.037"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"457.215"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"457.527"	""	"400r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"457.828"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"457.841"	""	"200r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"457.948"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"458.114"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"458.549"	""	"300r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"459.382"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"459.582"	""	"400r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"459.755"	""	"800"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"460.025"	""	"500r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"460.296"	""	"400r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"460.459"	""	"400"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"460.566"	""	"600r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"460.985"	""	"500r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"461.702"	""	"600r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"461.840"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"461.849"	""	"400r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"461.975"	""	"500r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"462.157"	""	"500"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"462.331"	""	"500"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"462.368"	""	"700r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"462.441"	""	"900"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"462.529"	""	"500r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"462.760"	""	"400r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"463.093"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"463.345"	""	"600r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"464.096"	""	"400r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"464.336"	""	"700r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
"464.376"	""	"700r"	""		""	""	""	""	""	""	""	""		""	"L4514c1"	
