obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"395.944"	""	"190"	""		""	""		""	"L3475"	
"463.228"	""	"140"	""		""	""		""	"L3475"	
"463.568"	""	"140"	""		""	""		""	"L3475"	
"463.955"	""	"200"	""		""	""		""	"L3475"	
"468.780"	""	"180"	""		""	""		""	"L3475"	
"469.577"	""	"290"	""		""	""		""	"L3475"	
"470.952"	""	"140"	""		""	""		""	"L3475"	
"473.067"	""	"180"	""		""	""		""	"L3475"	
"473.669"	""	"250"	""		""	""		""	"L3475"	
"474.416"	""	"100"	""		""	""		""	"L3475"	
"490.699"	""	"110"	""		""	""		""	"L3475"	
"491.402"	""	"140"	""		""	""		""	"L3475"	
"492.460"	""	"200"	""		""	""		""	"L3475"	
"493.600"	""	"140"	""		""	""		""	"L3475"	
"493.974"	""	"320"	""		""	""		""	"L3475"	
"494.030"	""	"160"	""		""	""		""	"L3475"	
"495.137"	""	"380"	""		""	""		""	"L3475"	
"497.575"	""	"110"	""		""	""		""	"L3475"	
"501.859"	""	"120"	""		""	""		""	"L3475"	
"501.976"	""	"200"	""		""	""		""	"L3475"	
"502.696"	""	"200"	""		""	""		""	"L3475"	
"503.338"	""	"100"	""		""	""		""	"L3475"	
"504.383"	""	"110"	""		""	""		""	"L3475"	
"504.552"	""	"320"	""		""	""		""	"L3475"	
"505.340"	""	"160"	""		""	""		""	"L3475"	
"508.712"	""	"180"	""		""	""		""	"L3475"	
"513.344"	""	"270"	""		""	""		""	"L3475"	
"513.981"	""	"100"	""		""	""		""	"L3475"	
"519.443"	""	"120"	""		""	""		""	"L3475"	
"522.797"	""	"110"	""		""	""		""	"L3475"	
"550.150"	""	"16"	""		""	""		""	"L3475"	
"552.415"	""	"28c"	""		""	""		""	"L3475"	
"552.793"	""	"16c"	""		""	""		""	"L3475"	
"553.021"	""	"13"	""		""	""		""	"L3475"	
"553.116"	""	"45"	""		""	""		""	"L3475"	
"553.837"	""	"28"	""		""	""		""	"L3475"	
