obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.10723"	"380.10723"	"440D"	"1.80e+06"	C+	"15501.8344"	"41802.733"	"5d8.6s2"	"3F"	"2"	"5d8.6s.(2D).6p"	"a 3D*"	"1"		"T3313"	"L11529"	
"380.23589"	"380.23587"	"31"	""		"41802.733"	"68094.734"	"5d8.6s.(2D).6p"	"a 3D*"	"1"	"5d9.6d"	"3F"	"2"		""	"L11529"	
"380.30226"	"380.30228"	"35"	""		"42660.048"	"68947.458"	"5d8.6s.(4F).6p"	"b 5D*"	"3"	""	""	"3"		""	"L11529"	
"380.52973"	"380.52986"	"11"	""		"36296.294"	"62567.983"	"5d8.6s.(4F).6p"	"a 5G*"	"4"	"5d9.8s"	"3D"	"3"		""	"L11529"	
"380.81298"	"380.81304"	"57"	""		"42660.048"	"68912.201"	"5d8.6s.(4F).6p"	"b 5D*"	"3"	""	"z"	"4"		""	"L11529"	
"381.50673"	"381.50711"	"59l"	"4.3e+05"	C	"16983.435"	"43187.829"	"5d8.6s2"	"3P"	"0"	"5d8.6s.(4F).6p"	"5D*"	"1"		"T3313"	"L11529"	
"381.86874"	"381.86875"	"8300"	"6.60e+05"	B+	"10116.7158"	"36296.294"	"5d8.6s2"	"3F"	"3"	"5d8.6s.(4F).6p"	"a 5G*"	"4"		"T3313"	"L11529"	
"383.7288"	"383.73069"	"8"	""		"6567.4517"	"32620.0047"	"5d9.6s"	"3D"	"2"	"5d9.6p"	"a 3P*"	"2"		""	"L11529"	
"383.86561"	"383.86564"	"14"	""		"42660.048"	"68703.442"	"5d8.6s.(4F).6p"	"b 5D*"	"3"	""	"x"	"4"		""	"L11529"	
"386.32223"	"386.32207"	"84"	"3.1e+05"	C	"18566.5450"	"44444.346"	"5d8.6s2"	"3P"	"1"	"5d8.6s.(4F).6p"	"5F*"	"2"		"T3313"	"L11529"	
"386.57875"	"386.57873"	"11"	""		"36844.695"	"62705.315"	"5d9.6p"	"3P*"	"1"	"5d9.8s"	"1D"	"2"		""	"L11529"	
"386.84209"	"386.84222"	"470"	""		"38536.1439"	"64379.150"	"5d8.6s.(4F).6p"	"b 5F*"	"5"	"5d8.(3F<4>).6s.6d"	"b (4,?)"	"5"		""	"L11529"	
"387.57150"	"387.57161"	"470"	""		"38536.1439"	"64330.516"	"5d8.6s.(4F).6p"	"b 5F*"	"5"	"5d8.(3F<4>).6s.6d"	"b (4,?)"	"6"		""	"L11529"	
"387.69749"	"387.69729"	"21"	""		"34122.1452"	"59908.156"	"5d9.6p"	"3F*"	"3"	"5d9.6d"	"a 1D"	"2"		""	"L11529"	
"388.08488"	"388.08478"	"32"	""		"34122.1452"	"59882.410"	"5d9.6p"	"3F*"	"3"	"5d9.6d"	"3F"	"4"		""	"L11529"	
"388.23976"	"388.23974"	"45"	""		"34122.1452"	"59872.128"	"5d9.6p"	"3F*"	"3"	"5d9.6d"	"1F"	"3"		""	"L11529"	
"388.52172"	"388.52181"	"26"	""		"38536.1439"	"64267.433"	"5d8.6s.(4F).6p"	"b 5F*"	"5"	"5d8.(3F<4>).6s.6d.(3D<?>)"	"a (4,?)"	"5"		""	"L11529"	
"389.87316"	"389.87309"	"500s"	""		"34122.1452"	"59764.253"	"5d9.6p"	"3F*"	"3"	"5d9.6d"	"3D"	"3"		""	"L11529"	
"390.07228"	"390.07216"	"1100s"	""		"34122.1452"	"59751.167"	"5d9.6p"	"3F*"	"3"	"5d9.6d"	"a 3G"	"4"		""	"L11529"	
"390.37085"	"390.37082"	"150"	""		"34122.1452"	"59731.559"	"5d9.6p"	"3F*"	"3"	"5d9.6d"	"3P"	"2"		""	"L11529"	
"390.43823"	"390.43813"	"390"	""		"38536.1439"	"64141.143"	"5d8.6s.(4F).6p"	"b 5F*"	"5"	"5d8.(3F<4>).6s.6d.(3D<?>)"	"a (4,?)"	"6"		""	"L11529"	
"390.62788"	"390.62783"	"120"	""		"38536.1439"	"64128.709"	"5d8.6s.(4F).6p"	"b 5F*"	"5"	""	""	"5 or 4"		""	"L11529"	
"391.08955"	"391.08960"	"430"	""		"35321.6370"	"60883.985"	"5d8.6s.(4F).6p"	"a 5D*"	"3"	"5d8.(3F<4>).6s.7s.(1S<0>)"	"(4,0)"	"4"		""	"L11529"	
"392.29559"	"392.29559"	"1900c"	""		"30156.846"	"55640.612"	"5d8.6s.(4F).6p"	"5D*"	"4"	"5d8.(3F<4>).6s.7s.(3S<1>)"	"(4,1)"	"5"		""	"L11529"	
"392.52718"	"392.52700"	"77"	""		"35321.6370"	"60790.380"	"5d8.6s.(4F).6p"	"a 5D*"	"3"	"5d8.(3F<4>).6s.7s.(3S<1>)"	"(4,1)"	"3"		""	"L11529"	
"392.53359"	"392.53348"	"480"	""		"15501.8344"	"40970.1568"	"5d8.6s2"	"3F"	"2"	"5d8.6s.(4F).6p"	"5G*"	"3"		""	"L11529"	
"392.63831"	"392.63835"	"37"	""		"42660.048"	"68121.568"	"5d8.6s.(4F).6p"	"b 5D*"	"3"	"5d9.6d"	"b 3G"	"4"		""	"L11529"	
"394.15998"	"394.16004"	"47"	""		"37342.089"	"62705.315"	"5d9.6p"	"b 3P*"	"2"	"5d9.8s"	"1D"	"2"		""	"L11529"	
"394.4109"	"394.41411"	"4"	""		"42660.048"	"68006.936"	"5d8.6s.(4F).6p"	"b 5D*"	"3"	"5d9.6d"	"3G"	"3"		""	"L11529"	
"394.8385"	"394.83866"	"470hfs"	"8.3e+05"	C+	"13496.2595"	"38815.8940"	"5d9.6s"	"b 1D"	"2"	"5d8.6s.(2D).6p"	"a 3F*"	"2"		"T3313n"	"L11529"	
"395.36375"	"395.36376"	"40"	"2.8e+04"	C	"15501.8344"	"40787.8417"	"5d8.6s2"	"3F"	"2"	"5d8.6s.(4P).6p"	"5P*"	"2"		"T3313n"	"L11529"	
"396.3041"	"396.30593"	"4"	""		"37342.089"	"62567.983"	"5d9.6p"	"b 3P*"	"2"	"5d9.8s"	"3D"	"3"		""	"L11529"	
"396.63570"	"396.63570"	"3400"	"1.38e+06"	C+	"10116.7158"	"35321.6370"	"5d8.6s2"	"3F"	"3"	"5d8.6s.(4F).6p"	"a 5D*"	"3"		"T3313n"	"L11529"	
"398.06010"	"398.06026"	"33"	""		"26638.576"	"51753.2970"	"5d8.6s2"	"1D"	"2"	"5d8.6s.(2F).6p"	"3F*"	"2"		""	"L11529"	
"398.4939"	"398.49286"	"7"	""		"43187.829"	"68275.286"	"5d8.6s.(4F).6p"	"5D*"	"1"	""	""	"2"		""	"L11529"	
"399.65674"	"399.65681"	"410"	"2.39e+05"	C+	"15501.8344"	"40516.229"	"5d8.6s2"	"3F"	"2"	"5d8.6s.(4F).6p"	"5D*"	"2"		"T3313n"	"L11529"	
"400.1800"	"400.18152"	"5"	""		"43187.829"	"68169.426"	"5d8.6s.(4F).6p"	"5D*"	"1"	"5d9.6d"	"b 1D"	"2"		""	"L11529"	
"400.24834"	"400.24847"	"150"	""		"37590.5647"	"62567.983"	"5d9.6p"	"3F*"	"4"	"5d9.8s"	"3D"	"3"		""	"L11529"	
"400.90950"	"400.90931"	"66"	""		"37769.0673"	"62705.315"	"5d9.6p"	"3D*"	"3"	"5d9.8s"	"1D"	"2"		""	"L11529"	
"401.8209"	"401.82386"	"12"	""		"40516.229"	"65395.723"	"5d8.6s.(4F).6p"	"5D*"	"2"	"5d9.7d"	"1D"	"2"		""	"L11529"	
"401.9610"	"401.96434"	"11"	""		"40516.229"	"65387.028"	"5d8.6s.(4F).6p"	"5D*"	"2"	"5d9.7d"	"3D"	"3"		""	"L11529"	
"402.7950"	"402.79845"	"12"	""		"16983.435"	"41802.733"	"5d8.6s2"	"3P"	"0"	"5d8.6s.(2D).6p"	"a 3D*"	"1"		""	"L11529"	
"403.12981"	"403.12952"	"56"	""		"37769.0673"	"62567.983"	"5d9.6p"	"3D*"	"3"	"5d9.8s"	"3D"	"3"		""	"L11529"	
"405.47658"	"405.47631"	"120"	""		"21967.101"	"46622.4900"	"5d8.6s2"	"1G"	"4"	"5d8.6s.(2F).6p"	"b 3D*"	"3"		""	"L11529"	
"406.0360"	"406.03798"	"17"	""		"18566.5450"	"43187.829"	"5d8.6s2"	"3P"	"1"	"5d8.6s.(4F).6p"	"5D*"	"1"		""	"L11529"	
"406.1158"	"406.11431"	"5"	""		"40516.229"	"65132.886"	"5d8.6s.(4F).6p"	"5D*"	"2"	"5d9.7d"	"3P"	"2"		""	"L11529"	
"406.5918"	"406.59275"	"620hfs"	""		"36296.294"	"60883.985"	"5d8.6s.(4F).6p"	"a 5G*"	"4"	"5d8.(3F<4>).6s.7s.(1S<0>)"	"(4,0)"	"4"		""	"L11529"	
"406.609"	"406.61213"	"13"	""		"35321.6370"	"59908.156"	"5d8.6s.(4F).6p"	"a 5D*"	"3"	"5d9.6d"	"a 1D"	"2"		""	"L11529"	
"407.03844"	"407.03837"	"54"	""		"35321.6370"	"59882.410"	"5d8.6s.(4F).6p"	"a 5D*"	"3"	"5d9.6d"	"3F"	"4"		""	"L11529"	
"407.21002"	"407.20885"	"6"	""		"35321.6370"	"59872.128"	"5d8.6s.(4F).6p"	"a 5D*"	"3"	"5d9.6d"	"1F"	"3"		""	"L11529c153"	
"408.14669"	"408.14659"	"410c"	""		"36296.294"	"60790.380"	"5d8.6s.(4F).6p"	"a 5G*"	"4"	"5d8.(3F<4>).6s.7s.(3S<1>)"	"(4,1)"	"3"		""	"L11529"	
"408.47775"	"408.47775"	"87"	""		"40194.2203"	"64668.449"	"5d8.6s.(4F).6p"	"5F*"	"4"	"5d8.(3F<4>).6s.6d.(3D<?>)"	"b (4,?)"	"4"		""	"L11529"	
"408.73313"	"408.73320"	"84"	""		"26638.576"	"51097.5087"	"5d8.6s2"	"1D"	"2"	"5d8.6s.(4P).6p"	"5D*"	"3"		""	"L11529"	
"409.00628"	"409.00606"	"160"	""		"35321.6370"	"59764.253"	"5d8.6s.(4F).6p"	"a 5D*"	"3"	"5d9.6d"	"3D"	"3"		""	"L11529"	
"409.22522"	"409.22515"	"580"	""		"35321.6370"	"59751.167"	"5d8.6s.(4F).6p"	"a 5D*"	"3"	"5d9.6d"	"a 3G"	"4"		""	"L11529"	
"409.2922"	"409.29156"	"12"	""		"40970.1568"	"65395.723"	"5d8.6s.(4F).6p"	"5G*"	"3"	"5d9.7d"	"1D"	"2"		""	"L11529"	
"409.4362"	"409.43732"	"15"	""		"40970.1568"	"65387.028"	"5d8.6s.(4F).6p"	"5G*"	"3"	"5d9.7d"	"3D"	"3"		""	"L11529"	
"409.55370"	"409.55388"	"87"	""		"35321.6370"	"59731.559"	"5d8.6s.(4F).6p"	"a 5D*"	"3"	"5d9.6d"	"3P"	"2"		""	"L11529"	
"409.7478"	"409.7462"	"53"	""		"44432.651"	"68831.116"	"5d8.6s.(4F).6p"	"b 5G*"	"4"	""	""	"5"		""	"L11529"	
"410.7602"	"410.75794"	"5"	""		"40970.1568"	"65308.527"	"5d8.6s.(4F).6p"	"5G*"	"3"	"5d9.7d"	"3G"	"4"		""	"L11529"	
"410.9048"	"410.90345"	"18"	""		"43945.534"	"68275.286"	"5d8.6s.(4P).6p"	"a 5P*"	"3"	""	""	"2"		""	"L11529"	
"410.9612"	"410.96100"	"15"	""		"44432.651"	"68758.996"	"5d8.6s.(4F).6p"	"b 5G*"	"4"	""	"y"	"4"		""	"L11529"	
"411.2120"	"411.21014"	"10"	""		"40194.2203"	"64505.827"	"5d8.6s.(4F).6p"	"5F*"	"4"	"5d8.(3F<3>).6s.7s.(3S<1>)"	"(3,1)"	"3"		""	"L11529"	
"411.86745"	"411.86745"	"3000"	"2.87e+06"	C+	"13496.2595"	"37769.0673"	"5d9.6s"	"b 1D"	"2"	"5d9.6p"	"3D*"	"3"		"T3313n"	"L11529"	
"412.7002"	"412.6992"	"5"	""		"43945.534"	"68169.426"	"5d8.6s.(4P).6p"	"a 5P*"	"3"	"5d9.6d"	"b 1D"	"2"		""	"L11529"	
"413.5181"	"413.51614"	"26"	""		"43945.534"	"68121.568"	"5d8.6s.(4P).6p"	"a 5P*"	"3"	"5d9.6d"	"b 3G"	"4"		""	"L11529"	
"413.7472"	"413.74384"	"99"	""		"40970.1568"	"65132.886"	"5d8.6s.(4F).6p"	"5G*"	"3"	"5d9.7d"	"3P"	"2"		""	"L11529"	
"413.9752"	"413.97564"	"9"	""		"43945.534"	"68094.734"	"5d8.6s.(4P).6p"	"a 5P*"	"3"	"5d9.6d"	"3F"	"2"		""	"L11529"	
"414.3612"	"414.3617"	"32"	""		"43945.534"	"68072.233"	"5d8.6s.(4P).6p"	"a 5P*"	"3"	"5d9.6d"	"3F"	"3"		""	"L11529"	
"414.5029"	"414.50174"	"240"	""		"40194.2203"	"64312.770"	"5d8.6s.(4F).6p"	"5F*"	"4"	"5d8.(3F<4>).6s.6d.(3D<?>)"	"a (4,?)"	"4"		""	"L11529"	
"415.2841"	"415.28238"	"36"	""		"40194.2203"	"64267.433"	"5d8.6s.(4F).6p"	"5F*"	"4"	"5d8.(3F<4>).6s.6d.(3D<?>)"	"a (4,?)"	"5"		""	"L11529"	
"415.4841"	"415.48623"	"11"	""		"43945.534"	"68006.936"	"5d8.6s.(4P).6p"	"a 5P*"	"3"	"5d9.6d"	"3G"	"3"		""	"L11529"	
"416.45491"	"416.45502"	"3300"	"6.0e+05"	C+	"10116.7158"	"34122.1452"	"5d8.6s2"	"3F"	"3"	"5d9.6p"	"3F*"	"3"		"T3313n"	"L11529"	
"416.7300"	"416.72986"	"220"	""		"40516.229"	"64505.827"	"5d8.6s.(4F).6p"	"5D*"	"2"	"5d8.(3F<3>).6s.7s.(3S<1>)"	"(3,1)"	"3"		""	"L11529"	
"418.4748"	"418.47739"	"36"	""		"38815.8940"	"62705.315"	"5d8.6s.(2D).6p"	"a 3F*"	"2"	"5d9.8s"	"1D"	"2"		""	"L11529"	
"419.24231"	"419.24241"	"1700"	"7.1e+05"	C+	"13496.2595"	"37342.089"	"5d9.6s"	"b 1D"	"2"	"5d9.6p"	"b 3P*"	"2"		"T3313n"	"L11529"	
"420.12102"	"420.12097"	"470"	""		"36844.695"	"60640.659"	"5d9.6p"	"3P*"	"1"	"5d9.7s"	"3D"	"2"		""	"L11529"	
"421.3088"	"421.3068"	"280"	""		"36844.695"	"60573.68"	"5d9.6p"	"3P*"	"1"	"5d9.6d"	"1S"	"0"		""	"L11529"	
"421.3771"	"421.3762"	"140"	""		"44444.346"	"68169.426"	"5d8.6s.(4F).6p"	"5F*"	"2"	"5d9.6d"	"b 1D"	"2"		""	"L11529"	
"421.5020"	"421.50224"	"54"	""		"40787.8417"	"64505.827"	"5d8.6s.(4P).6p"	"5P*"	"2"	"5d8.(3F<3>).6s.7s.(3S<1>)"	"(3,1)"	"3"		""	"L11529"	
"421.8521"	"421.85251"	"63"	""		"40970.1568"	"64668.449"	"5d8.6s.(4F).6p"	"5G*"	"3"	"5d8.(3F<4>).6s.6d.(3D<?>)"	"b (4,?)"	"4"		""	"L11529"	
"423.1091"	"423.1096"	"110"	""		"44444.346"	"68072.233"	"5d8.6s.(4F).6p"	"5F*"	"2"	"5d9.6d"	"3F"	"3"		""	"L11529"	
"423.7370"	"423.73540"	"12"	""		"41802.733"	"65395.723"	"5d8.6s.(2D).6p"	"a 3D*"	"1"	"5d9.7d"	"1D"	"2"		""	"L11529"	
"424.0718"	"424.07162"	"13"	""		"44432.651"	"68006.936"	"5d8.6s.(4F).6p"	"b 5G*"	"4"	"5d9.6d"	"3G"	"3"		""	"L11529"	
"424.2859"	"424.28210"	"12"	""		"44444.346"	"68006.936"	"5d8.6s.(4F).6p"	"5F*"	"2"	"5d9.6d"	"3G"	"3"		""	"L11529"	
