obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"380.593"	""	"10000"	""		""	""		""	"u1"	
"381.140"	""	"10000"	""		""	""		""	"u1"	
"382.757"	""	"10000"	""		""	""		""	"u1"	
"383.552"	""	"10000"	""		""	""		""	"u1"	
"383.696"	""	"10000"	""		""	""		""	"u1"	
"383.892"	""	"10000"	""		""	""		""	"u1"	
"384.210"	""	"10000"	""		""	""		""	"u1"	
"385.101"	""	"10000"	""		""	""		""	"u1"	
"385.185"	""	"10000"	""		""	""		""	"u1"	
"387.854"	""	"10000"	""		""	""		""	"u1"	
"389.589"	""	"10000"	""		""	""		""	"u1"	
"392.853"	""	"10000"	""		""	""		""	"u1"	
"409.712"	""	"10000"	""		""	""		""	"u1"	
"410.196"	""	"10000"	""		""	""		""	"u1"	
"411.107"	""	"10000"	""		""	""		""	"u1"	
"411.491"	""	"10000"	""		""	""		""	"u1"	
"412.812"	""	"10000"	""		""	""		""	"u1"	
"413.301"	""	"10000"	""		""	""		""	"u1"	
"413.597"	""	"10000"	""		""	""		""	"u1"	
"414.004"	""	"10000"	""		""	""		""	"u1"	
"415.109"	""	"10000"	""		""	""		""	"u1"	
"415.145"	""	"10000"	""		""	""		""	"u1"	
"415.546"	""	"10000"	""		""	""		""	"u1"	
"416.777"	""	"10000"	""		""	""		""	"u1"	
"417.095"	""	"10000"	""		""	""		""	"u1"	
"420.648"	""	"10000"	""		""	""		""	"u1"	
"420.823"	""	"10000"	""		""	""		""	"u1"	
"422.187"	""	"10000"	""		""	""		""	"u1"	
"422.420"	""	"10000"	""		""	""		""	"u1"	
"426.188"	""	"10000"	""		""	""		""	"u1"	
"426.977"	""	"10000"	""		""	""		""	"u1"	
"428.117"	""	"10000"	""		""	""		""	"u1"	
"436.741"	""	"10000"	""		""	""		""	"u1"	
"440.490"	""	"10000"	""		""	""		""	"u1"	
"473.540"	""	"10000"	""		""	""		""	"u1"	
"498.934"	""	"10000"	""		""	""		""	"u1"	
"526.986"	""	"10000"	""		""	""		""	"u1"	
"538.102"	""	"10000"	""		""	""		""	"u1"	
"549.850"	""	"10000"	""		""	""		""	"u1"	
"551.072"	""	"10000"	""		""	""		""	"u1"	
"553.759"	""	"10000"	""		""	""		""	"u1"	
"554.962"	""	"10000"	""		""	""		""	"u1"	
"559.054"	""	"10000"	""		""	""		""	"u1"	
"559.233"	""	"10000"	""		""	""		""	"u1"	
"571.239"	""	"10000"	""		""	""		""	"u1"	
"577.026"	""	"10000"	""		""	""		""	"u1"	
"583.905"	""	"10000"	""		""	""		""	"u1"	
"598.335"	""	"10000"	""		""	""		""	"u1"	
"601.278"	""	"10000"	""		""	""		""	"u1"	
"619.280"	""	"10000"	""		""	""		""	"u1"	
"630.466"	""	"10000"	""		""	""		""	"u1"	
"644.975"	""	"10000"	""		""	""		""	"u1"	
"648.671"	""	"10000"	""		""	""		""	"u1"	
"648.886"	""	"10000"	""		""	""		""	"u1"	
"653.527"	""	"10000"	""		""	""		""	"u1"	
"654.421"	""	"10000"	""		""	""		""	"u1"	
"660.895"	""	"10000"	""		""	""		""	"u1"	
"667.272"	""	"10000"	""		""	""		""	"u1"	
"678.466"	""	"10000"	""		""	""		""	"u1"	
"688.016"	""	"10000"	""		""	""		""	"u1"	
"689.138"	""	"10000"	""		""	""		""	"u1"	
"705.923"	""	"10000"	""		""	""		""	"u1"	
"706.890"	""	"10000"	""		""	""		""	"u1"	
"709.246"	""	"10000"	""		""	""		""	"u1"	
"711.688"	""	"10000"	""		""	""		""	"u1"	
"714.166"	""	"10000"	""		""	""		""	"u1"	
"717.714"	""	"10000"	""		""	""		""	"u1"	
"723.109"	""	"10000"	""		""	""		""	"u1"	
"725.806"	""	"10000"	""		""	""		""	"u1"	
"732.223"	""	"10000"	""		""	""		""	"u1"	
"732.597"	""	"10000"	""		""	""		""	"u1"	
"733.181"	""	"10000"	""		""	""		""	"u1"	
"743.118"	""	"10000"	""		""	""		""	"u1"	
"744.799"	""	"10000"	""		""	""		""	"u1"	
"750.780"	""	"10000"	""		""	""		""	"u1"	
"752.693"	""	"10000"	""		""	""		""	"u1"	
"754.745"	""	"10000"	""		""	""		""	"u1"	
"756.450"	""	"10000"	""		""	""		""	"u1"	
"757.187"	""	"10000"	""		""	""		""	"u1"	
"757.293"	""	"10000"	""		""	""		""	"u1"	
"760.977"	""	"10000"	""		""	""		""	"u1"	
"768.940"	""	"10000"	""		""	""		""	"u1"	
"775.820"	""	"10000"	""		""	""		""	"u1"	
"779.854"	""	"10000"	""		""	""		""	"u1"	
