obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"381.200"	"381.200"	"1"	""		"13993.94"	"40219.45"	"7s.6d"	"3D"	"2"	"7s.8f"	"3F*"	"3"		""	"L3527"	
"391.674"	"391.674"	"1"	""		"14707.29"	"40231.5"	"7s.6d"	"3D"	"3"	"7s.8f"	"3F*"	"4"		""	"L3527"	
"394.102"	"394.102"	"1"	""		"13993.94"	"39360.9"	"7s.6d"	"3D"	"2"	"7s.7f"	"3F*"	"3"		""	"L3527"	
"401.030"	""	"1"	""		""	""	""	""	""	""	""	""		""	"L3527"	
"405.407"	"405.407"	"1"	""		"14707.29"	"39366.9"	"7s.6d"	"3D"	"3"	"7s.7f"	"3F*"	"4"		""	"L3527"	
"417.798"	"417.798"	"4"	""		"13993.94"	"37922.2"	"7s.6d"	"3D"	"2"	"7s.6f"	"3F*"	"3"		""	"L3527"	
"426.512"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L3527"	
"430.500"	"430.500"	"4"	""		"14707.29"	"37929.56"	"7s.6d"	"3D"	"3"	"7s.6f"	"3F*"	"4"		""	"L3527"	
"436.630"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L3527"	
"442.635"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L3527"	
"444.447"	""	"1"	""		""	""	""	""	""	""	""	""		""	"L3527"	
"464.1290"	"464.1284"	"8"	""		"13715.779"	"35255.51"	"7s.6d"	"3D"	"1"	"7s.5f"	"3F*"	"2"		""	"L3527"	
"467.219"	"467.217"	"1"	""		"13078.40"	"34475.74"	"7s.7p"	"3P*"	"0"	"7s.9s"	"3S"	"1"		""	"L3527"	
"469.9280"	"469.9272"	"8"	""		"13993.94"	"35267.88"	"7s.6d"	"3D"	"2"	"7s.5f"	"3F*"	"3"		""	"L3527"	
"470.197"	"470.2006"	"2"	""		"13993.94"	"35255.51"	"7s.6d"	"3D"	"2"	"7s.5f"	"3F*"	"2"		""	"L3527"	
"474.007"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L3527"	
"480.311"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L3527"	
"482.592806"	"482.59281"	"100"	"1.770e+08"	AA	"0.0000"	"20715.6142"	"7s2"	"1S"	"0"	"7s.7p"	"1P*"	"1"		"T3403"	"L3527,L18892"	
"483.727"	"483.7268"	"3"	""		"13715.779"	"34382.83"	"7s.6d"	"3D"	"1"	"6d.7p"	"3P*"	"2"		""	"L3527"	
"485.6070"	"485.6071"	"10"	""		"14707.29"	"35294.32"	"7s.6d"	"3D"	"3"	"7s.5f"	"3F*"	"4"		""	"L3527"	
"486.227"	"486.2315"	"2"	""		"14707.29"	"35267.88"	"7s.6d"	"3D"	"3"	"7s.5f"	"3F*"	"3"		""	"L3527"	
"488.228"	"488.231"	"3"	""		"13999.3569"	"34475.74"	"7s.7p"	"3P*"	"1"	"7s.9s"	"3S"	"1"		""	"L3527"	
"490.324"	"490.3263"	"4"	""		"13993.94"	"34382.83"	"7s.6d"	"3D"	"2"	"6d.7p"	"3P*"	"2"		""	"L3527"	
"497.177"	"497.179"	"5"	""		"13715.779"	"33823.63"	"7s.6d"	"3D"	"1"	"6d.7p"	"3P*"	"1"		""	"L3527,L15862"	
"498.203"	"498.203"	"4"	""		"13715.779"	"33782.32"	"7s.6d"	"3D"	"1"	"6d.7p"	"3P*"	"0"		""	"L3527,L15862"	
"504.156"	"504.154"	"5"	""		"13993.94"	"33823.63"	"7s.6d"	"3D"	"2"	"6d.7p"	"3P*"	"1"		""	"L3527,L15862"	
