obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"420.1792"	"420.18053"	"1000"	"1.77e+06"	B+	"0.000"	"23792.591"	"4p6.5s"	"2S"	"1/2"	"4p6.6p"	"2P*"	"3/2"		"T7227"	"L3287"	
"421.5524"	"421.5539"	"500"	"1.50e+06"	B	"0.000"	"23715.081"	"4p6.5s"	"2S"	"1/2"	"4p6.6p"	"2P*"	"1/2"		"T7227"	"L3287"	
"505.02"	"505.07"	""	"6.54e+06"		"134250.1"	"154044."	"4p5.5s.5p"	"4S"	"3/2"	"4p5.4d.(1P).5s"	"2P*"	"3/2"		"T7580"	"L7245"	
"508.79874"	"508.79874"	"2"	""		"12578.950"	"32227.610"	"4p6.5p"	"2P*"	"1/2"	"4p6.10d"	"2D"	"3/2"		""	"L7459"	
"513.24708"	"513.24709"	"2"	""		"12816.545"	"32294.911"	"4p6.5p"	"2P*"	"3/2"	"4p6.12s"	"2S"	"1/2"		""	"L7459"	
"515.01339"	"515.01340"	"10"	""		"12816.545"	"32228.108"	"4p6.5p"	"2P*"	"3/2"	"4p6.10d"	"2D"	"5/2"		""	"L7459"	
"516.50231"	"516.5012"	"1"	""		"0.000"	"19355.649"	"4p6.5s"	"2S"	"1/2"	"4p6.4d"	"2D"	"3/2"	M1+E2	""	"L7459"	
"516.51416"	"516.5131"	"2"	""		"0.000"	"19355.203"	"4p6.5s"	"2S"	"1/2"	"4p6.4d"	"2D"	"5/2"	E2	""	"L7459"	
"516.9651"	"516.9653"	"1"	""		"12578.950"	"31917.221"	"4p6.5p"	"2P*"	"1/2"	"4p6.11s"	"2S"	"1/2"		""	"L3522"	
"519.52778"	"519.5274"	"15"	""		"12578.950"	"31821.855"	"4p6.5p"	"2P*"	"1/2"	"4p6.9d"	"2D"	"3/2"		""	"L7459"	
"521.76"	"521.75"	""	"2.86e+06"		"134250.1"	"153411."	"4p5.5s.5p"	"4S"	"3/2"	"4p5.5p2"	"4D*"	"5/2"		"T7580"	"L7245"	
"523.39679"	"523.3960"	"2"	""		"12816.545"	"31917.221"	"4p6.5p"	"2P*"	"3/2"	"4p6.11s"	"2S"	"1/2"		""	"L7459"	
