obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"380.774"	""	"190"	""		""	""		""	"L3475"	
"381.566"	""	"120"	""		""	""		""	"L3475"	
"383.630"	""	"120"	""		""	""		""	"L3475"	
"386.994"	""	"240"	""		""	""		""	"L3475"	
"387.526"	""	"240"	""		""	""		""	"L3475"	
"387.686"	""	"240"	""		""	""		""	"L3475"	
"390.821"	""	"100"	""		""	""		""	"L3475"	
"391.392"	""	"130"	""		""	""		""	"L3475"	
"391.727"	""	"380c"	""		""	""		""	"L3475"	
"392.985"	""	"550"	""		""	""		""	"L3475"	
"393.690"	""	"140"	""		""	""		""	"L3475"	
"394.472"	""	"110"	""		""	""		""	"L3475"	
"394.591"	""	"180"	""		""	""		""	"L3475"	
"396.104"	""	"280"	""		""	""		""	"L3475"	
"396.248"	""	"350c"	""		""	""		""	"L3475"	
"400.493"	""	"100"	""		""	""		""	"L3475"	
"402.296"	""	"140"	""		""	""		""	"L3475"	
"402.331"	""	"100"	""		""	""		""	"L3475"	
"402.963"	""	"110c"	""		""	""		""	"L3475"	
"403.331"	""	"220"	""		""	""		""	"L3475"	
"403.749"	""	"110"	""		""	""		""	"L3475"	
"404.899"	""	"200"	""		""	""		""	"L3475"	
"408.143"	""	"240"	""		""	""		""	"L3475"	
"410.442"	""	"140"	""		""	""		""	"L3475"	
"411.089"	""	"240c"	""		""	""		""	"L3475"	
"412.164"	""	"190"	""		""	""		""	"L3475"	
"413.342"	""	"240c,w"	""		""	""		""	"L3475"	
"413.645"	""	"1800"	""		""	""		""	"L3475"	
"414.436"	""	"700"	""		""	""		""	"L3475"	
"414.996"	""	"140"	""		""	""		""	"L3475"	
"417.040"	""	"160"	""		""	""		""	"L3475"	
"418.290"	""	"220"	""		""	""		""	"L3475"	
"418.306"	""	"220"	""		""	""		""	"L3475"	
"422.108"	""	"650"	""		""	""		""	"L3475"	
"422.746"	""	"3600c"	""		""	""		""	"L3475"	
"424.139"	""	"150"	""		""	""		""	"L3475"	
"425.760"	""	"260c"	""		""	""		""	"L3475"	
"429.117"	""	"120c"	""		""	""		""	"L3475"	
"430.440"	""	"200"	""		""	""		""	"L3475"	
"433.225"	""	"200"	""		""	""		""	"L3475"	
"435.869"	""	"380"	""		""	""		""	"L3475"	
"436.758"	""	"190"	""		""	""		""	"L3475"	
"439.134"	""	"140"	""		""	""		""	"L3475"	
"439.438"	""	"360c,w"	""		""	""		""	"L3475"	
"440.640"	""	"110c,w"	""		""	""		""	"L3475"	
"441.582"	""	"180"	""		""	""		""	"L3475"	
"447.508"	""	"150"	""		""	""		""	"L3475"	
"447.839"	""	"120"	""		""	""		""	"L3475"	
"450.704"	""	"120c"	""		""	""		""	"L3475"	
"451.331"	""	"2600"	""		""	""		""	"L3475"	
"451.664"	""	"260"	""		""	""		""	"L3475"	
"452.273"	""	"500"	""		""	""		""	"L3475"	
"452.388"	""	"120"	""		""	""		""	"L3475"	
"452.995"	""	"120"	""		""	""		""	"L3475"	
"454.517"	""	"100"	""		""	""		""	"L3475"	
"458.068"	""	"120"	""		""	""		""	"L3475"	
"460.573"	""	"120"	""		""	""		""	"L3475"	
"462.138"	""	"100"	""		""	""		""	"L3475"	
"479.142"	""	"190c"	""		""	""		""	"L3475"	
"488.914"	""	"2200c,w"	""		""	""		""	"L3475"	
"492.390"	""	"220"	""		""	""		""	"L3475"	
"505.856"	""	"40"	""		""	""		""	"L3475"	
"509.650"	""	"70"	""		""	""		""	"L3475"	
"512.032"	""	"20"	""		""	""		""	"L3475"	
"516.165"	""	"25"	""		""	""		""	"L3475"	
"517.889"	""	"40c"	""		""	""		""	"L3475"	
"518.174"	""	"20"	""		""	""		""	"L3475"	
"523.431"	""	"35"	""		""	""		""	"L3475"	
"524.886"	""	"50"	""		""	""		""	"L3475"	
"527.095"	""	"1300"	""		""	""		""	"L3475"	
"527.556"	""	"1600c,w"	""		""	""		""	"L3475"	
"527.824"	""	"100"	""		""	""		""	"L3475"	
"530.556"	""	"30"	""		""	""		""	"L3475"	
"531.728"	""	"20"	""		""	""		""	"L3475"	
"532.128"	""	"35"	""		""	""		""	"L3475"	
"532.746"	""	"50"	""		""	""		""	"L3475"	
"533.190"	""	"20"	""		""	""		""	"L3475"	
"533.276"	""	"20"	""		""	""		""	"L3475"	
"533.385"	""	"20"	""		""	""		""	"L3475"	
"536.948"	""	"35"	""		""	""		""	"L3475"	
"536.980"	""	"50c"	""		""	""		""	"L3475"	
"537.710"	""	"100c"	""		""	""		""	"L3475"	
"543.190"	""	"25"	""		""	""		""	"L3475"	
"543.703"	""	"14"	""		""	""		""	"L3475"	
"544.792"	""	"14"	""		""	""		""	"L3475"	
"546.064"	""	"25"	""		""	""		""	"L3475"	
"552.005"	""	"14w"	""		""	""		""	"L3475"	
"552.110"	""	"25"	""		""	""		""	"L3475"	
"553.268"	""	"50c"	""		""	""		""	"L3475"	
"556.324"	""	"50c"	""		""	""		""	"L3475"	
"557.347"	""	"25"	""		""	""		""	"L3475"	
"558.472"	""	"25"	""		""	""		""	"L3475"	
"560.721"	""	"10w"	""		""	""		""	"L3475"	
"561.227"	""	"12w"	""		""	""		""	"L3475"	
"566.788"	""	"100"	""		""	""		""	"L3475"	
"571.143"	""	"25"	""		""	""		""	"L3475"	
"571.695"	""	"18"	""		""	""		""	"L3475"	
"575.293"	""	"110c"	""		""	""		""	"L3475"	
"577.683"	""	"110c,w"	""		""	""		""	"L3475"	
"579.160"	""	"18"	""		""	""		""	"L3475"	
"581.592"	""	"10c"	""		""	""		""	"L3475"	
"583.431"	""	"550"	""		""	""		""	"L3475"	
"591.986"	""	"10"	""		""	""		""	"L3475"	
"594.324"	""	"60"	""		""	""		""	"L3475"	
"595.021"	""	"10"	""		""	""		""	"L3475"	
"596.977"	""	"18w"	""		""	""		""	"L3475"	
"598.999"	""	"10"	""		""	""		""	"L3475"	
"599.573"	""	"18w"	""		""	""		""	"L3475"	
"611.422"	""	"30"	""		""	""		""	"L3475"	
"614.581"	""	"35c"	""		""	""		""	"L3475"	
"614.682"	""	"50"	""		""	""		""	"L3475"	
"620.324"	""	"18"	""		""	""		""	"L3475"	
"621.797"	""	"25"	""		""	""		""	"L3475"	
"622.942"	""	"30c,w"	""		""	""		""	"L3475"	
"624.324"	""	"35c,w"	""		""	""		""	"L3475"	
"626.002"	""	"35bl"	""		""	""		""	"L3475"	
"626.024"	""	""	""		""	""		""	"L3475"	
"627.137"	""	"18c"	""		""	""		""	"L3475"	
"627.876"	""	"18"	""		""	""		""	"L3475"	
"628.641"	""	"10"	""		""	""		""	"L3475"	
"630.342"	""	"10"	""		""	""		""	"L3475"	
"630.770"	""	"200"	""		""	""		""	"L3475"	
"632.190"	""	"200"	""		""	""		""	"L3475"	
"635.075"	""	"80bl"	""		""	""		""	"L3475"	
"638.294"	""	"16w"	""		""	""		""	"L3475"	
"641.147"	""	"14"	""		""	""		""	"L3475"	
"651.147"	""	"50"	""		""	""		""	"L3475"	
"651.525"	""	"14"	""		""	""		""	"L3475"	
