obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.592"	"380.5920"	"760"	""		"13520.69"	"39788.09"	"4d8.(1D).5s"	"b 2D"	"5/2"	""	"8*"	"5/2"		""	"L3475"	
"380.676"	"380.6759"	"1300"	"6.2e+06"	C+	"2598.03"	"28859.64"	"4d8.(3F).5s"	"a 4F"	"5/2"	"4d8.(3F).5p"	"z 4D*"	"5/2"		"T5181"	"L3475"	
"380.950"	"380.9498"	"45"	""		"11968.23"	"38210.96"	"4d8.(3P).5s"	"a 2P"	"3/2"	"4d8.(3P).5p"	"z 2P*"	"3/2"		""	"L3475"	
"381.245"	"381.2462"	"95"	""		"14382.19"	"40604.52"	"4d8.(1D).5s"	"b 2D"	"3/2"	"4d8.(3P).5p"	"z 2S*"	"1/2"		""	"L3475"	
"381.501"	"381.5021"	"470"	""		"16120.72"	"42325.46"	"4d8.(1G).5s"	"a 2G"	"7/2"	""	"13*"	"9/2"		""	"L3475"	
"381.647"	"381.6474"	"760"	""		"14382.19"	"40576.95"	"4d8.(1D).5s"	"b 2D"	"3/2"	"4d8.(1D).5p"	"y 2F*"	"5/2"		""	"L3475"	
"381.819"	"381.8186"	"1300"	"5.8e+07"	B+	"9221.22"	"35404.24"	"4d8.(3P).5s"	"a 4P"	"5/2"	"4d8.(3P).5p"	"z 4P*"	"3/2"		"T5181"	"L3475"	
"382.226"	"382.2260"	"3800"	"8.6e+07"	B	"7791.23"	"33946.34"	"4d8.(3F).5s"	"a 2F"	"5/2"	"4d8.(3F).5p"	"z 2F*"	"5/2"		"T5181"	"L3475"	
"382.848"	"382.8478"	"2300"	"6.2e+07"	B	"9221.22"	"35333.85"	"4d8.(3P).5s"	"a 4P"	"5/2"	"4d8.(3P).5p"	"z 4P*"	"5/2"		"T5181"	"L3475"	
"383.389"	"383.3884"	"2000"	"5.7e+07"	B	"7791.23"	"33867.04"	"4d8.(3F).5s"	"a 2F"	"5/2"	"4d8.(3F).5p"	"z 2D*"	"3/2"		"T5181"	"L3475"	
"383.475"	"383.4755"	"45"	""		"11968.23"	"38038.12"	"4d8.(3P).5s"	"a 2P"	"3/2"	"4d8.(3P).5p"	"y 4D*"	"3/2"		""	"L3475"	
"385.652"	"385.6513"	"5900"	"5.9e+07"	C+	"5690.97"	"31613.78"	"4d8.(3F).5s"	"a 2F"	"7/2"	"4d8.(3F).5p"	"z 2G*"	"9/2"		"T5181"	"L3475"	
"387.001"	"387.0018"	"490"	""		"16120.72"	"41953.07"	"4d8.(1G).5s"	"a 2G"	"7/2"	""	"12*"	"9/2"		""	"L3475"	
"387.239"	"387.2390"	"70"	"6.7e+05"	D+	"5657.97"	"31474.50"	"4d9"	"a 2D"	"3/2"	"4d8.(3F).5p"	"z 4F*"	"5/2"		"T5181"	"L3475"	
"387.734"	"387.7346"	"380"	"3.7e+06"	C+	"5690.97"	"31474.50"	"4d8.(3F).5s"	"a 2F"	"7/2"	"4d8.(3F).5p"	"z 4F*"	"5/2"		"T5181"	"L3475"	
"388.834"	"388.8331"	"70"	""		"13520.69"	"39231.38"	"4d8.(1D).5s"	"b 2D"	"5/2"	"4d8.(1D).5p"	"y 2P*"	"3/2"		""	"L3475"	
"390.422"	"390.4218"	"29"	""		"13520.69"	"39126.76"	"4d8.(1D).5s"	"b 2D"	"5/2"	""	"6*"	"5/2"		""	"L3475"	
"391.283"	"391.2820"	"23"	""		"3309.86"	"28859.64"	"4d9"	"a 2D"	"5/2"	"4d8.(3F).5p"	"z 4D*"	"5/2"		""	"L3475"	
"391.351"	"391.3508"	"120"	"2.5e+05"	D	"1529.97"	"27075.26"	"4d8.(3F).5s"	"a 4F"	"7/2"	"4d8.(3F).5p"	"z 4D*"	"7/2"		"T5181"	"L3475"	
"392.219"	"392.2195"	"240"	"6.2e+06"	C+	"5657.97"	"31146.68"	"4d9"	"a 2D"	"3/2"	"4d8.(3F).5p"	"z 4D*"	"1/2"		"T5181"	"L3475"	
"393.423"	"393.4224"	"2000"	"1.57e+07"	C+	"5690.97"	"31101.75"	"4d8.(3F).5s"	"a 2F"	"7/2"	"4d8.(3F).5p"	"z 4G*"	"7/2"		"T5181"	"L3475"	
"393.498"	"393.4980"	"45"	""		"14382.19"	"39788.09"	"4d8.(1D).5s"	"b 2D"	"3/2"	""	"8*"	"5/2"		""	"L3475"	
"393.584"	"393.5833"	"50"	""		"11968.23"	"37368.62"	"4d8.(3P).5s"	"a 2P"	"3/2"	"4d8.(3P).5p"	"z 2P*"	"1/2"		""	"L3475"	
"394.272"	"394.2710"	"590"	"7.2e+07"	B+	"10313.41"	"35669.50"	"4d8.(3P).5s"	"a 4P"	"3/2"	"4d8.(3P).5p"	"z 4P*"	"1/2"		"T5181"	"L3475"	
"395.824"	"395.8233"	"95"	""		"13974.73"	"39231.38"	"4d8.(3P).5s"	"a 2P"	"1/2"	"4d8.(1D).5p"	"y 2P*"	"3/2"		""	"L3475"	
"395.886"	"395.8856"	"3800"	"5.4e+07"	B	"7791.23"	"33043.91"	"4d8.(3F).5s"	"a 2F"	"5/2"	"4d8.(3F).5p"	"z 2G*"	"7/2"		"T5181"	"L3475"	
"397.531"	"397.5313"	"380"	""		"13520.69"	"38668.83"	"4d8.(1D).5s"	"b 2D"	"5/2"	""	"4*"	"3/2"		""	"L3475"	
"398.440"	"398.4393"	"240"	"1.09e+07"	B+	"10313.41"	"35404.24"	"4d8.(3P).5s"	"a 4P"	"3/2"	"4d8.(3P).5p"	"z 4P*"	"3/2"		"T5181"	"L3475"	
"399.561"	"399.5602"	"240"	"4.6e+06"	C+	"10313.41"	"35333.85"	"4d8.(3P).5s"	"a 4P"	"3/2"	"4d8.(3P).5p"	"z 4P*"	"5/2"		"T5181"	"L3475"	
"399.615"	"399.6149"	"380"	""		"11968.23"	"36985.25"	"4d8.(3P).5s"	"a 2P"	"3/2"	"4d8.(3P).5p"	"y 4D*"	"5/2"		""	"L3475"	
"402.314"	"402.3139"	"120"	""		"14382.19"	"39231.38"	"4d8.(1D).5s"	"b 2D"	"3/2"	"4d8.(1D).5p"	"y 2P*"	"3/2"		""	"L3475"	
"404.841"	"404.8407"	"60"	""		"13974.73"	"38668.83"	"4d8.(3P).5s"	"a 2P"	"1/2"	""	"4*"	"3/2"		""	"L3475"	
"404.904"	"404.9035"	"23"	""		"13520.69"	"38210.96"	"4d8.(1D).5s"	"b 2D"	"5/2"	"4d8.(3P).5p"	"z 2P*"	"3/2"		""	"L3475"	
"405.344"	"405.3438"	"40"	"2.8e+06"	C+	"11006.05"	"35669.50"	"4d8.(3P).5s"	"a 4P"	"1/2"	"4d8.(3P).5p"	"z 4P*"	"1/2"		"T5181"	"L3475"	
"405.634"	"405.6337"	"23"	"9.5e+05"	C	"9221.22"	"33867.04"	"4d8.(3P).5s"	"a 4P"	"5/2"	"4d8.(3F).5p"	"z 2D*"	"3/2"		"T5181"	"L3475"	
"407.757"	"407.7580"	"70"	""		"13520.69"	"38038.12"	"4d8.(1D).5s"	"b 2D"	"5/2"	"4d8.(3P).5p"	"y 4D*"	"3/2"		""	"L3475"	
"408.278"	"408.2780"	"560"	"1.43e+07"	C+	"7791.23"	"32277.43"	"4d8.(3F).5s"	"a 2F"	"5/2"	"4d8.(3F).5p"	"z 4F*"	"3/2"		"T5181"	"L3475"	
"408.428"	"408.4277"	"19"	""		"2598.03"	"27075.26"	"4d8.(3F).5s"	"a 4F"	"5/2"	"4d8.(3F).5p"	"z 4D*"	"7/2"		""	"L3475"	
"408.779"	"408.7784"	"45"	""		"16120.72"	"40576.95"	"4d8.(1G).5s"	"a 2G"	"7/2"	"4d8.(1D).5p"	"y 2F*"	"5/2"		""	"L3475"	
"408.850"	"408.8476"	"60"	""		"7791.23"	"32243.32"	"4d8.(3F).5s"	"a 2F"	"5/2"	"4d8.(3F).5p"	"z 4G*"	"5/2"		""	"L3475"	
"409.752"	"409.7508"	"140"	"6.9e+06"	B	"11006.05"	"35404.24"	"4d8.(3P).5s"	"a 4P"	"1/2"	"4d8.(3P).5p"	"z 4P*"	"3/2"		"T5181"	"L3475"	
"410.749"	"410.7492"	"45"	""		"14787.87"	"39126.76"	"4d7.5s2"	"b 4F"	"7/2"	""	"6*"	"5/2"		""	"L3475"	
"411.633"	"411.6329"	"70"	""		"14382.19"	"38668.83"	"4d8.(1D).5s"	"b 2D"	"3/2"	""	"4*"	"3/2"		""	"L3475"	
"411.968"	"411.9679"	"120"	""		"16017.94"	"40284.83"	"4d8.(1G).5s"	"a 2G"	"9/2"	"4d8.(1D).5p"	"y 2F*"	"7/2"		""	"L3475"	
"412.168"	"412.1683"	"1100"	"9.8e+06"	C+	"7791.23"	"32046.32"	"4d8.(3F).5s"	"a 2F"	"5/2"	"4d8.(3F).5p"	"z 2D*"	"5/2"		"T5181"	"L3475"	
"412.887"	"412.8886"	"1500"	"1.72e+07"	B	"7791.23"	"32004.01"	"4d8.(3F).5s"	"a 2F"	"5/2"	"4d8.(3F).5p"	"z 2F*"	"7/2"		"T5181"	"L3475"	
"413.527"	"413.5275"	"2100"	"1.01e+07"	C+	"5690.97"	"29866.34"	"4d8.(3F).5s"	"a 2F"	"7/2"	"4d8.(3F).5p"	"z 4F*"	"7/2"		"T5181"	"L3475"	
"415.437"	"415.4343"	"240"	""		"12723.07"	"36787.48"	"4d7.5s2"	"b 4F"	"9/2"	"4d8.(3P).5p"	"y 4D*"	"7/2"		""	"L3475"	
"419.650"	"419.6496"	"330"	"3.8e+06"	C+	"9221.22"	"33043.91"	"4d8.(3P).5s"	"a 4P"	"5/2"	"4d8.(3F).5p"	"z 2G*"	"7/2"		"T5181"	"L3475"	
"420.662"	"420.6613"	"70"	""		"3309.86"	"27075.26"	"4d9"	"a 2D"	"5/2"	"4d8.(3F).5p"	"z 4D*"	"7/2"		""	"L3475"	
"421.114"	"421.1133"	"3300"	"1.62e+07"	C+	"5690.97"	"29430.86"	"4d8.(3F).5s"	"a 2F"	"7/2"	"4d8.(3F).5p"	"z 4F*"	"9/2"		"T5181"	"L3475"	
"423.020"	"423.0193"	"29"	""		"10313.41"	"33946.34"	"4d8.(3P).5s"	"a 4P"	"3/2"	"4d8.(3F).5p"	"z 2F*"	"5/2"		""	"L3475"	
"424.444"	"424.4435"	"40"	"6.5e+05"	C	"10313.41"	"33867.04"	"4d8.(3P).5s"	"a 4P"	"3/2"	"4d8.(3F).5p"	"z 2D*"	"3/2"		"T5181"	"L3475"	
"427.343"	"427.3418"	"60"	""		"13974.73"	"37368.62"	"4d8.(3P).5s"	"a 2P"	"1/2"	"4d8.(3P).5p"	"z 2P*"	"1/2"		""	"L3475"	
"427.860"	"427.8588"	"60"	"9.2e+05"	C+	"11968.23"	"35333.85"	"4d8.(3P).5s"	"a 2P"	"3/2"	"4d8.(3P).5p"	"z 4P*"	"5/2"		"T5181"	"L3475"	
