obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"396.200"	"396.19679"	"52"	""		"52623.605"	"77856.448"	"3s2.3p3.(4S*).4s"	"5S*"	"2"	"3s2.3p3.(4S*).6p"	"5P"	"3"		""	"L7427"	
"396.249"	"396.24748"	"52"	""		"52623.605"	"77853.220"	"3s2.3p3.(4S*).4s"	"5S*"	"2"	"3s2.3p3.(4S*).6p"	"5P"	"2"		""	"L7427"	
""	"403.2276"	""	"1.08e+06"	E	"55330.775"	"80123.66"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).7p"	"3P"	"0"		"T8595,T7952"	""	
""	"403.2878"	""	"1.07e+06"	D	"55330.775"	"80119.96"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).7p"	"3P"	"1"		"T8595,T7952"	""	
"403.401"	"403.4047"	"110"	"1.06e+06"	D	"55330.775"	"80112.775"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).7p"	"3P"	"2"		"T8595,T7952"	"L7427"	
"415.037"	"415.0423"	"160"	"1.44e+06"	E	"55330.775"	"79417.91"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(2D*).4p"	"3P"	"0"		"T8595,T7952"	"L7444"	
"415.26040"	"415.26052"	"340"	"1.48e+06"	D	"55330.775"	"79405.255"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(2D*).4p"	"3P"	"1"		"T8595,T7952"	"L5666"	
"415.76990"	"415.76960"	"230"	"1.59e+06"	D	"55330.775"	"79375.778"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(2D*).4p"	"3P"	"2"		"T8595,T7952"	"L5666"	
""	"450.73113"	""	"4.87e-03"	D	"0.0000"	"22179.9542"	"3s2.3p4"	"3P"	"2"	"3s2.3p4"	"1S"	"0"	E2	"T8595,T7942c84"	""	
"458.92606"	"458.92608"	"10"	"2.98e-01"	D	"396.05648"	"22179.9542"	"3s2.3p4"	"3P"	"1"	"3s2.3p4"	"1S"	"0"	M1	"T8595,T7942c84"	"L4347"	
"462.528"	"462.5282"	""	""		"64888.9325"	"86503.18"	"3s2.3p3.(4S*).4p"	"3P"	"1"	"3s2.3p3.(2D*).3d"	"3P*"	"2"		""	"L3890"	
"462.606"	"462.6057"	""	""		"64892.5514"	"86503.18"	"3s2.3p3.(4S*).4p"	"3P"	"2"	"3s2.3p3.(2D*).3d"	"3P*"	"2"		""	"L3890"	
"462.927"	"462.9275"	""	""		"64888.9325"	"86484.54"	"3s2.3p3.(4S*).4p"	"3P"	"1"	"3s2.3p3.(2D*).3d"	"3P*"	"1"		""	"L3890"	
"462.980"	"462.9794"	""	""		"64891.3536"	"86484.54"	"3s2.3p3.(4S*).4p"	"3P"	"0"	"3s2.3p3.(2D*).3d"	"3P*"	"1"		""	"L3890"	
"463.005"	"463.0051"	""	""		"64892.5514"	"86484.54"	"3s2.3p3.(4S*).4p"	"3P"	"2"	"3s2.3p3.(2D*).3d"	"3P*"	"1"		""	"L3890"	
"463.172"	"463.172"	""	""		"64888.9325"	"86473.14"	"3s2.3p3.(4S*).4p"	"3P"	"1"	"3s2.3p3.(2D*).3d"	"3P*"	"0"		""	"L3890"	
"469.413"	"469.41084"	"770"	"8.37e+05"	D	"52623.605"	"73920.945"	"3s2.3p3.(4S*).4s"	"5S*"	"2"	"3s2.3p3.(4S*).5p"	"5P"	"3"		"T8595,T7952"	"L7427"	
"469.545"	"469.54390"	"490"	"8.14e+05"	D	"52623.605"	"73914.910"	"3s2.3p3.(4S*).4s"	"5S*"	"2"	"3s2.3p3.(4S*).5p"	"5P"	"2"		"T8595,T7952"	"L7427"	
"469.625"	"469.62489"	"320"	"8.01e+05"	D	"52623.605"	"73911.238"	"3s2.3p3.(4S*).4s"	"5S*"	"2"	"3s2.3p3.(4S*).5p"	"5P"	"1"		"T8595,T7952"	"L7427"	
"527.810"	"527.81250"	"99"	"4.33e+05"	E	"55330.775"	"74271.626"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).5p"	"3P"	"0"		"T8595,T7952"	"L7427"	
"527.870"	"527.86966"	"130"	"4.28e+05"	E	"55330.775"	"74269.575"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).5p"	"3P"	"1"		"T8595,T7952"	"L7427"	
"527.899"	"527.89885"	"200"	"4.24e+05"	D	"55330.775"	"74268.528"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).5p"	"3P"	"2"		"T8595,T7952"	"L7427"	
""	"529.568"	""	"8.89e+05"	D	"63475.027"	"[82353.1]"	"3s2.3p3.(4S*).4p"	"5P"	"3"	"3s2.3p3.(4S*).10d"	"5D*"	"4"		"T8595,T7952"	""	
"537.258"	"537.258"	"180"	"4.33e+05"	E	"63446.038"	"82053.90"	"3s2.3p3.(4S*).4p"	"5P"	"1"	"3s2.3p3.(4S*).9d"	"5D*"	"2"		"T10762,T7952"	"L7427"	
"537.583"	"537.583"	"220"	"8.23e+05"	D+	"63457.1166"	"82053.72"	"3s2.3p3.(4S*).4p"	"5P"	"2"	"3s2.3p3.(4S*).9d"	"5D*"	"3"		"T10762,T7952"	"L7427"	
