obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.0543"	"380.0551"	"1"	""		"16141.0012"	"42445.509"	"3d.4s.(3D).4p"	"4D*"	"5/2"	"3d.4s.(1D).4d"	"2D"	"5/2"		""	"L4189c12"	
"380.8533"	"380.8538"	"1"	""		"15672.5595"	"41921.904"	"3d.4s.(3D).4p"	"4F*"	"3/2"	"3d2.(3F).5s"	"4F"	"3/2"		""	"L4189c12"	
"381.1729"	"381.17202"	"3*"	""		"17025.127"	"43252.557"	"3d2.(1D).4s"	"2D"	"3/2"	"3d.4s.(1D).5p"	"2D*"	"5/2"		""	"L4189c12"	
"381.1729"	"381.17314"	"3*"	""		"14926.061"	"41153.414"	"3d2.(3F).4s"	"2F"	"5/2"	"3d2.(3P).4p"	"2D*"	"3/2"		""	"L4189c12"	
"381.2293"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"381.5053"	"381.50674"	"1"	""		"15756.5295"	"41960.949"	"3d.4s.(3D).4p"	"4F*"	"5/2"	"3d2.(3F).5s"	"4F"	"5/2"		""	"L4189c12"	
"381.7815"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"381.9192"	"381.91945"	"2"	""		"16022.7219"	"42198.825"	"3d.4s.(1D).4p"	"2D*"	"5/2"	"3d.4s.(1D).4d"	"2F"	"7/2"		""	"L4189c12"	
"381.9368"	"381.9360"	"2"	""		"18515.665"	"44690.637"	"3d.4s.(3D).4p"	"4P*"	"3/2"	"3d.(2D).4p2.(3P)"	"2P"	"1/2"		""	"L4189c12"	
"382.2402"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"382.2489"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"382.4926"	""	"1"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"382.5364"	"382.53697"	"3"	""		"15881.7082"	"42015.557"	"3d.4s.(3D).4p"	"4F*"	"7/2"	"3d2.(3F).5s"	"4F"	"7/2"		""	"L4189c12"	
"382.7307"	"382.73094"	"3"	""		"15041.902"	"41162.506"	"3d2.(3F).4s"	"2F"	"7/2"	"3d2.(3P).4p"	"2D*"	"5/2"		""	"L4189c12"	
"383.3370"	"383.3373"	"3*"	""		"18515.665"	"44594.955"	"3d.4s.(3D).4p"	"4P*"	"3/2"	"3d.(2D).4p2.(3P)"	"2P"	"3/2"		""	"L4189c12"	
"383.3370"	"383.33799"	"3*"	""		"15881.7082"	"41960.949"	"3d.4s.(3D).4p"	"4F*"	"7/2"	"3d2.(3F).5s"	"4F"	"5/2"		""	"L4189c12"	
"383.4397"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"383.6418"	"383.6419"	"5"	""		"16026.5528"	"42085.132"	"3d.4s.(3D).4p"	"4F*"	"9/2"	"3d2.(3F).5s"	"4F"	"9/2"		""	"L4189c12"	
"383.6518"	"383.65307"	"3"	""		"16141.0012"	"42198.825"	"3d.4s.(3D).4p"	"4D*"	"5/2"	"3d.4s.(1D).4d"	"2F"	"7/2"		""	"L4189c12"	
"383.7270"	"383.72767"	"4"	""		"16096.8834"	"42149.641"	"3d.4s.(1D).4p"	"2D*"	"3/2"	"3d.4s.(1D).4d"	"2F"	"5/2"		""	"L4189c12"	
"384.4866"	""	"6"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"384.5409"	"384.5436"	"3"	""		"17255.076"	"43252.557"	"3d2.(3P).4s"	"4P"	"3/2"	"3d.4s.(1D).5p"	"2D*"	"5/2"		""	"L4189c12"	
"384.6688"	"384.66901"	"2"	""		"16026.5528"	"42015.557"	"3d.4s.(3D).4p"	"4F*"	"9/2"	"3d2.(3F).5s"	"4F"	"7/2"		""	"L4189c12"	
"384.8075"	"384.8081"	"4"	""		"18711.029"	"44690.637"	"4s2.4p"	"2P*"	"1/2"	"3d.(2D).4p2.(3P)"	"2P"	"1/2"		""	"L4189c12"	
"385.1814"	""	"3"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"385.4081"	"385.40805"	"5"	""		"16021.7788"	"41960.949"	"3d.4s.(3D).4p"	"4D*"	"3/2"	"3d2.(3F).5s"	"4F"	"5/2"		""	"L4189c12"	
"385.5060"	""	"1"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"385.8101"	"385.8098"	"5"	""		"16009.7432"	"41921.904"	"3d.4s.(3D).4p"	"4D*"	"1/2"	"3d2.(3F).5s"	"4F"	"3/2"		""	"L4189c12"	
"385.9374"	"385.9363"	"5bl"	""		"21085.829"	"46989.493"	"3d.4s.(1D).4p"	"2F*"	"7/2"	""	"2D"	"5/2"		""	"L4189c12"	
"385.9911"	"385.9891"	"4"	""		"16021.7788"	"41921.904"	"3d.4s.(3D).4p"	"4D*"	"3/2"	"3d2.(3F).5s"	"4F"	"3/2"		""	"L4189c12"	
"386.2306"	"386.2306"	"3"	""		"18711.029"	"44594.955"	"4s2.4p"	"2P*"	"1/2"	"3d.(2D).4p2.(3P)"	"2P"	"3/2"		""	"L4189c12"	
"386.2631"	"386.2622"	"4"	""		"21032.732"	"46914.547"	"3d.4s.(1D).4p"	"2F*"	"5/2"	""	"2D"	"3/2"		""	"L4189c12"	
"386.3725"	"386.37052"	"6*"	""		"16141.0012"	"42015.557"	"3d.4s.(3D).4p"	"4D*"	"5/2"	"3d2.(3F).5s"	"4F"	"7/2"		""	"L4189c12"	
"386.3725"	"386.3741"	"6*"	""		"16210.8140"	"42085.132"	"3d.4s.(3D).4p"	"4D*"	"7/2"	"3d2.(3F).5s"	"4F"	"9/2"		""	"L4189c12"	
"386.5271"	"386.52723"	"4"	""		"16096.8834"	"41960.949"	"3d.4s.(1D).4p"	"2D*"	"3/2"	"3d2.(3F).5s"	"4F"	"5/2"		""	"L4189c12"	
"386.9637"	"386.9636"	"3"	""		"18855.734"	"44690.637"	"4s2.4p"	"2P*"	"3/2"	"3d.(2D).4p2.(3P)"	"2P"	"1/2"		""	"L4189c12"	
"387.1880"	"387.18770"	"4"	""		"16141.0012"	"41960.949"	"3d.4s.(3D).4p"	"4D*"	"5/2"	"3d2.(3F).5s"	"4F"	"5/2"		""	"L4189c12"	
"387.4157"	"387.41584"	"4"	""		"16210.8140"	"42015.557"	"3d.4s.(3D).4p"	"4D*"	"7/2"	"3d2.(3F).5s"	"4F"	"7/2"		""	"L4189c12"	
"387.4334"	""	"5"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"387.5718"	"387.5722"	"4"	""		"17025.127"	"42819.458"	"3d2.(1D).4s"	"2D"	"3/2"	"3d.4s.(1D).5p"	"2P*"	"1/2"		""	"L4189c12"	
"387.8253"	""	"1"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"387.8295"	""	"1"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"387.9737"	"387.9736"	"5"	""		"17012.753"	"42780.397"	"3d2.(1D).4s"	"2D"	"5/2"	"3d.4s.(1D).5p"	"2P*"	"3/2"		""	"L4189c12"	
"388.3794"	""	"2"	""		""	""	""	""	""	""	""	""		""	"L4189c12"	
"388.4022"	"388.4021"	"5"	""		"18855.734"	"44594.955"	"4s2.4p"	"2P*"	"3/2"	"3d.(2D).4p2.(3P)"	"2P"	"3/2"		""	"L4189c12"	
