obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"432.87"	""	"120"	""		""	""		""	"L3316"	
"433.03"	""	"100"	""		""	""		""	"L3316"	
"473.08"	""	"500"	""		""	""		""	"L3316"	
"473.90"	""	"400"	""		""	""		""	"L3316"	
"474.22"	""	"300"	""		""	""		""	"L3316"	
"536.55"	""	"100"	""		""	""		""	"L3316"	
"536.99"	""	"120"	""		""	""		""	"L3316"	
"537.41"	""	"110"	""		""	""		""	"L3316"	
"632.56"	""	"200"	""		""	""		""	"L3316"	
"683.13"	""	"150"	""		""	""		""	"L3316"	
"699.0690"	""	"120"	""		""	""		""	"L1791"	
"699.1792"	""	"100"	""		""	""		""	"L1791"	
"701.0809"	""	"200"	""		""	""		""	"L1791"	
"701.3875"	""	"150"	""		""	""		""	"L1791"	
"706.2065"	""	"300"	""		""	""		""	"L1791"	
"757.51"	""	"200"	""		""	""		""	"L3316"	
"758.34"	""	"250"	""		""	""		""	"L3316"	
"759.22"	""	"150"	""		""	""		""	"L3316"	
"760.68"	""	"120"	""		""	""		""	"L3316"	
