obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"383.448"	""	"560"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"385.330"	""	"530"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"385.456"	""	"480"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"385.874"	""	"400"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"395.189"	""	"470"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"397.466"	""	"620"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"399.002"	"399.0013+"	""	"4.3e+07"		"3125.46"	"28180.95"	"4f6.6s2"	"7F"	"5"	"4f5.(6F*).5d.6s2"	"7F*"	"4"		"T7227"	"L3475"	
"418.333"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"428.221"	""	"710"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"428.283"	""	"470"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"428.350"	""	"240"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"429.674"	"429.674+"	"1600"	"1.00e+08"		"4020.66"	"27287.58"	"4f6.6s2"	"7F"	"6"	"4f6.(7F).6s.6p.(1P*)"	"7G*"	"7"		"T7227"	"L3475"	
"431.285"	""	"240"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"431.953"	""	"470"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"432.446"	""	"240"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"433.002"	""	"440"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"433.614"	"433.615+"	"880"	""		"3125.46"	"26180.92"	"4f6.6s2"	"7F"	"5"	""	"*"	"6"		""	"L3475"	
"436.291"	"436.2905+"	"440"	"4.9e+07"		"0.00"	"22914.07"	"4f6.6s2"	"7F"	"0"	"4f6.(7F).6s.6p.(1P*)"	"7G*"	"1"		"T7227"	"L3475"	
"438.042"	""	"530"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"439.335"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"439.734"	""	"290"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"440.117"	""	"410"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"440.313"	""	""	""		""	""	""	""	""	""	""	""		""	"L3475"	
"441.158"	""	"290"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"441.933"	""	"470"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"442.966"	""	"470"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"444.181"	""	"530"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"444.228"	""	"440"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"444.515"	""	"710"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"445.295"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"445.929"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"447.089"	"447.089+"	"810"	""		"2273.09"	"24633.75"	"4f6.6s2"	"7F"	"4"	"4f5.(6F*).5d.6s2"	"*"	"4"		""	"L3475"	
"449.911"	""	"370"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"450.338"	""	"240"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"451.133"	""	"120"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"452.318"	""	""	""		""	""	""	""	""	""	""	""		""	"L3475"	
"453.380"	""	"290"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"458.158"	""	"290"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"458.173"	""	"440"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"459.674"	""	"240"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"464.540"	""	"290"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"464.949"	""	"380"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"466.356"	""	"290"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"467.075"	""	"470bl"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"467.083"	""	""	""		""	""	""	""	""	""	""	""		""	"L3475"	
"468.155"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"468.873"	""	"370"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"471.610"	"471.610+"	"730"	""		"3125.46"	"24323.51"	"4f6.6s2"	"7F"	"5"	"4f6.(7F).6s.6p.(1P*)"	"7D*"	"5"		""	"L3475"	
"471.707"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"472.842"	"472.843+"	"770"	"4.9e+07"		"1489.55"	"22632.30"	"4f6.6s2"	"7F"	"3"	"4f6.(7F).6s.6p.(1P*)"	"7D*"	"3"		"T7227"	"L3475"	
"475.072"	""	"150"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"476.027"	"476.028+"	"730"	"1.3e+07"		"811.92"	"21813.22"	"4f6.6s2"	"7F"	"2"	"4f6.(7F).6s.6p.(1P*)"	"7D*"	"2"		"T7227"	"L3475"	
"477.020"	""	"110"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"478.310"	""	"580"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"478.586"	""	"350"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"478.996"	""	"160"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"484.170"	"484.170+"	"970"	"8.7e+07"		"4020.66"	"24668.79"	"4f6.6s2"	"7F"	"6"	"4f6.(7F).6s.6p.(1P*)"	"*"	"5"		"T7227"	"L3475"	
"484.832"	""	"270"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"488.377"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"488.397"	"488.398+"	"730"	""		"3125.46"	"23594.84"	"4f6.6s2"	"7F"	"5"	"4f6.(7F).6s.6p.(1P*)"	"7D*"	"4"		""	"L3475"	
"490.497"	""	"170"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"491.040"	""	"630"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"491.899"	""	"430"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"492.404"	""	"110"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"497.598"	""	"170"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"504.428"	""	"400"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"507.120"	""	"540"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"510.039"	""	""	""		""	""	""	""	""	""	""	""		""	"L3475"	
"511.716"	""	"510"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"512.214"	""	"350"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"517.274"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"517.542"	""	"470"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"520.059"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"525.192"	""	"260"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"527.140"	""	"400"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"528.291"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"532.060"	""	"190"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"534.129"	""	"110"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"536.836"	""	"140"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"540.523"	""	"130"	""		""	""	""	""	""	""	""	""		""	"L3475"	
