obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.10108"	"380.10104"	"6900r"	"2.8e+07"	D	"8612.955"	"34914.282"	"5s2.5p2"	"1D"	"2"	"5s2.5p.6s"	"3P*"	"1"		"T4515"	"L3149,L7378"	
"452.47344"	"452.47334"	"2200"	"2.6e+07"	D	"17162.499"	"39257.053"	"5s2.5p2"	"1S"	"0"	"5s2.5p.6s"	"1P*"	"1"		"T4515"	"L3149,L7378"	
"497.9646"	"497.96456"	"18"	""		"34914.282"	"54990.431"	"5s2.5p.6s"	"3P*"	"1"	"5s2.5p.7p"	"1P"	"1"		""	"L3149,L7378"	
"510.45593"	"510.45597"	"17"	""		"34640.758"	"54225.628"	"5s2.5p.6s"	"3P*"	"0"	"5s2.5p.8p"	"3P"	"1"		""	"L3149"	
"516.01536"	"516.01540"	"11"	""		"34914.282"	"54288.152"	"5s2.5p.6s"	"3P*"	"1"	"5s2.5p.8p"	"3P"	"0"		""	"L3149,L7378"	
"517.45348"	"517.45326"	"22"	""		"34914.282"	"54234.318"	"5s2.5p.6s"	"3P*"	"1"	"5s2.5p.8p"	"3D"	"2"		""	"L3149,L7378"	
"563.16758"	"563.16738"	"270"	"2.4e+06"	D	"17162.499"	"34914.282"	"5s2.5p2"	"1S"	"0"	"5s2.5p.6s"	"3P*"	"1"		"T4515"	"L3149,L7378"	
"575.35531"	"575.35535"	"10"	""		"39257.053"	"56632.797"	"5s2.5p.6s"	"1P*"	"1"	"5s2.5p.4f"	"3D"	"2"		""	"L3149,L7378"	
"576.17295"	"576.17284"	"11"	""		"34914.282"	"52265.373"	"5s2.5p.6s"	"3P*"	"1"	"5s2.5p.4f"	"1D"	"2"		""	"L3149,L7378"	
"592.53039"	"592.53038"	"25"	""		"38628.876"	"55500.973"	"5s2.5p.6s"	"3P*"	"2"	"5s2.5p.7p"	"1D"	"2"		""	"L3149,L7378"	
"593.40058"	"593.40061"	"11"	""		"39257.053"	"56104.407"	"5s2.5p.6s"	"1P*"	"1"	"5s2.5p.7p"	"1S"	"0"		""	"L3149"	
"597.02915"	"597.02927"	"45"	"9.6e+06"	D	"38628.876"	"55373.835"	"5s2.5p.6s"	"3P*"	"2"	"5s2.5p.7p"	"3S"	"1"		"T4515"	"L3149,L7378"	
"603.76043"	"603.76046"	"59"	"5.0e+06"	D	"38628.876"	"55187.151"	"5s2.5p.6s"	"3P*"	"2"	"5s2.5p.7p"	"3P"	"2"		"T4515"	"L3149,L7378"	
"605.46738"	"605.46733"	"75"	""		"38628.876"	"55140.472"	"5s2.5p.6s"	"3P*"	"2"	"5s2.5p.7p"	"3D"	"3"		""	"L3149,L7378"	
"606.9117"	"606.91169"	"95"	"4.6e+06"	D	"34640.758"	"51113.059"	"5s2.5p.6s"	"3P*"	"0"	"5s2.5p.7p"	"3P"	"1"		"T4515"	"L3149,L7378"	
"607.3266"	"607.32652"	"45"	"6.3e+06"	D	"34914.282"	"51375.332"	"5s2.5p.6s"	"3P*"	"1"	"5s2.5p.7p"	"3P"	"0"		"T4515"	"L3149,L7378"	
"614.96035"	"614.96038"	"140"	""		"34914.282"	"51170.993"	"5s2.5p.6s"	"3P*"	"1"	"5s2.5p.7p"	"3D"	"2"		""	"L3149,L7378"	
"615.44455"	"615.44463"	"70"	""		"39257.053"	"55500.973"	"5s2.5p.6s"	"1P*"	"1"	"5s2.5p.7p"	"1D"	"2"		""	"L3149,L7378"	
"617.15980"	"617.15977"	"58"	"4.9e+06"	D	"34914.282"	"51113.059"	"5s2.5p.6s"	"3P*"	"1"	"5s2.5p.7p"	"3P"	"1"		"T4515"	"L3149,L7378"	
"620.3509"	"620.35075"	"13"	""		"34640.758"	"50756.212"	"5s2.5p.6s"	"3P*"	"0"	"5s2.5p.7p"	"3D"	"1"		""	"L3149,L7378"	
"631.06169"	"631.06171"	"38"	""		"34914.282"	"50756.212"	"5s2.5p.6s"	"3P*"	"1"	"5s2.5p.7p"	"3D"	"1"		""	"L3149,L7378"	
"635.41577"	"635.41573"	"16"	""		"39257.053"	"54990.431"	"5s2.5p.6s"	"1P*"	"1"	"5s2.5p.7p"	"1P"	"1"		""	"L3149,L7378"	
"692.4356"	"692.4359"	"11"	""		"42342.216"	"56780.004"	"5s2.5p.6p"	"3D"	"1"	"5s2.5p.9d"	"3F*"	"2"		""	"L3149"	
"739.8570"	"739.8568"	"14"	""		"42342.216"	"55854.623"	"5s2.5p.6p"	"3D"	"1"	"5s2.5p.8d"	"3F*"	"2"		""	"L3149,L7378"	
"768.52703"	"768.5272"	"17"	""		"39257.053"	"52265.373"	"5s2.5p.6s"	"1P*"	"1"	"5s2.5p.4f"	"1D"	"2"		""	"L3149,L7378"	
"775.4881"	"775.48803"	"43"	""		"34914.282"	"47805.840"	"5s2.5p.6s"	"3P*"	"1"	"5s2.5p.6p"	"3S"	"1"		""	"L3149,L7378"	
