obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.7424"	"380.7422"	"200"	""		"14504.334"	"40761.372"	"5s.5p"	"3P*"	"1"	"5s.8s"	"3S"	"1"		""	"L7362"	
"381.2020"	"381.2020"	"200"	""		"18319.261"	"44544.63"	"5s.4d"	"3D"	"3"	"5s.9f"	"3F*"	"4"		""	"L4447"	
"381.2044"	"381.2047"	"80"	""		"18319.261"	"44544.44"	"5s.4d"	"3D"	"3"	"5s.9f"	"3F*"	"3"		""	"L4447"	
"384.3325"	"384.3325"	"220"	""		"18159.040"	"44170.80"	"5s.4d"	"3D"	"1"	"5s.8f"	"3F*"	"2"		""	"L4447"	
"385.2144"	"385.2145"	"280"	""		"18218.784"	"44170.99"	"5s.4d"	"3D"	"2"	"5s.8f"	"3F*"	"3"		""	"L4447"	
"386.5451"	"386.5457"	"240"	""		"14898.545"	"40761.372"	"5s.5p"	"3P*"	"2"	"5s.8s"	"3S"	"1"		""	"L7362"	
"386.7067"	"386.7068"	"290"	""		"18319.261"	"44171.32"	"5s.4d"	"3D"	"3"	"5s.8f"	"3F*"	"4"		""	"L4447"	
"391.9566"	"391.9566"	"250"	""		"20149.685"	"45655.49"	"5s.4d"	"1D"	"2"	"5s.20f"	"1F*"	"3"		""	"L4447"	
"392.4184"	"392.4183"	"280"	""		"20149.685"	"45625.48"	"5s.4d"	"1D"	"2"	"5s.19f"	"1F*"	"3"		""	"L4447"	
"392.5872"	"392.5869"	"280"	""		"18159.040"	"43623.896"	"5s.4d"	"3D"	"1"	"5s.7f"	"3F*"	"2"		""	"L4447"	
"392.9607"	"392.9607"	"280"	""		"20149.685"	"45590.32"	"5s.4d"	"1D"	"2"	"5s.18f"	"1F*"	"3"		""	"L4447"	
"393.3523"	"393.3522"	"140"	""		"20149.685"	"45565.00"	"5s.4d"	"1D"	"2"	"5s.20p"	"1P*"	"1"		""	"L4447"	
"393.5056"	"393.5054"	"290"	""		"18218.784"	"43624.205"	"5s.4d"	"3D"	"2"	"5s.7f"	"3F*"	"3"		""	"L4447"	
"393.5099"	"393.5102"	"110"	""		"18218.784"	"43623.896"	"5s.4d"	"3D"	"2"	"5s.7f"	"3F*"	"2"		""	"L4447"	
"393.6037"	"393.6037"	"260"	""		"20149.685"	"45548.76"	"5s.4d"	"1D"	"2"	"5s.17f"	"1F*"	"3"		""	"L4447"	
"394.0711"	"394.0710"	"170"	""		"20149.685"	"45518.64"	"5s.4d"	"1D"	"2"	"5s.19p"	"1P*"	"1"		""	"L4447"	
"394.0800"	"394.0808"	"500"	""		"14317.507"	"39685.830"	"5s.5p"	"3P*"	"0"	"5s.6d"	"3D"	"1"		""	"L7362"	
"394.3747"	"394.3746"	"230"	""		"20149.685"	"45499.11"	"5s.4d"	"1D"	"2"	"5s.16f"	"1F*"	"3"		""	"L4447"	
"394.9374"	"394.9369"	"150"	""		"20149.685"	"45463.02"	"5s.4d"	"1D"	"2"	"5s.18p"	"1P*"	"1"		""	"L4447"	
"395.0636"	"395.06361"	"210"	""		"18319.261"	"43624.479"	"5s.4d"	"3D"	"3"	"5s.7f"	"3F*"	"4"		""	"L7362"	
"395.0670"	"395.0679"	"150"	""		"18319.261"	"43624.205"	"5s.4d"	"3D"	"3"	"5s.7f"	"3F*"	"3"		""	"L4447"	
"395.3095"	"395.3095"	"240"	""		"20149.685"	"45439.16"	"5s.4d"	"1D"	"2"	"5s.15f"	"1F*"	"3"		""	"L4447"	
"395.9961"	"395.9957"	"150"	""		"20149.685"	"45395.34"	"5s.4d"	"1D"	"2"	"5s.17p"	"1P*"	"1"		""	"L4447"	
"396.2611"	"396.26133"	""	""		"14504.334"	"39733.067"	"5s.5p"	"3P*"	"1"	"5s.6d"	"1D"	"2"		""	"L7362"	
"396.4581"	"396.4581"	"220"	""		"20149.685"	"45365.90"	"5s.4d"	"1D"	"2"	"5s.14f"	"1F*"	"3"		""	"L4447"	
"396.9261"	"396.92631"	"700"	""		"14504.334"	"39690.802"	"5s.5p"	"3P*"	"1"	"5s.6d"	"3D"	"2"		""	"L7362"	
"397.0043"	"397.0047"	"500"	""		"14504.334"	"39685.830"	"5s.5p"	"3P*"	"1"	"5s.6d"	"3D"	"1"		""	"L7362"	
"397.3072"	"397.3075"	"190"	""		"20149.685"	"45311.99"	"5s.4d"	"1D"	"2"	"5s.16p"	"1P*"	"1"		""	"L4447"	
"397.8929"	"397.8929"	"260"	""		"20149.685"	"45274.97"	"5s.4d"	"1D"	"2"	"5s.13f"	"1F*"	"3"		""	"L4447"	
"398.9593"	"398.9590"	"260"	""		"20149.685"	"45207.83"	"5s.4d"	"1D"	"2"	"5s.15p"	"1P*"	"1"		""	"L4447"	
"399.7174"	"399.7174"	"300"	""		"20149.685"	"45160.29"	"5s.4d"	"1D"	"2"	"5s.12f"	"1F*"	"3"		""	"L4447"	
"401.0806"	"401.0805"	"350"	""		"20149.685"	"45075.29"	"5s.4d"	"1D"	"2"	"5s.14p"	"1P*"	"1"		""	"L4447"	
"402.0882"	"402.0883"	"360"	""		"20149.685"	"45012.82"	"5s.4d"	"1D"	"2"	"5s.11f"	"1F*"	"3"		""	"L4447"	
"403.0377"	"403.03772"	"1000"	""		"14898.545"	"39703.109"	"5s.5p"	"3P*"	"2"	"5s.6d"	"3D"	"3"		""	"L7362"	
"403.2379"	"403.23780"	"500"	""		"14898.545"	"39690.802"	"5s.5p"	"3P*"	"2"	"5s.6d"	"3D"	"2"		""	"L7362"	
"403.3191"	"403.3187"	"160"	""		"14898.545"	"39685.830"	"5s.5p"	"3P*"	"2"	"5s.6d"	"3D"	"1"		""	"L7362"	
"403.8642"	"403.8640"	"370"	""		"20149.685"	"44903.50"	"5s.4d"	"1D"	"2"	"5s.13p"	"1P*"	"1"		""	"L4447"	
"405.04"	"405.04"	"B"	""		"21698.452"	"46380.1"	"5s.5p"	"1P*"	"1"	"5p2"	"1D"	"2"		""	"L9352"	
"405.2512"	"405.2512"	"420"	""		"20149.685"	"44818.77"	"5s.4d"	"1D"	"2"	"5s.10f"	"1F*"	"3"		""	"L4447"	
