obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"382.6849"	"382.6844+"	"85"	"5.2e+05"	C+	"2010.10"	"28133.88"	"5d3.6s2"	"a 4F"	"5/2"	"5d3.6s.(5F).6p"	"y 4D*"	"5/2"		"T4976"	"L7593,L3475"	
"383.6603"	"383.6611+"	"65"	"4.0e+05"	C+	"3963.92"	"30021.20"	"5d3.6s2"	"a 4F"	"7/2"	""	"300*"	"9/2"		"T4976"	"L7593,L3475"	
"384.8046"	"384.8037+"	"100"	"1.30e+06"	B+	"5621.04"	"31600.95"	"5d3.6s2"	"a 4F"	"9/2"	""	"316*"	"7/2"		"T4976"	"L7593,L3475"	
"385.8608"	"385.8572+"	"50h"	"2.5e+05"	C+	"5621.04"	"31530.02"	"5d3.6s2"	"a 4F"	"9/2"	""	"315*"	"9/2"		"T4976"	"L7593"	
"388.5202"	"388.5200+"	"100"	""		"11792.13"	"37523.54"	"5d3.6s2"	"a 2P"	"1/2"	""	"375*"	"3/2"		""	"L7593,L3475"	
"391.8512"	"391.8518+"	"210"	"2.45e+06"	B+	"0.00"	"25512.63"	"5d3.6s2"	"a 4F"	"3/2"	"5d3.6s.(5F).6p"	"y 4D*"	"1/2"		"T4976"	"L7593,L3475"	
"392.2779"	"392.2769+"	"140"	"3.98e+06"	B+	"6068.91"	"31553.89"	"5d3.6s2"	"a 4P"	"3/2"	""	"315*"	"3/2"		"T4976"	"L7593,L3475"	
"392.2915"	"392.2925+"	"140"	""		"9758.97"	"35242.94"	"5d4.(5D).6s"	"a 6D"	"1/2"	""	"352*"	"3/2"		""	"L7593,L3475"	
"397.0098"	"397.0106+"	"210"	""		"0.00"	"25181.12"	"5d3.6s2"	"a 4F"	"3/2"	"5d3.6s.(5F).6p"	"z 6F*"	"5/2"		""	"L7593,L3475"	
"399.6171"	"399.6165+"	"210"	"3.35e+06"	B+	"6049.42"	"31066.34"	"5d3.6s2"	"a 4P"	"1/2"	"5d3.6s.(5P).6p"	"z 6P*"	"3/2"		"T4976"	"L7593,L3475"	
"399.9283"	"399.9280+"	"100"	"1.83e+06"	B+	"6068.91"	"31066.34"	"5d3.6s2"	"a 4P"	"3/2"	"5d3.6s.(5P).6p"	"z 6P*"	"3/2"		"T4976"	"L7593,L3475"	
"400.3704"	"400.3688+"	"65"	"3.1e+05"	B	"5621.04"	"30590.95"	"5d3.6s2"	"a 4F"	"9/2"	""	"305*"	"7/2"		"T4976"	"L7593,L3475"	
"400.6835"	"400.6825+"	"190"	"7.6e+05"	B	"2010.10"	"26960.46"	"5d3.6s2"	"a 4F"	"5/2"	""	"269*"	"7/2"		"T4976"	"L7593,L3475"	
"402.6944"	"402.6936+"	"190"	"3.60e+06"	B+	"6068.91"	"30894.67"	"5d3.6s2"	"a 4P"	"3/2"	"5d3.6s.(5P).6p"	"z 4S*"	"3/2"		"T4976"	"L7593,L3475"	
"402.994"	"402.9928+"	"140"	"2.8e+06"	C+	"10690.32"	"35497.65"	"5d3.6s2"	"a 2G"	"9/2"	""	"354*"	"9/2"		"T4976"	"L182,L3475"	
"403.0668"	"403.0675+"	"50"	"2.3e+05"	C+	"3963.92"	"28766.65"	"5d3.6s2"	"a 4F"	"7/2"	"5d3.6s.(5F).6p"	"z 6D*"	"9/2"		"T4976"	"L7593"	
"404.087"	"404.0866+"	"120"	"7.3e+05"	C+	"5621.04"	"30361.22"	"5d3.6s2"	"a 4F"	"9/2"	"5d3.6s.(5F).6p"	"z 6F*"	"11/2"		"T4976"	"L7593,L3475"	
"406.1399"	"406.1377+"	"410"	"6.5e+06"	B+	"6049.42"	"30664.66"	"5d3.6s2"	"a 4P"	"1/2"	"5d3.6s.(5P).6p"	"y 6D*"	"3/2"		"T4976"	"L7593,L3475"	
"406.463"	"406.4595+"	"210"	"3.83e+06"	B+	"6068.91"	"30664.66"	"5d3.6s2"	"a 4P"	"3/2"	"5d3.6s.(5P).6p"	"y 6D*"	"3/2"		"T4976"	"L182,L3475"	
"406.7235"	"406.7211+"	"100"	"6.8e+05"	C+	"2010.10"	"26590.03"	"5d3.6s2"	"a 4F"	"5/2"	"5d2.6s2.(3P).6p"	"z 4P*?"	"3/2"		"T4976"	"L7593,L3475"	
"406.7908"	"406.7890+"	"310"	"8.4e+05"	C+	"2010.10"	"26585.93"	"5d3.6s2"	"a 4F"	"5/2"	"5d3.6s.(5F).6p"	"z 6F*"	"7/2"		"T4976"	"L7593,L3475"	
"409.7188"	"409.7177+"	"40"	"2.1e+05"	D+	"5621.04"	"30021.20"	"5d3.6s2"	"a 4F"	"9/2"	""	"300*"	"9/2"		"T4976"	"L7593,L3475"	
"410.5021"	"410.5012+"	"120"	"1.13e+06"	B	"2010.10"	"26363.69"	"5d3.6s2"	"a 4F"	"5/2"	"5d3.6s.(5F).6p"	"y 4D*"	"3/2"		"T4976"	"L7593,L3475"	
"412.9378"	"412.9394+"	"210"	""		"13351.45"	"37561.25"	"5d4.(5D).6s"	"a 6D"	"9/2"	""	"375*"	"7/2"		""	"L7593,L3475"	
"413.6198"	"413.6201+"	"230"	"1.82e+06"	B+	"3963.92"	"28133.88"	"5d3.6s2"	"a 4F"	"7/2"	"5d3.6s.(5F).6p"	"y 4D*"	"5/2"		"T4976"	"L7593,L3475"	
"414.7891"	"414.7879+"	"230"	"1.79e+06"	B+	"5621.04"	"29722.95"	"5d3.6s2"	"a 4F"	"9/2"	""	"297*"	"7/2"		"T4976"	"L7593,L3475"	
"417.5206"	"417.5179+"	"210"	"2.75e+06"	B+	"9253.43"	"33197.75"	"5d3.6s2"	"a 4P"	"5/2"	"5d3.6s.(5P).6p"	"z 6P*"	"7/2"		"T4976"	"L7593,L3475"	
"417.7919"	"417.787+"	"100"	""		"11792.13"	"35721.0"	"5d3.6s2"	"a 2P"	"1/2"	""	"357*"	"3/2"		""	"L7593,L3475"	
"418.1152"	"418.1153+"	"130"	""		"9705.38"	"33615.49"	"5d3.6s2"	"a 2G"	"7/2"	""	"336*"	"9/2"		""	"L7593,L3475"	
"420.5876"	"420.589+"	"300"	"8.9e+05"	C+	"3963.92"	"27733.43"	"5d3.6s2"	"a 4F"	"7/2"	"5d3.6s.(5F).6p"	"z 6F*"	"9/2"		"T4976"	"L7593,L3475"	
"420.6404"	"420.640+"	"120"	""		"17384.65"	"41151.26"	"5d3.6s.(5F).6p"	"z 6G*"	"3/2"	"5d3.6s.(5F).7s"	"e 6F"	"1/2"		""	"L7593,L3475"	
"424.5350"	"424.534+"	"130"	""		"11243.63"	"34792.22"	"5d4.(5D).6s"	"a 6D"	"5/2"	""	"347*"	"5/2"		""	"L7593,L3475"	
"426.8255"	"426.826+"	"130"	""		"20560.26"	"43982.43"	"5d3.6s.(5F).6p"	"z 6G*"	"7/2"	"5d3.6s.(5F).7s"	"e 6F"	"7/2"		""	"L7593,L3475"	
"430.2978"	"430.295+"	"160c"	"2.08e+06"	B+	"9253.43"	"32486.75"	"5d3.6s2"	"a 4P"	"5/2"	"5d3.6s.(5P).6p"	"y 6D*"	"5/2"		"T4976"	"L7593,L3475"	
"435.5145"	"435.510+"	"110"	""		"22681.71"	"45636.83"	"5d3.6s.(5F).6p"	"z 6G*"	"9/2"	"5d3.6s.(5F).7s"	"e 6F"	"9/2"		""	"L7593,L3475"	
"437.8822"	"437.881+"	"100"	"4.8e+05"	C+	"3963.92"	"26794.76"	"5d3.6s2"	"a 4F"	"7/2"	"5d3.6s.(5F).6p"	"z 6D*"	"5/2"		"T4976"	"L7593,L3475"	
"438.6068"	"438.606+"	"150"	"1.03e+06"	B+	"6068.91"	"28862.01"	"5d3.6s2"	"a 4P"	"3/2"	""	"288*"	"5/2"		"T4976"	"L7593,L3475"	
"439.8449"	"439.844+"	"110"	"4.6e+05"	B+	"2010.10"	"24739.03"	"5d3.6s2"	"a 4F"	"5/2"	"5d3.6s.(5F).6p"	"z 6D*"	"3/2"		"T4976"	"L7593,L3475"	
"440.2498"	"440.250+"	"180"	"2.28e+06"	B+	"9253.43"	"31961.42"	"5d3.6s2"	"a 4P"	"5/2"	"5d3.6s.(5P).6p"	"z 6P*"	"5/2"		"T4976"	"L7593,L3475"	
"441.5741"	"441.574+"	"130"	"2.53e+06"	B+	"6049.42"	"28689.31"	"5d3.6s2"	"a 4P"	"1/2"	""	"286*"	"3/2"		"T4976"	"L7593,L3475"	
"444.1029"	"444.104+"	"55"	"7.5e+05"	B+	"9975.81"	"32486.75"	"5d4.(5D).6s"	"a 6D"	"3/2"	"5d3.6s.(5P).6p"	"y 6D*"	"5/2"		"T4976"	"L7593,L3475"	
"444.1678"	"444.173+"	"75"	"9.0e+05"	B+	"10690.32"	"33197.75"	"5d3.6s2"	"a 2G"	"9/2"	"5d3.6s.(5P).6p"	"z 6P*"	"7/2"		"T4976"	"L7593,L3475"	
"447.3515"	"447.351+"	"95"	"1.36e+06"	B+	"9253.43"	"31600.95"	"5d3.6s2"	"a 4P"	"5/2"	""	"316*"	"7/2"		"T4976"	"L7593,L3475"	
"451.0982"	"451.097+"	"360c"	"1.56e+06"	B	"5621.04"	"27783.0?"	"5d3.6s2"	"a 4F"	"9/2"	""	"277*"	"11/2"		"T4976"	"L7593,L3475"	
"451.1503"	"451.146+"	"75"	"3.6e+05"	C+	"5621.04"	"27780.62"	"5d3.6s2"	"a 4F"	"9/2"	"5d3.6s.(5F).6p"	"z 6D*"	"7/2"		"T4976"	"L7593,L3475"	
"451.418"	"451.418+"	":"	"3.1e+05"	C+	"13351.45"	"35497.65"	"5d4.(5D).6s"	"a 6D"	"9/2"	""	"354*"	"9/2"		"T4976"	""	
"452.1094"	"452.108+"	"55"	"2.3e+05"	C+	"5621.04"	"27733.43"	"5d3.6s2"	"a 4F"	"9/2"	"5d3.6s.(5F).6p"	"z 6F*"	"9/2"		"T4976"	"L7593,L3475"	
"453.0846"	"453.080+"	"190"	"2.42e+06"	B+	"6068.91"	"28133.88"	"5d3.6s2"	"a 4P"	"3/2"	"5d3.6s.(5F).6p"	"y 4D*"	"5/2"		"T4976"	"L7593,L3475"	
"454.7149"	"454.715+"	"28"	"5.3e+05"	B+	"9975.81"	"31961.42"	"5d4.(5D).6s"	"a 6D"	"3/2"	"5d3.6s.(5P).6p"	"z 6P*"	"5/2"		"T4976"	"L7593,L3475"	
"455.1950"	"455.196+"	"130"	""		"3963.92"	"25926.34"	"5d3.6s2"	"a 4F"	"7/2"	"5d3.6s.(5F).6p"	"z 4F*"	"9/2"		""	"L7593,L3475"	
"455.3694"	"455.368+"	"45"	"9.5e+05"	B+	"11243.63"	"33197.75"	"5d4.(5D).6s"	"a 6D"	"5/2"	"5d3.6s.(5P).6p"	"z 6P*"	"7/2"		"T4976"	"L7593,L3475"	
"456.5850"	"456.585+"	"170"	"2.50e+06"	B+	"9705.38"	"31600.95"	"5d3.6s2"	"a 2G"	"7/2"	""	"316*"	"7/2"		"T4976"	"L7593,L3475"	
"457.4306"	"457.4315+"	"340"	"1.23e+06"	B+	"0.00"	"21855.07"	"5d3.6s2"	"a 4F"	"3/2"	"5d3.6s.(5F).6p"	"z 4F*"	"3/2"		"T4976"	"L7593,L3475"	
"458.069"	"458.069+"	"28"	"2.10e+05"	B	"9705.38"	"31530.02"	"5d3.6s2"	"a 2G"	"7/2"	""	"315*"	"9/2"		"T4976"	"L7606,L3475"	
"461.9512"	"461.951+"	"260"	"5.3e+06"	B+	"9253.43"	"30894.67"	"5d3.6s2"	"a 4P"	"5/2"	"5d3.6s.(5P).6p"	"z 4S*"	"3/2"		"T4976"	"L7593,L3475"	
"463.306"	"463.304+"	"45"	"1.23e+06"	B+	"9975.81"	"31553.89"	"5d4.(5D).6s"	"a 6D"	"3/2"	""	"315*"	"3/2"		"T4976"	"L7593,L3475"	
"466.9143"	"466.914+"	"130"	"2.85e+06"	B+	"9253.43"	"30664.66"	"5d3.6s2"	"a 4P"	"5/2"	"5d3.6s.(5P).6p"	"y 6D*"	"3/2"		"T4976"	"L7593,L3475"	
"468.1875"	"468.187+"	"450"	"1.52e+06"	B+	"2010.10"	"23363.09"	"5d3.6s2"	"a 4F"	"5/2"	"5d3.6s.(5F).6p"	"z 4F*"	"5/2"		"T4976"	"L7593,L3475"	
"468.4867"	"468.485+"	"45"	"2.75e+05"	B	"5621.04"	"26960.46"	"5d3.6s2"	"a 4F"	"9/2"	""	"269*"	"7/2"		"T4976"	"L7593,L3475"	
"468.5266"	"468.527+"	"40"	"3.38e+05"	B+	"9253.43"	"30590.95"	"5d3.6s2"	"a 4P"	"5/2"	""	"305*"	"7/2"		"T4976"	"L7593,L3475"	
