obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"383.026"	"383.0259+"	"1500"	""		"285.500"	"26385.99"	"4f8.(7F).5d.6s2"	"8G"	"13/2"	""	"*"	"13/2"		""	"L3475"	
"383.342"	""	"540"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"388.334"	""	"330"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"388.822"	""	"480"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"389.464"	""	"490"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"389.599"	""	"330"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"389.789"	""	"330"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"390.133"	"390.1326+"	"1600"	""		"462.080"	"26087.13"	"4f8.(7F).5d.6s2"	"8G"	"15/2"	"4f8.5d.6s.6p?"	"*"	"17/2"		""	"L3475"	
"390.806"	""	"480"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"390.914"	""	"380"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"390.955"	""	"330"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"391.543"	""	"650"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"401.004"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"401.326"	""	"330"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"402.288"	""	"220"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"402.477"	""	"370"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"403.228"	"403.2282+"	"870"	""		"2310.090"	"27102.94"	"4f8.(7F).5d.6s2"	"8D"	"11/2"	""	"*"	"9/2"		""	"L3475"	
"403.622"	""	"350"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"403.886"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"405.412"	""	"430"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"406.037"	""	"410"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"406.158"	"406.1552+"	"1300"	""		"462.080"	"25076.26"	"4f8.(7F).5d.6s2"	"8G"	"15/2"	""	"*"	"15/2"		""	"L3475"	
"407.522"	""	"260"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"408.124"	""	"390"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"408.660"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"409.219"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"409.449"	""	"260"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"410.537"	""	"650"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"411.250"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"411.992"	""	"260"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"414.351"	""	"280"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"415.853"	""	"350"	""		""	""	""	""	""	""	""	""		""	"L3475"	
"416.909"	""	"240"	""		""	""	""	""	""	""	""	""		""	"L3475"	
