obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"508.288"	"508.28589"	"130"	""		"44253.000"	"63921.485"	"5p3.(4S*).6s"	"5S*"	"2"	"5p3.(4S*).7p"	"3P"	"2"		""	"L5813,L3315,L3682"	
"514.877"	"514.87067"	"130"	""		"44253.000"	"63669.944"	"5p3.(4S*).6s"	"5S*"	"2"	"5p3.(4S*).7p"	"b 5P"	"1"		""	"L5813,L3315,L3682"	
"573.360"	"573.35847"	"160"	""		"46652.738"	"64088.997"	"5p3.(4S*).6s"	"3S*"	"1"	"5p3.(4S*).7p"	"3P"	"1"		""	"L5813,L3315,L3682"	
"578.922"	"578.92028"	"140"	""		"46652.738"	"63921.485"	"5p3.(4S*).6s"	"3S*"	"1"	"5p3.(4S*).7p"	"3P"	"2"		""	"L17457,L5813,L3315,L3682"	
"627.35"	"627.377"	"200"	""		"54199.122"	"70134.1"	"5p3.(4S*).6p"	"5P"	"2"	"5p3.(4S*).9d"	"5D*"	"3"		""	"L3315,L17457,L3546"	
"634.952"	""	"330"	""		""	""	""	""	""	""	""	""		""	"L17457,L3315"	
"640.619"	"640.6103"	"210"	""		"54535.345"	"70141.145"	"5p3.(4S*).6p"	"5P"	"3"	"5p3.(4S*).9d"	"5D*"	"4"		""	"L5813,L3315"	
"645.67"	""	"280"	""		""	""	""	""	""	""	""	""		""	"L3315"	
"661.34"	""	"290"	""		""	""	""	""	""	""	""	""		""	"L3315"	
"669.014"	"669.0154"	"290"	""		"54199.122"	"69142.335"	"5p3.(4S*).6p"	"5P"	"2"	"5p3.(4S*).8d"	"5D*"	"3"		""	"L17457,L3315"	
"679.00"	"679.1090"	"300"	""		"54199.122"	"68920.236"	"5p3.(4S*).6p"	"5P"	"2"	"5p3.(4S*).8d"	"3D*"	"1"		""	"L3315"	
"683.765"	"683.7663"	"430"	""		"54535.345"	"69156.190"	"5p3.(4S*).6p"	"5P"	"3"	"5p3.(4S*).8d"	"5D*"	"4"		""	"L17457,L3315"	
"685.388"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L17457,L3315"	
"719.108"	""	"400"	""		""	""	""	""	""	""	""	""		""	"L17457,L3315,L3546"	
"726.380"	""	"400"	""		""	""	""	""	""	""	""	""		""	"L3546,L3315"	
"728.09"	""	"190"	""		""	""	""	""	""	""	""	""		""	"L3315"	
"755.68"	"755.70"	"270"	""		"54199.122"	"67428.3"	"5p3.(4S*).6p"	"5P"	"2"	"5p3.(4S*).7d"	"5D*"	"3"		""	"L3315"	
"775.91"	"775.90"	"430"	""		"54535.345"	"67420.1"	"5p3.(4S*).6p"	"5P"	"3"	"5p3.(4S*).7d"	"5D*"	"4"		""	"L3315"	
