obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.019783"	"380.019779"	"900"	""		"5563.141519"	"31870.0925"	"6d3.(4F).7s"	"5F"	"1"	""	"*"	"2"		""	"L5951"	
"380.07451"	"380.074548"	"5"	""		"6362.395980"	"32665.5562"	"6d3.(4F).7s"	"5F"	"2"	""	"*"	"1"		""	"L3552"	
"380.144306"	"380.144311"	"2200"	""		"7502.287636"	"33800.6209"	"6d3.(4F).7s"	"5F"	"3"	""	"*"	"3"		""	"L5951"	
"380.157136"	"380.157195"	"1300"	""		"7502.287636"	"33799.7296"	"6d3.(4F).7s"	"5F"	"3"	""	"*"	"4"		""	"L5951"	
"380.24207"	"380.242059"	"400"	""		"10526.544406"	"36818.1174"	"5f.6d.7s2"	"3G*"	"3"	""	""	"2"		""	"L5951"	
"380.25891"	"380.258925"	"8"	""		"15736.968041"	"42027.3749"	"6d2.7s.7p"	"5F*"	"1"	"6d4"	"1D"	"2"		""	"L3552"	
"380.27233"	"380.272284"	"78"	""		"15618.98461"	"41908.4679"	"5f.6d2.7s"	"5H*"	"3"	""	""	"3"		""	"L5951"	
"380.286443"	"380.286418"	"600"	""		"6362.395980"	"32650.9022"	"6d3.(4F).7s"	"5F"	"2"	""	"*"	"1"		""	"L5951"	
"380.307488"	"380.307494"	"24000"	""		"0.000000"	"26287.04940"	"6d2.7s2"	"3F"	"2"	"6d2.7s.7p"	"3D*"	"1"		""	"L5951"	
"380.36099"	"380.360997"	"110"	""		"16783.84708"	"43067.1989"	"5f.6d2.7s"	"5I*"	"4"	""	""	"4"		""	"L5951"	
"380.38390"	"380.383934"	"520"	""		"10526.544406"	"36808.3114"	"5f.6d.7s2"	"3G*"	"3"	""	""	"3"		""	"L5951"	
"380.398388"	"380.398396"	"1700"	""		"8800.249723"	"35081.0176"	"6d3.(4F).7s"	"5F"	"4"	""	"*"	"5"		""	"L5951"	
"380.41275"	"380.412751"	"490"	""		"11241.73043"	"37521.5066"	"5f.6d.7s2"	"3F*"	"3"	""	""	"3"		""	"L5951"	
"380.46985"	"380.469835"	"300"	""		"14206.91694"	"40482.7503"	"5f.6d.7s2"	"3F*"	"4"	""	""	"5"		""	"L5951"	
"380.52270"	"380.522702"	"89"	""		"16351.93901"	"42624.1219"	"6d2.7s2"	""	"0"	""	"*"	"1"		""	"L5951"	
"380.531414"	"380.531393"	"530"	""		"15493.21943"	"41764.8023"	"6d3.(2H).7s"	"3H"	"4"	""	"*"	"5"		""	"L5951"	
"380.58644"	"380.586459"	"170"	""		"12114.36618"	"38382.1480"	"5f.6d.7s2"	"1D*"	"2"	""	""	"3"		""	"L5951"	
"380.61529"	"380.615289"	"130"	""		"15490.077832"	"41755.8700"	"5f.6d.7s2"	"3G*"	"5"	""	""	"4"		""	"L5951"	
"380.63170"	"380.631861"	"270"	""		"13297.43316"	"39562.0818"	"6d3.(2G).7s"	"3G"	"4"	""	"*"	"4"		""	"L3552"	
"380.72724"	"380.727266"	"470"	""		"9804.806547"	"36062.8738"	"6d3.(4F).7s"	"5F"	"5"	""	"*"	"4"		""	"L5951"	
"380.77006"	"380.770053"	"130"	""		"13945.307389"	"40200.4241"	"6d.7s2.7p"	"3F*"	"3"	""	""	"3"		""	"L5951"	
"380.84300"	"380.842690"	"40"	""		"11802.93238"	"38053.0416"	"6d3.(4P).7s"	"5P"	"2"	""	"*"	"3"		""	"L3552"	
"380.861476"	"380.861476"	"570"	""		"10526.544406"	"36775.3589"	"5f.6d.7s2"	"3G*"	"3"	""	""	"3"		""	"L5951"	
"381.09034"	"381.090446"	"51"	""		"4961.658832"	"31194.70265"	"6d2.7s2"	"3F"	"4"	"5f.6d3"	"5I*"	"4"		""	"L5951"	
"381.099515"	"381.099517"	"2300"	""		"7502.287636"	"33734.7071"	"6d3.(4F).7s"	"5F"	"3"	""	"*"	"2"		""	"L5951"	
"381.23972"	"381.239684"	"420"	""		"15490.077832"	"41712.8529"	"5f.6d.7s2"	"3G*"	"5"	""	""	"5"		""	"L5951"	
"381.26670"	"381.266743"	"90"	""		"14204.26476"	"40425.1788"	"6d3.(2G).7s"	""	"5"	""	"*"	"4"		""	"L5951"	
"381.28271"	"381.282657"	"40"	""		"14206.91694"	"40426.7366"	"5f.6d.7s2"	"3F*"	"4"	""	""	"4"		""	"L3552"	
"381.29091"	"381.290883"	"49"	""		"11877.839132"	"38097.0931"	"6d.7s2.7p"	"3D*"	"1"	""	""	"2"		""	"L5951"	
"381.33638"	"381.336362"	"77"	""		"7502.287636"	"33718.4147"	"6d3.(4F).7s"	"5F"	"3"	""	"*"	"2"		""	"L5951"	
"381.381495"	"381.381505"	"1500"	""		"6362.395980"	"32575.4200"	"6d3.(4F).7s"	"5F"	"2"	"6d3.7p"	"5G*"	"2"		""	"L5951"	
"381.556582"	"381.556585"	"960"	""		"8243.602091"	"34444.5984"	"5f.6d.7s2"	"3F*"	"2"	""	""	"2"		""	"L5951"	
"381.65101"	"381.650965"	"40"	""		"15166.900593"	"41361.4177"	"6d2.7s.7p"	"5G*"	"3"	"5f.6d2.7p "	"5H"	"3"		""	"L3552"	
"381.71168"	"381.711695"	"150"	""		"15618.98461"	"41809.3343"	"5f.6d2.7s"	"5H*"	"3"	""	""	"2"		""	"L5951"	
"381.74982"	"381.749781"	"150"	""		"8243.602091"	"34431.3389"	"5f.6d.7s2"	"3F*"	"2"	""	""	"3"		""	"L5951"	
"381.868535"	"381.868531"	"2200"	""		"4961.658832"	"31141.25221"	"6d2.7s2"	"3F"	"4"	""	"*"	"5"		""	"L5951"	
"381.91125"	"381.911262"	"180"	""		"13175.113345"	"39351.7776"	"5f.6d.7s2"	"3G*"	"4"	""	""	"5"		""	"L5951"	
"381.91893"	"381.919001"	"59"	""		"13088.56115"	"39264.6950"	"6d3.(2G).7s"	"3G"	"3"	""	"*"	"3"		""	"L5951"	
"381.99032"	"381.990327"	"140"	""		"13297.43316"	"39468.6795"	"6d3.(2G).7s"	"3G"	"4"	""	"*"	"3"		""	"L5951"	
"382.03271"	"382.032771"	"530"	""		"14032.085336"	"40200.4241"	"6d.7s2.7p"	"3D*"	"2"	""	""	"3"		""	"L3552"	
"382.04740"	"382.047398"	"120"	""		"11802.93238"	"37970.2693"	"6d3.(4P).7s"	"5P"	"2"	""	"*"	"2"		""	"L5951"	
"382.079249"	"382.079229"	"2600"	""		"3687.987189"	"29853.14415"	"6d2.7s2"	""	"2"	""	"*"	"2"		""	"L5951"	
"382.11190"	"382.111735"	"39"	""		"11241.73043"	"37404.6616"	"5f.6d.7s2"	"3F*"	"3"	""	""	"3"		""	"L3552"	
"382.23302"	"382.233038"	"150"	""		"13088.56115"	"39243.1896"	"6d3.(2G).7s"	"3G"	"3"	""	"*"	"2"		""	"L5951"	
"382.27099"	"382.270983"	"190"	""		"11802.93238"	"37954.9647"	"6d3.(4P).7s"	"5P"	"2"	""	"*"	"3"		""	"L5951"	
"382.28618"	"382.286055"	"380"	""		"12847.96912"	"38998.9704"	"6d3.(4P).7s"	"5P"	"3"	""	"*"	"3"		""	"L5951"	
"382.306749"	"382.306749"	"1600"	""		"5563.141519"	"31712.7273"	"6d3.(4F).7s"	"5F"	"1"	""	"*"	"1"		""	"L5951"	
"382.34576"	"382.345762"	"390"	""		"7280.123222"	"33427.0409"	"6d2.7s2"	""	"2"	""	"*"	"2"		""	"L5951"	
"382.45317"	"382.453166"	"160"	""		"15863.88829"	"42003.4633"	"6d3.(2D2).7s"	""	"2"	""	"*"	"3"		""	"L5951"	
"382.45532"	"382.455449"	"98"	""		"13945.307389"	"40084.7264"	"6d.7s2.7p"	"3F*"	"3"	""	""	"3"		""	"L5951"	
"382.49270"	"382.492524"	"52"	""		"15618.98461"	"41755.8700"	"5f.6d2.7s"	"5H*"	"3"	""	""	"4"		""	"L3552"	
"382.513295"	"382.513285"	"2400"	""		"11197.031257"	"37332.4981"	"5f.6d.7s2"	"3H*"	"5"	"5f.6d2.7p "	"5K "	"6"		""	"L5951"	
"382.636861"	"382.636883"	"1200"	""		"10526.544406"	"36653.5692"	"5f.6d.7s2"	"3G*"	"3"	""	""	"2"		""	"L5951"	
"382.75018"	"382.750181"	"76"	""		"11877.839132"	"37997.1303"	"6d.7s2.7p"	"3D*"	"1"	""	""	"2"		""	"L5951"	
"382.838451"	"382.838452"	"14000"	""		"0.000000"	"26113.26894"	"6d2.7s2"	"3F"	"2"	""	"*"	"2"		""	"L18702"	
"382.90398"	"382.903931"	"110"	""		"14206.91694"	"40315.7205"	"5f.6d.7s2"	"3F*"	"4"	""	""	"4"		""	"L5951"	
"382.91808"	"382.918082"	"160"	""		"16783.84708"	"42891.6858"	"5f.6d2.7s"	"5I*"	"4"	""	""	"4"		""	"L5951"	
"382.92802"	"382.928023"	"95"	""		"13945.307389"	"40052.4683"	"6d.7s2.7p"	"3F*"	"3"	""	""	"4"		""	"L5951"	
"382.93930"	"382.939105"	"130"	""		"11197.031257"	"37303.4367"	"5f.6d.7s2"	"3H*"	"5"	""	""	"4"		""	"L3552"	
"383.006043"	"383.006042"	"1100"	""		"10414.13700"	"36515.9800"	"5f.6d.7s2"	"1G*"	"4"	""	""	"3"		""	"L5951"	
"383.01981"	"383.019669"	"130"	""		"14481.86965"	"40582.7840"	"5f.6d.7s2"	"3H*"	"6"	""	""	"5"		""	"L3552"	
"383.077347"	"383.0773421"	"3500"	""		"0.000000"	"26096.98491"	"6d2.7s2"	"3F"	"2"	""	"*"	"3"		""	"L18702"	
