obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"380.10805"	"380.10812"	"13"	""		"15156.802"	"41457.639"	"3d3.(2G).4s"	"a 3G"	"4"	"3d.4s2.4p"	"s 3F*"	"3"		""	"L10989"	
"380.11616"	"380.11613"	"2"	""		"19421.580"	"45721.863"	"3d2.(3F).4s.4p.(3P*)"	"z 3F*"	"3"	"3d2.4s.(2F).4d"	"f 3H"	"4"		""	"L10989"	
"380.15549"	"380.15547"	"11"	""		"20062.886"	"46360.447"	"3d3.(2P).4s"	"a 1P"	"1"	"3d3.(2P).4p"	"1P*"	"1"		""	"L10989"	
"380.1908"	"380.19098"	"7"	""		"18911.394"	"45206.499"	"3d3.(4P).4s"	"c 3P"	"2"	"3d3.(4F).5p"	"n 3D*"	"3"		""	"L10989"	
"380.3416"	"380.34169"	"7"	""		"18192.570"	"44477.256"	"3d3.(2H).4s"	"a 3H"	"6"	"3d3.(4F).5p"	"5F*"	"5"		""	"L10989"	
"380.50978"	"380.50988"	"9"	""		"16875.124"	"43148.1922"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"2"	"3d2.4s.(4F).4d"	"g 5F"	"3"		""	"L10989"	
"380.5188"	"380.51941"	"5"	""		"18818.099"	"45090.509"	"3d3.(4P).4s"	"c 3P"	"0"	"3d2.4s.(2P).4p"	"3P*"	"1"		""	"L10989"	
"380.5462"	"380.54638"	"12*"	""		"16961.442"	"43231.9903"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"3"	"3d2.4s.(4F).4d"	"g 5F"	"4"		""	"L10989"	
"380.5462"	"380.54647"	"12*"	""		"386.874"	"26657.416"	"3d2.4s2"	"a 3F"	"4"	"3d3.(4F).4p"	"y 5G*"	"4"		""	"L10989"	
"380.6043"	"380.60399"	"7"	""		"18911.394"	"45177.966"	"3d3.(4P).4s"	"c 3P"	"2"	"3d2.4s.(2P).4p"	"3P*"	"2"		""	"L10989"	
"380.6305"	"380.63073"	"5"	""		"18825.782"	"45090.509"	"3d3.(4P).4s"	"c 3P"	"1"	"3d2.4s.(2P).4p"	"3P*"	"1"		""	"L10989"	
